codigo,SkuEcommerce,CodigoProducto,CodigoBarras,NombreProducto,CodigoIva,Fabricante,PrincipioActivo,Marca,Departamento,Categoría,Subcategoría,PROVEEDOR,ESTADO
745853547943,100438.0,100438.0,745853547943,AJO ORGANICO D3 60 CAPSULAS,0.0,DICOLFARMA,-,DICOLFARMA,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
104438,100808.0,100808.0,7702678760608,BASE HIDRATANTE KALOE OSCURO,19.0,,VARIOS,,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
658325386073,101127.0,101127.0,658325386073,CALENDULA ORTIGA CREMA PROCT. 12 GR,19.0,DICOLFARMA,-,DICOLFARMA,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
658325030815,101218.0,101218.0,658325030815,CEBRIX ARMONIZA X 375 ML,0.0,-,-,,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
745853547950,101579.0,101579.0,745853547950,CIRCU-MAXI AJO APIO TE VERDE 60 CAP,0.0,DICOLFARMA,-,DICOLFARMA,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
658325386158,101592.0,101592.0,658325386158,CITRATO DE MAGNESIO X 400 GR FRUTOS ROJOS,0.0,COMIS-GCNG,-,COMIS-GCNG,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
745853173265,101595.0,101595.0,745853173265,CITRATO DE POTASIO X 90 UND,0.0,DICOLFARMA,-,DICOLFARMA,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
745853173210,101660.0,101660.0,745853173210,CLOROFI-MED ESPINACA Y MENTA 500ML,0.0,DICOLFARMA,-,DICOLFARMA,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
737186238780,101708.0,101708.0,737186238780,COLAGENO ARMONIZA POLVO X 700 GR,0.0,-,-,,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
7707357200529,101715.0,101715.0,7707357200529,COLAGENO HIDROLIZADO POLVO 700GR,0.0,DICOLFARMA,-,DICOLFARMA,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
745853547998,101717.0,101717.0,745853547998,COLAGENO MARINO HIDROLIZADO 60 CAP,0.0,DICOLFARMA,-,DICOLFARMA,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
291903,101803.0,101803.0,7702433291903,CORRECTOR CREMOSO VOGUE BARRA NATURAL,19.0,LOREAL COLOMBIA S.A.S,-,VOGUE,BELLEZA,MAQUILLAJE,ROSTRO,OTROS PROVEEDORES,ACTIVO
658325386059,102100.0,102100.0,658325386059,CREMA PROTECTORA ANAMU 12 GR,19.0,DICOLFARMA,-,DICOLFARMA,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
299749,102815.0,102815.0,7702433299749,BASE VOGUE TRATAMIENTO AJO LIMON FRASCO X 10 GRS,19.0,LOREAL COLOMBIA S.A.S,-,VOGUE,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
658325386110,103357.0,103357.0,658325386110,GINKGO BILOBA SALISBURIA D3 CAP 30,0.0,DICOLFARMA,-,DICOLFARMA,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
745853173241,103416.0,103416.0,745853173241,GOTAS PASIFLORA X 30ML ARMONIZA,0.0,DICOLFARMA,-,DICOLFARMA,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
745853173258,103423.0,103423.0,745853173258,GOTAS VALERIANA X 30ML ARMONIZA,0.0,DICOLFARMA,-,DICOLFARMA,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
658325386219,103646.0,103646.0,658325386219,ICE POWER GEL COSMETICA X 160GR,19.0,DICOLFARMA,-,DICOLFARMA,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
658325385946,104033.0,104033.0,658325385946,LAXCO PAPAYA CIRUELA ARMONIZA 500 ML,0.0,-,-,,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
781159050688,104274.0,104274.0,781159050688,MACA Y BOROJO MISSTIG-SX X 500ML,0.0,DICOLFARMA,-,DICOLFARMA,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
745853173135,104399.0,104399.0,745853173135,MENOS PAUSE-MUJER PLENA 60ML,0.0,DICOLFARMA,-,DICOLFARMA,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
103958,105217.0,105217.0,7702678296480,POL COM KALOE NO. 8 CAOBA,19.0,,VARIOS,,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
103913,105227.0,105227.0,7702678001138,POLVO COMPACTO ANA MARIA SPF 25 ARENA CAJA X 15 GR,19.0,PRODUCTOS DE BELLEZA ANA MARIA SAS,-,ANA MARIA,BELLEZA,MAQUILLAJE,ROSTRO,OTROS PROVEEDORES,ACTIVO
103902,105228.0,105228.0,7702678050860,POLVO COMPACTO ANA MARIA SPF 25 PERLA CAJA X 15 GR,19.0,PRODUCTOS DE BELLEZA ANA MARIA SAS,-,ANA MARIA,BELLEZA,MAQUILLAJE,ROSTRO,OTROS PROVEEDORES,ACTIVO
103922,105229.0,105229.0,7702678050976,POLVO COMPACTO ANA MARIA SPF 25 SANDALO CAJA X 15 GR,19.0,PRODUCTOS DE BELLEZA ANA MARIA SAS,-,ANA MARIA,BELLEZA,MAQUILLAJE,ROSTRO,OTROS PROVEEDORES,ACTIVO
103923,105230.0,105230.0,7702678050983,POLVO COMPACTO ANA MARIA SPF 25 CANELA CAJA X 15 GR,19.0,PRODUCTOS DE BELLEZA ANA MARIA SAS,-,ANA MARIA,BELLEZA,MAQUILLAJE,ROSTRO,OTROS PROVEEDORES,ACTIVO
103906,105233.0,105233.0,7702678050907,POLVO COMPACTO ANA MARIA SPF 25 NATURAL CAJA X 15 GR,19.0,PRODUCTOS DE BELLEZA ANA MARIA SAS,-,ANA MARIA,BELLEZA,MAQUILLAJE,ROSTRO,OTROS PROVEEDORES,ACTIVO
103907,105234.0,105234.0,7702678050914,POLVO COMPACTO ANA MARIA SPF 25 AVELLANA CAJA X 15 GR,19.0,PRODUCTOS DE BELLEZA ANA MARIA SAS,-,ANA MARIA,BELLEZA,MAQUILLAJE,ROSTRO,OTROS PROVEEDORES,ACTIVO
103950,105235.0,105235.0,7702678050600,POLVO COMPACTO KALOE SPF 20 N° 1 ALMENDRA CAJA X 15 GR,19.0,PRODUCTOS DE BELLEZA ANA MARIA SAS,-,KALOE,BELLEZA,MAQUILLAJE,ROSTRO,OTROS PROVEEDORES,ACTIVO
103925,105253.0,105253.0,7702678465138,POLVO COMPACTO ANA MARIA SPF 25 MOCA CAJA X 15 GR,19.0,PRODUCTOS DE BELLEZA ANA MARIA SAS,-,ANA MARIA,BELLEZA,MAQUILLAJE,ROSTRO,OTROS PROVEEDORES,ACTIVO
103927,105254.0,105254.0,7702678901568,POLVO COMPACTO ANA MARIA SPF 25 COCOA CAJA X 15 GR,19.0,PRODUCTOS DE BELLEZA ANA MARIA SAS,-,ANA MARIA,BELLEZA,MAQUILLAJE,ROSTRO,OTROS PROVEEDORES,ACTIVO
737186238858,105367.0,105367.0,737186238858,PROPEOLIVED X 250 G,0.0,DICOLFARMA,-,DICOLFARMA,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
658325386202,105375.0,105375.0,658325386202,PROPOLEO PROPEOLIVED 120 ML,0.0,DICOLFARMA,-,DICOLFARMA,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
658325386097,105587.0,105587.0,658325386097,RESCATE ESENCIAS FLORALES GOTAS 60 ML,0.0,DICOLFARMA,-,DICOLFARMA,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
745853173104,105697.0,105697.0,745853173104,SAW PALMETTO ARMONIZA 90 CAPSU,0.0,DICOLFARMA,-,DICOLFARMA,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
847246,106705.0,106705.0,7509552847246,VOGUE BASE VAL M NAT AH GITANO 30ML,19.0,LAB. COSMETICOS VOGUE S.A.,VARIOS,LAB. COSMETICOS VOGUE S.A.,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
826678,106707.0,106707.0,7509552826678,BETUN POMADA VOGUE PARA CEJAS CAMEL CAJA X 4 GRS,19.0,DROGUERIA CUYABRA,-,VOGUE,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
826685,106708.0,106708.0,7509552826685,BETUN VOGUE POMADA CEJAS CAOBA CAJA X 4 GRS,19.0,LOREAL COLOMBIA S.A.S,-,VOGUE,BELLEZA,MAQUILLAJE,OJOS,OTROS PROVEEDORES,ACTIVO
291934,106709.0,106709.0,7702433291934,CORRECTOR EN BARRA COLOR ARENA,0.0,DROGUERIA CUYABRA,-,CUYABRA,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
291910,106710.0,106710.0,7702433291910,CORRECTOR CREMOSO VOGUE BARRA BEIGE,19.0,LOREAL COLOMBIA S.A.S,-,VOGUE,BELLEZA,MAQUILLAJE,ROSTRO,OTROS PROVEEDORES,ACTIVO
289887,106732.0,106732.0,7702433289887,ESMALTE VOGUE FANTASTIC CONFETTI 94 FRASCO X 10 ML,19.0,LOREAL COLOMBIA S.A.S,-,VOGUE,BELLEZA,MAQUILLAJE,UÑAS,OTROS PROVEEDORES,ACTIVO
808889,106741.0,106741.0,7509552808889,VOGUE ESMALTEEFECTO GEL PODEROSA 14ML,19.0,LAB. COSMETICOS VOGUE S.A.,VARIOS,LAB. COSMETICOS VOGUE S.A.,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
291880,106751.0,106751.0,7702433291880,LAPIZ VOGUE CAMEL,19.0,OSPINA GUERRERO ALEXANDER ,-,COPIFAM,FORMULADO,FORMULADO,FORMULADO,OTROS PROVEEDORES,ACTIVO
