codigo,NombreProducto,Fabricante
100026794,	ACID MANTLE BABY CREMA 100 GR,BAYER S.A.
100027541,	ACID MANTLE PRO B5 LOC.FACIAL DIA 50 ML,BAYER S.A.
100020009,	APRONAX LIQUID GEL 275 MG 8 CAPSULAS,BAYER S.A.
100023551,	GYNOCANESTEN 500 MG 1 OVULO,BAYER S.A.
200036058,	2 ACID MANTLE N LOCION 120 ML P.E,BAYER S.A.
200039017,	2 DTE.MEXSANA CLASICO SPRAY 260 ML. P.E.,BAYER S.A.
200039019,	2 DTE.MEXSANA PIES ULTRA SPR.260 ML.P.E.,BAYER S.A.
200036057,	2 REDOXITOS TOTAL GUMS 25 UND P.E,BAYER S.A.
200045097,	2 TALCO MEXSANA 85 GR SUPERPACK IVA,BAYER S.A.
200036350,	2 TALCO MEXSANA LADY 85 GR P.E,BAYER S.A.
200039020,	2 TALCO MEXSANA LADY SPRAY 260 ML. P.E.,BAYER S.A.
200035265,	3 JABONES ACID MANTLE 90GR ECONOPACK,BAYER S.A.
100023416,	ACID MANT.N LOCI.400 ML+ACID M.120ML.M.O,BAYER S.A.
100026793,	ACID MANTLE BABY CREMA 30 GR,BAYER S.A.
100000450,	ACID MANTLE CREMA 60 GR,BAYER S.A.
100000451,	ACID MANTLE N LOCION 120 ML,BAYER S.A.
100006930,	ACID MANTLE N LOCION 400 ML,BAYER S.A.
100027544,	ACID MANTLE PRO B5 HIDRA.CORPORAL 200 ML,BAYER S.A.
100027542,	ACID MANTLE PRO B5 HIDRA.CORPORAL 400 ML,BAYER S.A.
100027540,	ACID MANTLE PRO B5 L.FACIAL NOCHE 50 ML,BAYER S.A.
100027543,	ACID MANTLE PRO B5 LIMPIAD.FACIAL 200 ML,BAYER S.A.
100027991,	ACID MANTLE TATTOO 30 GRAMOS,BAYER S.A.
100005472,	AFRIN NASAL NINOS 15 ML,BAYER S.A.
100026992,	AFRIN SOLUCION NASAL AD.0.05% SPRAY 15ML,BAYER S.A.
100005474,	AFRISAL SOLUCION SALINA 30 ML,BAYER S.A.
100025213,	ALKA SELTZER 14 TABLETAS,BAYER S.A.
100000465,	ALKA SELTZER 60 TABLETAS,BAYER S.A.
100017401,	ALKA SELTZER EXTREME 20 SOBRES,BAYER S.A.
100017400,	ALKA SELTZER EXTREME 8 SOBRES,BAYER S.A.
100026935,	ALKA SELTZER ORIGINAL 60 4 UN TBS P.E,BAYER S.A.
100019345,	APRONAX 275 MG 24 TABLETAS,BAYER S.A.
100019346,	APRONAX 275 MG 64 TABLETAS,BAYER S.A.
100005035,	APRONAX 550 MG 20 TABLETAS,BAYER S.A.
100005036,	APRONAX 550 MG 60 TABLETAS(A),BAYER S.A.
100022986,	APRONAX 550 MG 60 TBS PG.3 LL.4 (A),BAYER S.A.
100026336,	APRONAX L.GEL 275MG 50CAP+APRO 8 CAP P.E,BAYER S.A.
100020008,	APRONAX LIQUID GEL 275 MG 16 CAPSULAS,BAYER S.A.
100020010,	APRONAX LIQUID GEL 275 MG 50 CAPSULAS,BAYER S.A.
100016320,	ASPIRINA 100 MG 140 TBS,BAYER S.A.
100020790,	ASPIRINA 100 MG 140TBS 4 ESTUCHES P.E(A),BAYER S.A.
100016323,	ASPIRINA 100 MG 28 TBS,BAYER S.A.
100027884,	ASPIRINA EFERV. PAGUE 15 LLEVE 18 TBS,BAYER S.A.
100027475,	ASPIRINA EFERVESC.500 MG PG 52 LL 62 TBS,BAYER S.A.
100000476,	ASPIRINA EFERVESCENTE 500 MG 12 TABLETAS,BAYER S.A.
100000477,	ASPIRINA EFERVESCENTE 500 MG 50 TABLETAS,BAYER S.A.
100022770,	ASPIRINA ULTRA 500 MG 20 TABLETAS,BAYER S.A.
200035061,	BEPANTHEN CREMA HUMECTANTE 100 GR,BAYER S.A.
100026164,	CAFIASPIRINA FORTE 650MG 12 TAB,BAYER S.A.
100026163,	CAFIASPIRINA FORTE 650MG 36 TBS,BAYER S.A.
100016793,	CLARIGRIP 50 TABLETAS(A),BAYER S.A.
100007917,	CLARITYNE 10 MG 10 TABLETAS,BAYER S.A.
100005515,	CORICIDIN GOTAS PEDIATRICAS 30 ML,BAYER S.A.
200039021,	DTE.MEXSANA PIES ULTRA SPRAY 260 ML.,BAYER S.A.
100025864,	GYNOCANESTEN 2% CR 20GR+GYN OV.500 MG,BAYER S.A.
100014283,	GYNOCANESTEN 200 MG 3 OVULOS BLANDOS,BAYER S.A.
100025564,	GYNOCANESTEN CREMA VAG.20GR PAG.2LL3,BAYER S.A.
100017192,	GYNOCANESTEN CREMA VAGINAL 20 GR,BAYER S.A.
100017026,	JABON ACID MANTLE 90 GRAMOS,BAYER S.A.
100027380,	MEXSANA MEDICAL CREMA 15 GR,BAYER S.A.
100011663,	NATELE EASY GEL 28 CAPSULAS,BAYER S.A.
200035359,	REDOXITOS TOTAL GUMS 25 UND,BAYER S.A.
100027686,	REDOXON TOTAL 3 FCOS 10 TABS EFERVE.,BAYER S.A.
100026042,	REDOXON TOTAL EFER.20 TBS ECONOPACK,BAYER S.A.
100019140,	TABCIN ACTIVE LIQUID GEL 12 CAPSULAS,BAYER S.A.
100019139,	TABCIN ACTIVE LIQUID GEL 60 CAPSULAS,BAYER S.A.
100019142,	TABCIN NOCHE LIQUID GEL 12 CAPSULAS,BAYER S.A.
100019141,	TABCIN NOCHE LIQUID GEL 60 CAPSU (RF),BAYER S.A.
100021220,	TALCID CEREZA 60 TABLETAS,BAYER S.A.
100016012,	TALCID SUSPENSION FRUTAS TROP.150 ML,BAYER S.A.
200045139,	TALCO MEXSANA 150GRS + TALCO 85GRS IVA,BAYER S.A.
200045141,	TALCO MEXSANA 150GRS IVA,BAYER S.A.
200045140,	TALCO MEXSANA 300GRS + TALCO 85GRS IVA,BAYER S.A.
200045142,	TALCO MEXSANA 85GRS IVA,BAYER S.A.
200024946,	TALCO MEXSANA AVENA 300GR+TAL.85 GR P.E.,BAYER S.A.
200023666,	TALCO MEXSANA AVENA 85 GR,BAYER S.A.
200042969,	TALCO MEXSANA LADY 150 GR,BAYER S.A.
200036950,	TALCO MEXSANA LADY 300 GR+85 GR P.E.IVA,BAYER S.A.
200037153,	TALCO MEXSANA LADY 85 GR IVA,BAYER S.A.
200039018,	TALCO MEXSANA LADY SPRAY 260 ML.,BAYER S.A.
200033630,	TALCO SECCO 150 GR IVA,BAYER S.A.
200033628,	TALCO SECCO 150 GR+90 GR P.E.IVA,BAYER S.A.
200033627,	TALCO SECCO 300 GR+90 GR P.E,BAYER S.A.
200033629,	TALCO SECCO 90 GR IVA,BAYER S.A.
200004685,COPITOS HANSAPLAST 20 UND,BEIERSDORF S.A.
200004698,CREMA NIVEA 150 GR R.363,BEIERSDORF S.A.
200004700,CREMA NIVEA 250 GR R.370,BEIERSDORF S.A.
200004701,CREMA NIVEA X 30 ML,BEIERSDORF S.A.
200004702,CREMA NIVEA 60 ML,BEIERSDORF S.A.
200004719,CREMA NIVEA BODY MILK ALMENDRAS 125 ML,BEIERSDORF S.A.
200004725,CREMA NIVEA B.MILK NUTRITI (ALMEND)400ML,BEIERSDORF S.A.
200004787,EUCERIN PH5 LOCION 250 ML,BEIERSDORF S.A.
200004789,EUCERIN PH5 SYNDET BARRA 100 GR,BEIERSDORF S.A.
200004790,EUCERIN PH5 SYNDET GEL 250 ML,BEIERSDORF S.A.
200004795,PROT.LABIAL EUCERIN 4.8 GR,BEIERSDORF S.A.
200004832,POMITOS HANSAPLAST BOLSA 50 UND,BEIERSDORF S.A.
200004833,REDUCTOR DE CICAT.HANSAPLAST 21 UND,BEIERSDORF S.A.
200004844,HIDROFUGAL ANTI-TRANSPI.ROLL-ON 50 ML,BEIERSDORF S.A.
200004851,LECHE LIMPIADORA NIVEA 200 ML R.81100,BEIERSDORF S.A.
