Grupo,Cod Producto,Nombre,Inventario Caja,Inventario Blister,Costo Unidad,Costo Blister,Costo Caja,% Iva,Inventario Unidad,Costo Total,Costo Total Iva,Venta Total,Ibua,Icui
,000103925,Polvo F. Compacto N 25 Moca X 15 G,1.0,0.0,0.0,0.0,17243.0,0.19,0.0,20519.17,3276.17,25700.0,0.0,
,000103927,Polvo F. Compacto N 27 Cocoa X 15 G,1.0,0.0,0.0,0.0,17243.0,0.19,0.0,20519.17,3276.17,25700.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000291323,Labial Colorissimo Ld 8Hr Flamingo R,1.0,0.0,0.0,0.0,4602.0,0.19,0.0,5476.38,874.38,6600.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000291880,Vogue Lapiz Cejas Fantastic Camel,3.0,0.0,0.0,0.0,6851.5,0.19,0.0,24459.86,3905.36,33000.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000298520,Vogue Esmalte Fantastic 19 Glaciar,1.0,0.0,0.0,0.0,2207.0,0.19,0.0,2626.33,419.33,4200.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000328456,Vogue Labial Colorissimo Liquido Granate,1.0,0.0,0.0,0.0,5101.0,0.19,0.0,6070.19,969.19,7800.0,0.0,
MULTIFARMA,00053794,PAPAS MARGARITAS LIMON 105 GR,1.0,0.0,0.0,0.0,4629.0,0.19,0.0,5508.51,879.51,7400.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000787078,COLORISSIMO EXTRA BRILLO TROPICAL 5ML,1.0,0.0,0.0,0.0,8240.0,0.19,0.0,9805.6,1565.6,12500.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000826678,Vogue Betun Pomada Camel 4G,2.0,0.0,0.0,0.0,7100.0,0.19,0.0,16898.0,2698.0,21800.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000827033,DELINEADOR A PRUEBA DE AGUA LUZETTE DE VOGUE 10 GR,1.0,0.0,0.0,0.0,6942.0,0.19,0.0,8260.98,1318.98,11200.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000841961,Vogue Labial Colorissimo Atrevida 2G,1.0,0.0,0.0,0.0,4602.0,0.19,0.0,5476.38,874.38,6600.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000847277,VOGUE BASE VAL M NAT AH BRONCE 30ML,1.0,0.0,0.0,0.0,13350.0,0.19,0.0,15886.5,2536.5,19200.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000847291,VOGUE BASE VAL M NAT AH AVELLANA 30ML,1.0,0.0,0.0,0.0,13350.0,0.19,0.0,15886.5,2536.5,19200.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000847918,Vogue Base Val M Nat Ah Canela 30Ml,1.0,0.0,0.0,0.0,10793.0,0.19,0.0,12843.67,2050.67,15500.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000848403,BASE DE MAQUILLA ESSENTIAL AVELLANA,1.0,0.0,0.0,0.0,7868.0,0.19,0.0,9362.92,1494.92,12400.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000848434,VOGUE BASE ESSENTIAL BRONCE 25ML,1.0,0.0,0.0,0.0,6897.0,0.19,0.0,8207.43,1310.43,12500.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000848458,BASE DE MAQUILLAJE ESSENTIAL NATURAL 25 ML,1.0,0.0,0.0,0.0,7868.0,0.19,0.0,9362.92,1494.92,12400.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000848748,PESTANINA ESSENTIAL VOGUE 8ML,1.0,0.0,0.0,0.0,6323.0,0.19,0.0,7524.37,1201.37,10500.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000848755,Vogue Esm Fantastic Topacio 10Ml,1.0,0.0,0.0,0.0,2742.0,0.19,0.0,3262.98,520.98,4000.0,0.0,
MULTIFARMA,000884548,COLORISSIMO LABIAL LIQ. MATE POMELO VOGUE,1.0,0.0,0.0,0.0,5953.0,0.19,0.0,7084.07,1131.07,10000.0,0.0,
MULTIFARMA,00578,LABIAL LIQUIDO ANGEL ROSE,2.0,0.0,0.0,0.0,5084.0,0.19,0.0,12099.92,1931.92,20200.0,0.0,
MULTIFARMA,007214,ESMALTE    SURTIDO  10 ML VOGUE,3.0,0.0,0.0,0.0,2882.0,0.19,0.0,10288.74,1642.74,13800.0,0.0,
MULTIFARMA,0614143401350,REMOVEDOR DE CUTICULA AKARELLA,2.0,0.0,0.0,0.0,3991.5,0.19,0.0,9499.77,1516.77,27200.0,0.0,
DICOLFARMA,0658325386035,ESTEVIA ARMONIZA 30 ML,1.0,0.0,0.0,0.0,9299.0,0.05,0.0,9763.95,464.95,32600.0,0.0,
DICOLFARMA,0658325386080,CANNABIS GOTAS ORALES 30 ML,2.0,0.0,0.0,0.0,14850.0,0.0,0.0,29700.0,0.0,74400.0,0.0,
DICOLFARMA,0658325386110,GINKGO BILOBA ARMONIZA 30 CAPSULAS,2.0,0.0,0.0,0.0,11547.0,0.0,0.0,23094.0,0.0,57800.0,0.0,
DICOLFARMA,0658325386196,ALIMENTO EN POLVO AVENA GUAYABA MANI 450GR,1.0,0.0,0.0,0.0,19980.0,0.0,0.0,19980.0,0.0,50000.0,0.0,
PEPSICO,070847004707,MONSTER GREEN LATA 473ML ,2.0,0.0,0.0,0.0,5876.63,0.19,0.0,13986.38,2233.12,18000.0,0.0,
DICOLFARMA,0745853173128,CASTAÑO DE INDIAS ARMONIZA 60 CAPSU,1.0,0.0,0.0,0.0,19440.0,0.0,0.0,19440.0,0.0,48600.0,0.0,
DICOLFARMA,0745853173135,MENOS PAUSE-MUJER PLENA 60ML,1.0,0.0,0.0,0.0,15840.0,0.0,0.0,15840.0,0.0,39600.0,0.0,
