Grupo,Cod Producto,Nombre,Inventario Caja,Inventario Blister,Costo Unidad,Costo Blister,Costo Caja,% Iva,Inventario Unidad,Costo Total,Costo Total Iva,Venta Total,Ibua,Icui
N/A ,000103930,POLVO COMPACTO C FS N° 30,3.0,0.0,0.0,0.0,12550.0,0.19,0.0,44803.5,7153.5,70200.0,0.0,
N/A ,000103958,POLVO COMPACTO KALOE # 8 CAOBA,1.0,0.0,0.0,0.0,5877.0,0.19,0.0,6993.63,1116.63,9300.0,0.0,
,000104368,Corrector Facial Mousse Am Medio X 2G,1.0,0.0,0.0,0.0,7505.0,0.19,0.0,8930.95,1425.95,10800.0,0.0,
LAB. COSMETICOS VOGUE S.A.,000291880,Vogue Lapiz Cejas Fantastic Camel,1.0,0.0,0.0,0.0,6120.5,0.19,0.0,7283.4,1162.9,11000.0,0.0,
LAB. COSMETICOS VOGUE S.A.,000786217,Corr Liq Mate Nat Arena 5Ml,1.0,0.0,0.0,0.0,7184.0,0.19,0.0,8548.96,1364.96,10300.0,0.0,
LAB. COSMETICOS VOGUE S.A.,000786224,Corr Liq Mate Nat Avellana 5Ml,1.0,0.0,0.0,0.0,7184.0,0.19,0.0,8548.96,1364.96,10300.0,0.0,
LAB. COSMETICOS VOGUE S.A.,000826722,Vogue Mascara De Cejas Caoba 8G,2.0,0.0,0.0,0.0,7889.0,0.19,0.0,18775.82,2997.82,22400.0,0.0,
LAB. COSMETICOS VOGUE S.A.,000828979,Vogue Esmalte Efecto Gel Resplandecen 14,1.0,0.0,0.0,0.0,4538.0,0.19,0.0,5400.22,862.22,6500.0,0.0,
LAB. COSMETICOS VOGUE S.A.,000845501,Vogue Esm Efecto Gel Grandeza 14Ml,1.0,0.0,0.0,0.0,4629.0,0.19,0.0,5508.51,879.51,6700.0,0.0,
LAB. COSMETICOS VOGUE S.A.,000847277,Vogue Base Val M Nat Ah Bronce 30Ml,1.0,0.0,0.0,0.0,13350.0,0.19,0.0,15886.5,2536.5,19200.0,0.0,
LAB. COSMETICOS VOGUE S.A.,000848755,Vogue Esm Fantastic Topacio 10Ml,1.0,0.0,0.0,0.0,2742.0,0.19,0.0,3262.98,520.98,4000.0,0.0,
ACCESORIOS,002A,MOÑA REF 002,10.0,0.0,0.0,0.0,1400.0,0.19,0.0,16660.0,2660.0,42000.0,0.0,
,00311057C,Esmalte Diva 13.5 Ml No. 426 Masglo,1.0,0.0,0.0,0.0,4996.0,0.19,0.0,5945.24,949.24,7400.0,0.0,
,00311156C,Brillo Ajedrez 13.5 Ml Masglo,1.0,0.0,0.0,0.0,5814.0,0.19,0.0,6918.66,1104.66,9200.0,0.0,
,00311285C,Admiss Gabriel 10Ml,1.0,0.0,0.0,0.0,2048.0,0.19,0.0,2437.12,389.12,3200.0,0.0,
,00312469C,Admiss Matificador 10Ml,1.0,0.0,0.0,0.0,2213.0,0.19,0.0,2633.47,420.47,3900.0,0.0,
MULTIFARMA,00375,MOÑOS SURTIDOS,3.0,0.0,0.0,0.0,3571.5,0.19,0.0,12750.26,2035.76,21300.0,0.0,
COMIS-GCNG,01386,VILAFAR UNG 15G,3.0,0.0,0.0,0.0,9041.83,0.0,0.0,27125.49,0.0,67800.0,0.0,
