Grupo,Cod Producto,Nombre,Inventario Caja,Inventario Blister,Costo Unidad,Costo Blister,Costo Caja,% Iva,Inventario Unidad,Costo Total,Costo Total Iva,Venta Total,Ibua,Icui
,000103922,POLVO COMPACTO CON FS NO 22 SANDALO,1.0,0.0,0.0,0.0,17242.5,0.19,0.0,20518.58,3276.08,25700.0,0.0,
,000103930,Polvo Compacto Con Fs Marron,1.0,0.0,0.0,0.0,11875.0,0.19,0.0,14131.25,2256.25,17200.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000291170,Vogue Labial Colorissimo Larga Duracion,1.0,0.0,0.0,0.0,4996.0,0.19,0.0,5945.24,949.24,6600.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000291903,Vogue Corrector Cremoso Barra Natural,1.0,0.0,0.0,0.0,5683.0,0.19,0.0,6762.77,1079.77,8200.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000292825,Vogue Rubor Compacto Bronce,1.0,0.0,0.0,0.0,3142.0,0.19,0.0,3738.98,596.98,4500.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000304153,Vogue Rubor Compacto Fantastic Petalo,1.0,0.0,0.0,0.0,3027.0,0.19,0.0,3602.13,575.13,4500.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000304160,Vogue Rubor Compacto Coqueta,1.0,0.0,0.0,0.0,2883.0,0.19,0.0,3430.77,547.77,4000.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000328517,Vogue Labial Colorissimo Liquido Atracci,3.0,0.0,0.0,0.0,5454.0,0.19,0.0,19470.78,3108.78,23400.0,0.0,
N/A ,000676,CATETER BRAUN  NO. 16   ,1.0,0.0,0.0,0.0,1823.0,0.0,0.0,1823.0,0.0,2500.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000787061,COLORISSIMO EXTRA BRILLO FIESTA 5ML,1.0,0.0,0.0,0.0,8240.0,0.19,0.0,9805.6,1565.6,10500.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000787078,COLORISSIMO EXTRA BRILLO TROPICAL 5ML,2.0,0.0,0.0,0.0,8240.0,0.19,0.0,19611.2,3131.2,24000.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000789119,Vogue Esm Fantastic Mora Vivaz 10Ml,2.0,0.0,0.0,0.0,2567.33,0.19,0.0,6110.25,975.59,8000.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000789201,Vogue Esmalte Fantastic Empoderada 10Ml,1.0,0.0,0.0,0.0,2742.0,0.19,0.0,3262.98,520.98,4000.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000828092,VOGUE LABIAL LIQ COLORISSIMO INTRIGA,1.0,0.0,0.0,0.0,7660.0,0.19,0.0,9115.4,1455.4,10500.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000828450,Vogue Base Maq Ld Capuccino 30Ml,1.0,0.0,0.0,0.0,14190.0,0.19,0.0,16886.1,2696.1,20400.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000840247,Vogue Tinta De Cejas Resist Cafe,2.0,0.0,0.0,0.0,9630.0,0.19,0.0,22919.4,3659.4,27800.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000840636,VOGUE LABIAL LIQ RESIST ATREVIDA 3ML,1.0,0.0,0.0,0.0,15903.0,0.19,0.0,18924.57,3021.57,19900.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000840735,Vogue Labial Colorissimo Liquido Ocaso,1.0,0.0,0.0,0.0,5454.0,0.19,0.0,6490.26,1036.26,7800.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000841886,VOGUE LABIAL COLORISSIMO LARGA DURACION SEGURA,1.0,0.0,0.0,0.0,6962.0,0.19,0.0,8284.78,1322.78,10500.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000841893,VOGUE LABIAL COLORISSIMO LARGA DURACION EMPODERADA,1.0,0.0,0.0,0.0,6962.0,0.19,0.0,8284.78,1322.78,10500.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000841961,Vogue Labial Colorissimo Atrevida 2G,1.0,0.0,0.0,0.0,4602.0,0.19,0.0,5476.38,874.38,6600.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000842388,LAB SUP COL BRILL AUTENTICA 4G,1.0,0.0,0.0,0.0,4983.0,0.19,0.0,5929.77,946.77,7500.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000842579,LAB SUP COL BRILL CURIOSA 4G,1.0,0.0,0.0,0.0,4983.0,0.19,0.0,5929.77,946.77,7500.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000845846,LABIAL RESIST ROMANTICA 3ML,1.0,0.0,0.0,0.0,15903.0,0.19,0.0,18924.57,3021.57,19900.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000847277,VOGUE BASE VAL M NAT AH BRONCE 30ML,1.0,0.0,0.0,0.0,13350.0,0.19,0.0,15886.5,2536.5,19200.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000847291,VOGUE BASE VAL M NAT AH AVELLANA 30ML,1.0,0.0,0.0,0.0,13350.0,0.19,0.0,15886.5,2536.5,19200.0,0.0,
LAB. COSMETICOS VOGUE S.A.S,000848434,VOGUE BASE ESSENTIAL BRONCE 25ML,1.0,0.0,0.0,0.0,6897.0,0.19,0.0,8207.43,1310.43,12500.0,0.0,
