Grupo,Cod Producto,Nombre,Inventario Caja,Inventario Blister,Costo Unidad,Costo Blister,Costo Caja,% Iva,Inventario Unidad,Costo Total,Costo Total Iva,Venta Total,Ibua,Icui
,000103902,Polvo Compacto Con Fs No 2,1.0,0.0,0.0,0.0,13775.0,0.19,0.0,16392.25,2617.25,19800,0,
,000103927,Polvo F. Compacto N 27 Cocoa X 15 G,1.0,0.0,0.0,0.0,17243.0,0.19,0.0,20519.17,3276.17,25700,0,
,000103930,Polvo Compacto Con Fs Marron,1.0,0.0,0.0,0.0,17243.0,0.19,0.0,20519.17,3276.17,25700,0,
,000103932,Compacto Am Aclarante Hte Perla X 15 G,1.0,0.0,0.0,0.0,15485.0,0.19,0.0,18427.15,2942.15,22300,0,
,000104438,Base Hidratante Kaloe Oscuro,1.0,0.0,0.0,0.0,7790.0,0.19,0.0,9270.1,1480.1,11200,0,
,000105642,Corrector Facial Kaloe Oscuro,1.0,0.0,0.0,0.0,5985.0,0.19,0.0,7122.15,1137.15,8600,0,
LAB. COSMETICOS VOGUE S.A.S,000292788,Vogue Rubor Compacto Coralino,1.0,0.0,0.0,0.0,4405.0,0.19,0.0,5241.95,836.95,6400,0,
,000312926,Admiss Jaime 10 Ml,1.0,0.0,0.0,0.0,1940.0,0.19,0.0,2308.6,368.6,3000,0,
,000312950,Admiss Brillo Ambar 10 Ml,1.0,0.0,0.0,0.0,2857.0,0.19,0.0,3399.83,542.83,4000,0,
,000312951,Admiss Brillo Bronce 10 Ml,1.0,0.0,0.0,0.0,2857.0,0.19,0.0,3399.83,542.83,0,0,
,000313090,Admiss Daniel 10Ml,1.0,0.0,0.0,0.0,2857.0,0.19,0.0,3399.83,542.83,3600,0,
,00033817C,Admiss Brillo Efecto Gel 10Ml,1.0,0.0,0.0,0.0,3403.0,0.19,0.0,4049.57,646.57,5100,0,
LAB. COSMETICOS VOGUE S.A.S,000781151,Vogue Esmalte Fantastic Nebulosa 10Ml,1.0,0.0,0.0,0.0,2339.0,0.19,0.0,2783.41,444.41,3400,0,
LAB. COSMETICOS VOGUE S.A.S,000841961,Vogue Labial Colorissimo Atrevida 2G,1.0,0.0,0.0,0.0,4602.0,0.19,0.0,5476.38,874.38,6600,0,
,00310010C,Base Ajo Y Limon 10 Ml Admiss,2.0,0.0,0.0,0.0,2857.0,0.19,0.0,6799.66,1085.66,8600,0,
,00310016C,Brillo Secante 13.5 Ml Masglo,2.0,0.0,0.0,0.0,6534.25,0.19,0.0,15551.52,2483.02,19600,0,
,00310027C,Esmalte Novia 13.5 Ml No. 54 Masglo,2.0,0.0,0.0,0.0,6120.0,0.19,0.0,14565.6,2325.6,18400,0,
,00310051C,Negro 13.5 Ml # 0-4 Masglo,2.0,0.0,0.0,0.0,6119.84,0.19,0.0,14565.22,2325.54,18400,0,
,00310053C,Esmalte Tiza 13.5 Ml No. 01 Masglo,2.0,0.0,0.0,0.0,6119.67,0.19,0.0,14564.81,2325.47,18400,0,
,00310054C,Esmalte Frances 13.5 Ml No. 02 Masglo,1.0,0.0,0.0,0.0,6120.0,0.19,0.0,7282.8,1162.8,9200,0,
,00310059C,Amante 13.5 Ml # 116 Masglo,1.0,0.0,0.0,0.0,6120.0,0.19,0.0,7282.8,1162.8,9200,0,
,00310060C,Soltera 13.5 Ml # 117 Masglo,1.0,0.0,0.0,0.0,6120.0,0.19,0.0,7282.8,1162.8,8600,0,
,00310064C,Esmalte Gomela 13.5 Ml No. 131 Masglo,1.0,0.0,0.0,0.0,6120.0,0.19,0.0,7282.8,1162.8,9200,0,
,00310075C,Actual 13.5Ml Masglo,1.0,0.0,0.0,0.0,6120.0,0.19,0.0,7282.8,1162.8,9200,0,
,00310079C,Esmalte Golosa 13.5 Ml No. 184 Masglo,1.0,0.0,0.0,0.0,6120.0,0.19,0.0,7282.8,1162.8,9200,0,
,00310082C,Esmalte Linda 13.5 Ml No. 20 Masglo,2.0,0.0,0.0,0.0,6119.5,0.19,0.0,14564.41,2325.41,18400,0,
,00310093C,Esmalte Fiesta 13.5 Ml No. 22 Masglo,2.0,0.0,0.0,0.0,6119.5,0.19,0.0,14564.41,2325.41,18400,0,
,00310097C,Marinera 13.5Ml Masglo,1.0,0.0,0.0,0.0,6120.0,0.19,0.0,7282.8,1162.8,9200,0,
,00310104C,Esmalte Sangre Toro 13.5 Ml No. 24 Masgl,3.0,0.0,0.0,0.0,6119.67,0.19,0.0,21847.22,3488.21,27600,0,
,00310109C,Esmalte Blanco Nacar 13.5 Ml No. 25 Masg,1.0,0.0,0.0,0.0,6119.67,0.19,0.0,7282.41,1162.74,7600,0,
,00310114C,Esmalte Ausente 13.5 Ml No. 264 Masglo,2.0,0.0,0.0,0.0,6119.5,0.19,0.0,14564.41,2325.41,18400,0,
,00310130C,Torera 13.5Ml Masglo,1.0,0.0,0.0,0.0,6120.0,0.19,0.0,7282.8,1162.8,9200,0,
,00310148C,Esmalte Fufurufa 13.5 Ml No. 312 Masglo,1.0,0.0,0.0,0.0,6120.0,0.19,0.0,7282.8,1162.8,9200,0,
,00310153C,Esmalte Atractiva 13.5 Ml No. 317 Masglo,1.0,0.0,0.0,0.0,6120.0,0.19,0.0,7282.8,1162.8,7600,0,
,00310171C,Candidata 13.5Ml Masglo,1.0,0.0,0.0,0.0,6120.0,0.19,0.0,7282.8,1162.8,9200,0,
,00310173C,Esmalte Ejecutiva 13.5 Ml No. 59 Masglo,2.0,0.0,0.0,0.0,6120.0,0.19,0.0,14565.6,2325.6,18400,0,
,00310175C,Consentida 13.5Ml Masglo,1.0,0.0,0.0,0.0,6120.0,0.19,0.0,7282.8,1162.8,9300,0,
,00310205C,Juanes 10 Ml # E114 Admiss,1.0,0.0,0.0,0.0,2857.0,0.19,0.0,3399.83,542.83,3600,0,
,00310214C,Santi 10 Ml # E128 Admiss,1.0,0.0,0.0,0.0,2857.0,0.19,0.0,3399.83,542.83,5000,0,
,00310236C,Tono 10 Ml # E161 Admiss,1.0,0.0,0.0,0.0,1838.0,0.19,0.0,2187.22,349.22,3000,0,
,00310266C,Base Fortalecedora Calcio 10 Ml Admiss,1.0,0.0,0.0,0.0,2857.0,0.19,0.0,3399.83,542.83,3600,0,
,00310268C,Admiss Decoracion Brillo Tornasol 10Ml,1.0,0.0,0.0,0.0,2857.0,0.19,0.0,3399.83,542.83,4500,0,
,00310271C,Base Rosada 10 Ml Admiss,2.0,0.0,0.0,0.0,2857.0,0.19,0.0,6799.66,1085.66,8600,0,
,00310306C,Matificador 13.5Ml Masglo,2.0,0.0,0.0,0.0,5486.0,0.19,0.0,13056.68,2084.68,17200,0,
,00310473C,Esmalte Intuitiva 13.5Ml 346 Masglo,2.0,0.0,0.0,0.0,6119.5,0.19,0.0,14564.41,2325.41,18400,0,
,00310534C,Entretenida 13.5Ml Masglo,1.0,0.0,0.0,0.0,6120.0,0.19,0.0,7282.8,1162.8,9200,0,
,00310551C,Brillo Cosmico 10 Ml Admiss,1.0,0.0,0.0,0.0,2857.0,0.19,0.0,3399.83,542.83,4000,0,
,00310905C,Esmalte Granizado Dorado 13.5 Ml # 371,1.0,0.0,0.0,0.0,6120.0,0.19,0.0,7282.8,1162.8,8600,0,
,00310918C,Esmalte Virginal 13.5 Ml No. 388 Masglo,1.0,0.0,0.0,0.0,6119.5,0.19,0.0,7282.21,1162.71,9200,0,
,00311033C,Esmalte Regia 13.5 Ml # 410 Masglo,1.0,0.0,0.0,0.0,6120.0,0.19,0.0,7282.8,1162.8,9200,0,
,00311054C,Esmalte Malvada 13.5 Ml # 423 Masglo,1.0,0.0,0.0,0.0,6120.0,0.19,0.0,7282.8,1162.8,9200,0,
,00311155C,Brillo Hielo 10 Ml Admiss,1.0,0.0,0.0,0.0,3403.0,0.19,0.0,4049.57,646.57,5100,0,
,00311156C,Brillo Ajedrez 13.5 Ml Masglo,1.0,0.0,0.0,0.0,6120.0,0.19,0.0,7282.8,1162.8,9200,0,
,00311320C,Esmalte Primera Dama 13.5 Ml No. 462 Ma,1.0,0.0,0.0,0.0,6120.0,0.19,0.0,7282.8,1162.8,9200,0,
,00311406C,Brillo Confianza 13.5 Ml Masglo,1.0,0.0,0.0,0.0,6120.0,0.19,0.0,7282.8,1162.8,9200,0,
,00311421C,Admiss Eduardo 10Ml,1.0,0.0,0.0,0.0,2857.0,0.19,0.0,3399.83,542.83,5000,0,
,00311744C,Juguetona 13.5 Ml # 492 Masglo,2.0,0.0,0.0,0.0,6119.5,0.19,0.0,14564.41,2325.41,18400,0,
,00311830C,Base Unas Fuertes 13.5 Ml Masglo,1.0,0.0,0.0,0.0,6119.5,0.19,0.0,7282.21,1162.71,9200,0,
,00311832C,Base Rosada Nutritiva 13.5 Ml Masglo,3.0,0.0,0.0,0.0,6119.52,0.19,0.0,21846.69,3488.13,27600,0,
