Grupo,Cod Producto,Nombre,Inventario Caja,Inventario Blister,Costo Unidad,Costo Blister,Costo Caja,% Iva,Inventario Unidad,Costo Total,Costo Total Iva,Venta Total,Ibua,Icui
,000103922,Polvo Compacto Con Fs No 22,2.0,0.0,0.0,0.0,15675.0,0.19,0.0,37306.5,5956.5,46800,0,
,000103930,Polvo Compacto Con Fs No 30,1.0,0.0,0.0,0.0,11428.0,0.19,0.0,13599.32,2171.32,16400,0,
,000103955,Polvo Compacto Kaloe No 6 Canela,1.0,0.0,0.0,0.0,6460.0,0.19,0.0,7687.4,1227.4,9300,0,
N/A ,000103958,POLVO COMPACTO KALOE # 8 CAOBA,1.0,0.0,0.0,0.0,5546.0,0.19,0.0,6599.74,1053.74,8000,0,
,000103984,Com Control Imperfecciones Kaloe 4 Bronc,1.0,0.0,0.0,0.0,8265.0,0.19,0.0,9835.35,1570.35,12300,0,
,000105605,Labial Kaloe Ld N. 5 Pimienta X 2 G,1.0,0.0,0.0,0.0,4133.0,0.19,0.0,4918.27,785.27,6500,0,
LAB. COSMETICOS VOGUE S.A.,000292924,Vogue Sombra Fantastic Trio Gota 06 Expr,1.0,0.0,0.0,0.0,4937.0,0.19,0.0,5875.03,938.03,7100,0,
LAB. COSMETICOS VOGUE S.A.,000292962,Vogue Sombra Trio Cactus 15 Romance,1.0,0.0,0.0,0.0,4937.0,0.19,0.0,5875.03,938.03,7100,0,
LAB. COSMETICOS VOGUE S.A.,000298926,VOGUE ESMALTE FANTASTIC 33 OLE Y OLE,1.0,0.0,0.0,0.0,2480.0,0.19,0.0,2951.2,471.2,3600,0,
MASGLO,000311492,Esmalte David 8 Ml # E126 Admiss,2.0,0.0,0.0,0.0,2042.0,0.19,0.0,4859.96,775.96,6000,0,
MASGLO,000313088,Admiss Ángel 10Ml,1.0,0.0,0.0,0.0,2048.0,0.19,0.0,2437.12,389.12,3000,0,
,000330325,Panitos Removedores Quitaesmaltes Masglo,1.0,0.0,0.0,0.0,3403.0,0.19,0.0,4049.57,646.57,4800,0,
LAB. COSMETICOS VOGUE S.A.,000826678,Vogue Betun Pomada Camel 4G,1.0,0.0,0.0,0.0,6264.0,0.19,0.0,7454.16,1190.16,9000,0,
LAB. COSMETICOS VOGUE S.A.,000841749,Vogue Corrector Cremoso Naranja 4.5G,1.0,0.0,0.0,0.0,5093.0,0.19,0.0,6060.67,967.67,8000,0,
,00310173C,Ejecutiva 13.5 Ml # 59 Masglo,1.0,0.0,0.0,0.0,5069.75,0.19,0.0,6033.0,963.25,9200,0,
,00310219C,Rafa 10 Ml # E138 Admiss,1.0,0.0,0.0,0.0,1838.0,0.19,0.0,2187.22,349.22,3000,0,
,00311054C,Esmalte Malvada 13.5 Ml # 423 Masglo,1.0,0.0,0.0,0.0,5239.0,0.19,0.0,6234.41,995.41,9200,0,
,00311833C,Baseantiescamación Endurece 13.5Mlmasglo,1.0,0.0,0.0,0.0,4996.0,0.19,0.0,5945.24,949.24,9200,0,
,00312212C,Bipolar 13.5Ml Masglo,1.0,0.0,0.0,0.0,5725.0,0.19,0.0,6812.75,1087.75,8300,0,
MULTIFARMA,00593A,PESTAÑINA PINK COSMETIC PUMPED,1.0,0.0,0.0,0.0,6806.5,0.19,0.0,8099.74,1293.24,13800,0,
,044390000,Silicona Para Cabello Display X 24 Und,0.0,0.0,1089.38,0.0,0.0,0.19,11.0,14259.97,2276.79,19800,0,
MULTIFARMA,0614143401350,REMOVEDOR DE CUTICULA AKARELLA,1.0,0.0,0.0,0.0,3991.5,0.19,0.0,4749.89,758.39,13600,0,
DICOLFARMA,0658325385946,LAXCO PAPAYA CIRUELA ARMONIZA 500 ML,2.0,0.0,0.0,0.0,13347.5,0.0,0.0,26695.0,0.0,66800,0,
DICOLFARMA,0658325386110,GINKGO BILOBA ARMONIZA 30 CAPSULAS,1.0,0.0,0.0,0.0,11547.0,0.0,0.0,11547.0,0.0,28900,0,
DICOLFARMA,0658325386127,CHANCA PIEDRA PHYLLANTHUS D2 X 90 CPS,2.0,0.0,0.0,0.0,17846.0,0.0,0.0,35692.0,0.0,89400,0,
DICOLFARMA,0658325386134,CURCUMA ARMONIZA 350MG X 60 CAPS LOND-2,2.0,0.0,0.0,0.0,16795.5,0.0,0.0,33591.0,0.0,84000,0,
DICOLFARMA,0658325386219,ICE POWER GEL COSMETICA X 160GR,3.0,0.0,0.0,0.0,12391.0,0.19,0.0,44235.87,7062.87,147600,0,
DICOLFARMA,0745853173104,SAW PALMETTO ARMONIZA 90 CAPSU,1.0,0.0,0.0,0.0,22356.0,0.0,0.0,22356.0,0.0,55900,0,
DICOLFARMA,0745853173111,CLORURO DE MAGNESIO ARMONIZA 90 CAPSU,1.0,0.0,0.0,0.0,20412.0,0.0,0.0,20412.0,0.0,51100,0,
DICOLFARMA,0745853173128,CASTAÑO DE INDIAS ARMONIZA 60 CAPSU,2.0,0.0,0.0,0.0,19440.0,0.0,0.0,38880.0,0.0,97200,0,
DICOLFARMA,0745853173159,ARNICA CREMA PROTECTORA 12 GR,2.0,0.0,0.0,0.0,2920.5,0.19,0.0,6950.79,1109.79,23400,0,
DICOLFARMA,0745853173203,CITRATO DE MAGNESIO 90 CAPS,2.0,0.0,0.0,0.0,21384.0,0.0,0.0,42768.0,0.0,107000,0,
DICOLFARMA,0745853173258,GOTAS VALERIANA X 30ML ARMONIZA,6.0,0.0,0.0,0.0,2520.0,0.0,0.0,15120.0,0.0,37800,0,
DICOLFARMA,0745853173265,CITRATO DE POTASIO X 90 UND,2.0,0.0,0.0,0.0,21384.0,0.0,0.0,42768.0,0.0,107000,0,
