Grupo,Cod Producto,Nombre,Inventario Caja,Inventario Blister,Costo Unidad,Costo Blister,Costo Caja,% Iva,Inventario Unidad,Costo Total,Costo Total Iva,Venta Total,Ibua,Icui
N/A ,000103922,POLVO COMPACTO CON FS NO 22,1.0,0.0,0.0,0.0,16981.0,0.19,0.0,20207.39,3226.39,25700,0,
N/A ,000103953,POLVO COMPACTO KALOE NO 4 BRO,1.0,0.0,0.0,0.0,7410.0,0.0,0.0,7410.0,0.0,7500,0,
LAB. COSMETICOS VOGUE S.A.,000289719,Vogue Esmalte Fantastic 01 Incoloro,1.0,0.0,0.0,0.0,2742.0,0.19,0.0,3262.98,520.98,4000,0,
LAB. COSMETICOS VOGUE S.A.,000290371,Vogue Esmalte Fantastic 111 Frenesi,1.0,0.0,0.0,0.0,1858.0,0.19,0.0,2211.02,353.02,2800,0,
LAB. COSMETICOS VOGUE S.A.,000291910,Vogue Correcto Cremoso Barra Beige R,1.0,0.0,0.0,0.0,5375.0,0.19,0.0,6396.25,1021.25,8000,0,
LAB. COSMETICOS VOGUE S.A.,000291927,Vogue Corrector Cremoso Barra Castano,1.0,0.0,0.0,0.0,5220.0,0.19,0.0,6211.8,991.8,7500,0,
LAB. COSMETICOS VOGUE S.A.,000292825,Vogue Rubor Compacto Bronce,1.0,0.0,0.0,0.0,3636.0,0.19,0.0,4326.84,690.84,5300,0,
LAB. COSMETICOS VOGUE S.A.,000298995,Esm Fant Treat Nu Brillo Secante,1.0,0.0,0.0,0.0,2742.0,0.19,0.0,3262.98,520.98,4000,0,
LAB. COSMETICOS VOGUE S.A.,000299749,Vogue Esmalte Fantastic Base Ajo Limon,1.0,0.0,0.0,0.0,2806.0,0.19,0.0,3339.14,533.14,4100,0,
,000313090,Admiss Daniel 10Ml,1.0,0.0,0.0,0.0,2048.0,0.19,0.0,2437.12,389.12,3000,0,
LAB. COSMETICOS VOGUE S.A.,000781151,Vogue Esmalte Fantastic Nebulosa 10Ml,1.0,0.0,0.0,0.0,2409.5,0.19,0.0,2867.31,457.81,3600,0,
LAB. COSMETICOS VOGUE S.A.,000781168,Vogue Esmalte Fantastic Centella 10Ml,1.0,0.0,0.0,0.0,2409.5,0.19,0.0,2867.31,457.81,3600,0,
