Grupo,Cod Producto,Nombre,Inventario Caja,Inventario Blister,Costo Unidad,Costo Blister,Costo Caja,% Iva,Inventario Unidad,Costo Total,Costo Total Iva,Venta Total,Ibua,Icui
,000103922,Polvo Compacto Con Fs No 22,1.0,0.0,0.0,0.0,17243.0,0.19,0.0,20519.17,3276.17,25700.0,0,
,000103923,Polvo Compacto Con Fs No 23,1.0,0.0,0.0,0.0,17243.0,0.19,0.0,20519.17,3276.17,25700.0,0,
,000103927,Polvo F. Compacto N 27 Cocoa X 15 G,1.0,0.0,0.0,0.0,15675.0,0.19,0.0,18653.25,2978.25,23400.0,0,
,000103952,Polvo Compacto Kaloe No 3 Miel,1.0,0.0,0.0,0.0,5294.0,0.19,0.0,6299.86,1005.86,7600.0,0,
LAB. COSMETICOS VOGUE S.A.S,000228817,Vogue Iluminador Ojos Rosa,1.0,0.0,0.0,0.0,3495.0,0.19,0.0,4159.05,664.05,5000.0,0,
LAB. COSMETICOS VOGUE S.A.S,000291323,Labial Colorissimo Ld 8Hr Flamingo R,2.0,0.0,0.0,0.0,4691.5,0.19,0.0,11165.77,1782.77,14000.0,0,
LAB. COSMETICOS VOGUE S.A.S,000291927,Vogue Corrector Cremoso Barra Castano,2.0,0.0,0.0,0.0,4408.0,0.19,0.0,10491.04,1675.04,12600.0,0,
LAB. COSMETICOS VOGUE S.A.S,000294379,Vogue Sombra Mono 09 Rosado,1.0,0.0,0.0,0.0,3233.0,0.19,0.0,3847.27,614.27,4500.0,0,
LAB. COSMETICOS VOGUE S.A.S,000304160,Vogue Rubor Compacto Coqueta,1.0,0.0,0.0,0.0,3027.0,0.19,0.0,3602.13,575.13,4000.0,0,
TECNOQUIMICAS S.A.,000310907,PAÑAL WINNY ULT SEC ET 1 X 50 UNDS,1.0,0.0,0.0,0.0,25672.0,0.19,0.0,30549.68,4877.68,34400.0,0,
