Grupo,Cod Producto,Nombre,Inventario Caja,Inventario Blister,Costo Unidad,Costo Blister,Costo Caja,% Iva,Inventario Unidad,Costo Total,Costo Total Iva,Venta Total,Ibua,Icui
,000103950,Polvo Compacto Kaloe No 1 Almendra,1.0,0.0,0.0,0.0,6460.0,0.19,0.0,7687.4,1227.4,9300.0,0,
,000104470,Corrector Facial Liq Antiedad Claro X 7G,1.0,0.0,0.0,0.0,13585.0,0.19,0.0,16166.15,2581.15,19500.0,0,
,000105323,Probador Compacto Anamaria,1.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0,
LAB. COSMETICOS VOGUE S.A.S,000289887,Vogue Esmalte Fantastic 94 Confeti,1.0,0.0,0.0,0.0,1942.0,0.19,0.0,2310.98,368.98,3000.0,0,
LAB. COSMETICOS VOGUE S.A.S,000290067,VOGUE ESMALTE FANTASTIC 46 DECO PLATA,1.0,0.0,0.0,0.0,2100.0,0.19,0.0,2499.0,399.0,3200.0,0,
LAB. COSMETICOS VOGUE S.A.S,000291934,Vogue Corrector Cremoso Barra Arena R,1.0,0.0,0.0,0.0,4736.0,0.19,0.0,5635.84,899.84,8200.0,0,
,000310171,Esmalte Candidata 13.5 Ml No. 56 Masglo,1.0,0.0,0.0,0.0,4628.0,0.19,0.0,5507.32,879.32,7600.0,0,
,000310175,Esmalte Consentida 13.5 Ml No. 96 Masglo,1.0,0.0,0.0,0.0,4628.0,0.19,0.0,5507.32,879.32,5700.0,0,
,000311053,Esmalte Amable 13.5 Ml # 422 Masglo,1.0,0.0,0.0,0.0,4628.0,0.19,0.0,5507.32,879.32,7600.0,0,
,000311427,Esmalte Luchadora 13.5 Ml No.  472 Masgl,1.0,0.0,0.0,0.0,4628.0,0.19,0.0,5507.32,879.32,6800.0,0,
,000311749,Esmalte Decoracion Esc Dorado 13.5 Ml No,1.0,0.0,0.0,0.0,2546.0,0.19,0.0,3029.74,483.74,4000.0,0,
,000312951,Admiss Brillo Bronce 10 Ml,1.0,0.0,0.0,0.0,2246.0,0.19,0.0,2672.74,426.74,3300.0,0,
,000313532,Removedor De Sistemas Para Unas 60 Ml,1.0,0.0,0.0,0.0,10119.5,0.19,0.0,12042.21,1922.71,15100.0,0,
,000313874,Creativa 8Ml Masglo Kids,1.0,0.0,0.0,0.0,21513.0,0.19,0.0,25600.47,4087.47,32100.0,0,
,000313875,Kit 1 Masglo Kids,1.0,0.0,0.0,0.0,21513.0,0.19,0.0,25600.47,4087.47,32100.0,0,
