Grupo,Cod Producto,Nombre,Inventario Caja,Inventario Blister,Costo Unidad,Costo Blister,Costo Caja,% Iva,Inventario Unidad,Costo Total,Costo Total Iva,Venta Total,Ibua,Icui
LAB. SMART S.A.,000002905,Nai Polvera Tradicional 4,1.0,0.0,0.0,0.0,6438.0,0.19,0.0,7661.22,1223.22,9600,0,
LAB. SMART S.A.,000002907,Nai Polvera Tradicional 6,1.0,0.0,0.0,0.0,6438.0,0.19,0.0,7661.22,1223.22,9600,0,
,000103902,Polvo Compacto Con Fs No 2,1.0,0.0,0.0,0.0,17243.0,0.19,0.0,20519.17,3276.17,25700,0,
,000103906,Polvo Compacto Con Fs No 6,1.0,0.0,0.0,0.0,17243.0,0.19,0.0,20519.17,3276.17,25700,0,
,000103907,Polvo Compacto Con Fs No 7 Avellana,1.0,0.0,0.0,0.0,17243.0,0.19,0.0,20519.17,3276.17,25700,0,
,000103913,Polvo Compacto Con Fs No 13,1.0,0.0,0.0,0.0,17243.0,0.19,0.0,20519.17,3276.17,25700,0,
,000103922,POLVO COMPACTO CON FS NO 22 SANDALO,1.0,0.0,0.0,0.0,17243.0,0.19,0.0,20519.17,3276.17,25700,0,
,000103923,Polvo Compacto Con Fs No 23 Canela,1.0,0.0,0.0,0.0,17243.0,0.19,0.0,20519.17,3276.17,25700,0,
,000103925,Polvo F. Compacto N 25 Moca X 15 G,1.0,0.0,0.0,0.0,17243.0,0.19,0.0,20519.17,3276.17,25700,0,
,000103927,Polvo F. Compacto N 27 Cocoa X 15 G,1.0,0.0,0.0,0.0,17243.0,0.19,0.0,20519.17,3276.17,25700,0,
MULTIFARMA,00573,LABIAL LIQUIDO 3Q ULTRA HD,2.0,0.0,0.0,0.0,4538.0,0.19,0.0,10800.44,1724.44,18000,0,
MULTIFARMA,00578,LABIAL LIQUIDO ANGEL ROSE,1.0,0.0,0.0,0.0,5084.0,0.19,0.0,6049.96,965.96,10100,0,
,040240000,Gel Antibacterial X 500 Ml,3.0,0.0,0.0,0.0,14400.0,0.0,0.0,43200.0,0.0,51000,0,
DICOLFARMA,0658325386134,CURCUMA ARMONIZA 350MG X 60 CAPS LOND-2,1.0,0.0,0.0,0.0,16795.0,0.0,0.0,16795.0,0.0,42000,0,
DICOLFARMA,0658325386189,COLAGENO HIDROLIZADO CON VITAMINAS MINERALES 450 GR,1.0,0.0,0.0,0.0,17812.0,0.0,0.0,17812.0,0.0,44600,0,
DICOLFARMA,0745853173111,CLORURO DE MAGNESIO ARMONIZA 90 CAPSU,2.0,0.0,0.0,0.0,20412.0,0.0,0.0,40824.0,0.0,102200,0,
DICOLFARMA,0745853173241,GOTAS PASIFLORA X 30ML ARMONIZA,2.0,0.0,0.0,0.0,2520.0,0.0,0.0,5040.0,0.0,12600,0,
COMIS-GCNG,0745853173265,CITRATO DE POTASIO X 90 UND,3.0,0.0,0.0,0.0,21385.0,0.0,0.0,64155.0,0.0,160500,0,
COMIS-GCNG,0745853548056,SANDRAN SANGRE DE DRAGO SABOR  ARANDANOS ,2.0,0.0,0.0,0.0,8136.0,0.0,0.0,16272.0,0.0,40800,0,
DICOLFARMA,0781159050541,RELAX FORT 60ML,1.0,0.0,0.0,0.0,7290.0,0.0,0.0,7290.0,0.0,18300,0,
HALEON COLOMBIA S.A.S.,100000011,MUCOSINA GOTAS 30 ML,1.0,0.0,0.0,0.0,18197.0,0.0,0.0,18197.0,0.0,20900,0,
EUROFARMA COLOMBIA S.A.S,100000097,NEOSALDINA 100 GRAGEAS (A),0.0,5.0,0.0,6239.2,0.0,0.0,0.0,31196.0,0.0,33500,0,
LAB. LEGRAND S.A.,100000113,PARACODINA JARABE 120 ML,2.0,0.0,0.0,0.0,19337.25,0.0,0.0,38674.5,0.0,52400,0,
ABBOTT LABORATORIES S.A,100000134,PEDIASURE POLVO VAINILLA 400 GR,2.0,0.0,0.0,0.0,28251.5,0.0,0.0,56503.0,0.0,117200,0,
ABBOTT LABORATORIES S.A,100000135,PEDIASURE POLVO CHOCOLATE 400 GR,2.0,0.0,0.0,0.0,56502.98,0.0,0.0,113005.96,0.0,117000,0,
LABORATORIO FRANCO COLOMB,100000170,VALCOTE 500 MG 30 T(3%+)(A)(P)73200(PAE),1.0,0.0,0.0,0.0,125523.5,0.0,0.0,125523.5,0.0,134000,0,
AXON PHARMA SAS,100000192,MAXITROL UNGUENTO 3.5 GR(R)(SAV),1.0,0.0,0.0,0.0,36774.0,0.0,0.0,36774.0,0.0,56000,0,
ASTRA ZENECA COLOMBIA S.A,100000290,NOLVADEX D 20 MG 30 TABLETAS (3%+),1.0,0.0,0.0,0.0,56455.0,0.0,0.0,56455.0,0.0,60600,0,
OPELLA HEALTHCARE COLOMBI,100000317,ALLEGRA 120 MG 10 COMPRIMIDOS (3%+),2.0,0.0,0.0,0.0,63552.0,0.0,0.0,127104.0,0.0,138200,0,
OPELLA HEALTHCARE COLOMBI,100000318,ALLEGRA 180 MG 10 TABLETAS (3%+)(A)(PAE),1.0,0.0,0.0,0.0,104570.0,0.0,0.0,104570.0,0.0,118300,0,
SANOFI AVENTIS DE COLOMBI,100000392,PROFENID 100 MG 6 AMPOLLAS,1.0,0.0,0.0,0.0,104458.0,0.0,0.0,104458.0,0.0,105600,0,
TECNOQUIMICAS S.A.,100000449,TRAVAD ORAL LIMON 133 ML,1.0,0.0,0.0,0.0,28059.0,0.0,0.0,28059.0,0.0,30700,0,
BAYER S.A.,100000465,ALKA SELTZER 60 TABLETAS,1.0,2.0,0.0,1876.77,56303.0,0.0,0.0,60056.54,0.0,68400,0,
BAYER S.A.,100000477,ASPIRINA EFERVESCENTE 500 MG 50 TABLETAS,0.0,0.0,2022.96,0.0,0.0,0.0,6.0,12137.76,0.0,15000,0,
BAYER S.A.,100000483,BAYCUTEN N CREMA 35 GR,1.0,0.0,0.0,0.0,49337.0,0.0,0.0,49337.0,0.0,51600,0,
