Grupo,Cod Producto,Nombre,Inventario Caja,Inventario Blister,Costo Unidad,Costo Blister,Costo Caja,% Iva,Inventario Unidad,Costo Total,Costo Total Iva,Venta Total,Ibua,Icui
,000103922,Polvo Compacto Con Fs No 22,1.0,0.0,0.0,0.0,17243.0,0.19,0.0,20519.17,3276.17,25700,0,
,000103925,Polvo F. Compacto N 25 Moca X 15 G,1.0,0.0,0.0,0.0,17243.0,0.19,0.0,20519.17,3276.17,25700,0,
,000103927,Polvo F. Compacto N 27 Cocoa X 15 G,1.0,0.0,0.0,0.0,17243.0,0.19,0.0,20519.17,3276.17,25700,0,
,000103930,Polvo Compacto Con Fs No 30,2.0,0.0,0.0,0.0,17243.0,0.19,0.0,41038.34,6552.34,51400,0,
LAB. COSMETICOS VOGUE S.A.,000293280,Vogue Sombra Sexteto Brazil 12,1.0,0.0,0.0,0.0,12131.0,0.19,0.0,14435.89,2304.89,17400,0,
LAB. COSMETICOS VOGUE S.A.,000840247,Vogue Tinta De Cejas Resist Cafe,2.0,0.0,0.0,0.0,11176.0,0.19,0.0,26598.88,4246.88,32200,0,
LAB. COSMETICOS VOGUE S.A.,000842869,Vogue Plumon Resist Negro 1.2Ml,1.0,0.0,0.0,0.0,13089.0,0.19,0.0,15575.91,2486.91,20100,0,
COMIS-GCNG,001774,MEBLAINEX MELOXICAN AMP 15MG,7.0,0.0,0.0,0.0,10067.8,0.0,0.0,70474.6,0.0,420000,0,
,00310028C,Ilusion 13.5 Ml # 74 Masglo,1.0,0.0,0.0,0.0,4996.0,0.19,0.0,5945.24,949.24,7200,0,
,00310916C,Dinamica 13.5Ml Masglo,1.0,0.0,0.0,0.0,5239.0,0.19,0.0,6234.41,995.41,7600,0,
,00310918C,Esmalte Virginal 13.5 Ml No. 388 Masglo,1.0,0.0,0.0,0.0,5239.0,0.19,0.0,6234.41,995.41,7600,0,
,00311032C,Brillo Coral 13.5 Ml Masglo,1.0,0.0,0.0,0.0,5066.0,0.19,0.0,6028.54,962.54,7300,0,
,00311148C,Brillo Rosa 13.5 Ml Masglo,1.0,0.0,0.0,0.0,5313.0,0.19,0.0,6322.47,1009.47,7700,0,
,00312124C,Humana 13.5Ml Masglo,1.0,0.0,0.0,0.0,5239.0,0.19,0.0,6234.41,995.41,7600,0,
,00312416C,Metodica 13.5Ml Masglo,1.0,0.0,0.0,0.0,5239.0,0.19,0.0,6234.41,995.41,7600,0,
,00312979C,Liberada 13.5 Ml Masglo,1.0,0.0,0.0,0.0,4996.0,0.19,0.0,5945.24,949.24,7200,0,
MASGLO,00330521C,DESINFECTANTE 500ML MASGLO,1.0,0.0,0.0,0.0,10125.0,0.0,0.0,10125.0,0.0,13000,0,
COMIS-GCNG,0214030,FONKINK AZITROMICINA 500MG,8.0,0.0,0.0,0.0,7214.82,0.0,0.0,57718.56,0.0,148000,0,
MULTIF,034913,GEL DENTAL HAPPYDENT 15GR,1.0,0.0,0.0,0.0,10420.0,0.19,0.0,12399.8,1979.8,17000,0,
COMIS-GCNG,0450375,PRANEXXIN 500MG 6 TABLETAS,3.0,0.0,0.0,0.0,9500.0,0.0,0.0,28500.0,0.0,86700,0,
COMIS-GCNG,0450399,NOKTOS JARABE,2.0,0.0,0.0,0.0,6600.0,0.0,0.0,13200.0,0.0,34600,0,
DICOLFARMA,065325386189,COLAGENO HIDROLIZADO CON VITAMINAS MINERALES 450 GR,1.0,0.0,0.0,0.0,17812.0,0.0,0.0,17812.0,0.0,46800,0,
DICOLFARMA,0658325386073,CALENDULA ORTIGA CREMA PROCT. 12 GR,4.0,0.0,0.0,0.0,1933.33,0.19,0.0,9202.65,1469.33,30000,0,
DICOLFARMA,0658325386080,CANNABIS GOTAS ORALES 30 ML ,1.0,0.0,0.0,0.0,14850.0,0.0,0.0,14850.0,0.0,37200,0,
DICOLFARMA,0658325386134,CURCUMA ARMONIZA 350MG X 60 CAPS,2.0,0.0,0.0,0.0,16795.67,0.0,0.0,33591.34,0.0,84000,0,
