Grupo,Cod Producto,Nombre,Inventario Caja,Inventario Blister,Costo Unidad,Costo Blister,Costo Caja,% Iva,Inventario Unidad,Costo Total,Costo Total Iva,Venta Total,Ibua,Icui
LAB. SMART S.A.,000000044,Sm Polvo Comp #4 14G,1.0,0.0,0.0,0.0,6716.0,0.19,0.0,7992.04,1276.04,9700,0,
N/A ,000103957,POLVO COMPACTO KALOE SATINADO # 7,1.0,0.0,0.0,0.0,4201.0,0.19,0.0,4999.19,798.19,8500,0,
,000105329,Probador Compacto Kaloe,1.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0,0,
,000105607,Labial Kaloe Ld N. 7 Rosa Natural X 2 G,1.0,0.0,0.0,0.0,4617.0,0.19,0.0,5494.23,877.23,6600,0,
,000105642,Corrector Facial Kaloe Oscuro,1.0,0.0,0.0,0.0,5985.0,0.19,0.0,7122.15,1137.15,8600,0,
LAB. COSMETICOS VOGUE S.A.,000289580,Vogue Esmalte Fantastic 79 Amapola,1.0,0.0,0.0,0.0,2742.0,0.19,0.0,3262.98,520.98,4000,0,
LAB. COSMETICOS VOGUE S.A.,000292689,Vogue Polcomp Natural Natural,2.0,0.0,0.0,0.0,5067.33,0.19,0.0,12060.25,1925.59,21800,0,
LAB. COSMETICOS VOGUE S.A.,000293075,Vogue Sombra Indvogue Camel 4G,3.0,0.0,0.0,0.0,4917.0,0.19,0.0,17553.69,2802.69,21300,0,
LAB. COSMETICOS VOGUE S.A.,000293143,Vogue Sombra Indvogue Negra 4G,2.0,0.0,0.0,0.0,4917.0,0.19,0.0,11702.46,1868.46,14200,0,
LAB. COSMETICOS VOGUE S.A.,000293280,Vogue Sombra Sexteto Brazil,1.0,0.0,0.0,0.0,10048.0,0.19,0.0,11957.12,1909.12,14500,0,
LAB. COSMETICOS VOGUE S.A.,000314527,Vogue Labial Colorissimo Larga Duracion,1.0,0.0,0.0,0.0,4781.0,0.19,0.0,5689.39,908.39,7000,0,
LAB. COSMETICOS VOGUE S.A.,000328517,Vogue Labial Colorissimo Liquido Atracci,1.0,0.0,0.0,0.0,6243.0,0.19,0.0,7429.17,1186.17,9000,0,
LAB. COSMETICOS VOGUE S.A.,000787078,Colorissimo Extra Brillo Tropical 5Ml,1.0,0.0,0.0,0.0,6962.0,0.19,0.0,8284.78,1322.78,10000,0,
LAB. COSMETICOS VOGUE S.A.,000826678,Vogue Betun Pomada Camel 4G,2.0,0.0,0.0,0.0,6702.0,0.19,0.0,15950.76,2546.76,19400,0,
LAB. COSMETICOS VOGUE S.A.,000828115,Vogue Labial Liq Tinta Energia 5.5Ml,1.0,0.0,0.0,0.0,6539.0,0.19,0.0,7781.41,1242.41,9400,0,
LAB. COSMETICOS VOGUE S.A.,000840247,VOGUE TINTA DE CEJAS RESIST CAMEL,2.0,0.0,0.0,0.0,8653.0,0.19,0.0,20594.14,3288.14,25000,0,
LAB. COSMETICOS VOGUE S.A.,000841961,Vogue Labial Colorissimo Atrevida 2G,1.0,0.0,0.0,0.0,5298.0,0.19,0.0,6304.62,1006.62,7600,0,
LAB. COSMETICOS VOGUE S.A.,000843545,V Esm Fant Sensacion 334 10Ml,1.0,0.0,0.0,0.0,2044.0,0.19,0.0,2432.36,388.36,3000,0,
MULTIFARMA,00573,LABIAL LIQUIDO 3Q ULTRA HD,2.0,0.0,0.0,0.0,4538.0,0.19,0.0,10800.44,1724.44,18000,0,
,0614143401350,REMOVEDOR DE CUTICULA AKARELLA,4.0,0.0,0.0,0.0,3991.67,0.19,0.0,19000.35,3033.67,54400,0,
DICOLFARMA,0658325385946,LAXCO PAPAYA CIRUELA ARMONIZA 500 ML,3.0,0.0,0.0,0.0,13347.0,0.0,0.0,40041.0,0.0,100200,0,
DICOLFARMA,0658325386042,CANNABIS SATIVA CALENDULA ORTI CREMA PROC. 12GR,3.0,0.0,0.0,0.0,2924.75,0.19,0.0,10441.36,1667.11,35100,0,
DICOLFARMA,0658325386066,CALENDULA CREMA PROTECTORA 12 GR,2.0,0.0,0.0,0.0,2924.5,0.19,0.0,6960.31,1111.31,23400,0,
DICOLFARMA,0658325386073,CALENDULA ORTIGA CREMA PROCT. 12 GR,2.0,0.0,0.0,0.0,2924.5,0.19,0.0,6960.31,1111.31,23400,0,
DICOLFARMA,0658325386103,QUITA VICIOS GOTAS ORALES 60 ML,3.0,0.0,0.0,0.0,11880.0,0.0,0.0,35640.0,0.0,89100,0,
DICOLFARMA,0658325386110,GINKGO BILOBA ARMONIZA 30 CAPSULAS,1.0,0.0,0.0,0.0,11547.0,0.0,0.0,11547.0,0.0,28900,0,
DICOLFARMA,0658325386158,CITRATO DE MAGNESIO X 400 GR FRUTOS ROJOS,1.0,0.0,0.0,0.0,21150.0,0.0,0.0,21150.0,0.0,52900,0,
DICOLFARMA,0658325386189,COLAGENO HIDROLIZADO CON VITAMINAS MINERALES 450 GR,5.0,0.0,0.0,0.0,17812.67,0.0,0.0,89063.35,0.0,223000,0,
DICOLFARMA,0658325386196,ALIMENTO EN POLVO AVENA GUAYABA MANI 450GR,3.0,0.0,0.0,0.0,19980.0,0.0,0.0,59940.0,0.0,151500,0,
DICOLFARMA,0737186238858,PROPEOLIVED X 260 GR,3.0,0.0,0.0,0.0,6712.0,0.0,0.0,20136.0,0.0,50400,0,
DICOLFARMA,0745853173104,SAW PALMETTO ARMONIZA 90 CAPSU,6.0,0.0,0.0,0.0,22356.0,0.0,0.0,134136.0,0.0,335400,0,
DICOLFARMA,0745853173111,CLORURO DE MAGNESIO ARMONIZA 90 CAPSU,1.0,0.0,0.0,0.0,20412.0,0.0,0.0,20412.0,0.0,51100,0,
DICOLFARMA,0745853173128,CASTAÑO DE INDIAS ARMONIZA 60 CAPSU,1.0,0.0,0.0,0.0,19080.0,0.0,0.0,19080.0,0.0,48600,0,
DICOLFARMA,0745853173159,ARNICA CREMA PROTECTORA 12 GR,2.0,0.0,0.0,0.0,2916.0,0.19,0.0,6940.08,1108.08,23400,0,
DICOLFARMA,0745853173203,CITRATO DE MAGNESIO 90 CAPS,8.0,0.0,0.0,0.0,21378.47,0.0,0.0,171027.76,0.0,428000,0,
DICOLFARMA,0745853173210,CLOROFI-MED ESPINACA Y MENTA 500ML,1.0,0.0,0.0,0.0,10170.0,0.0,0.0,10170.0,0.0,25500,0,
DICOLFARMA,0745853173241,GOTAS PASIFLORA X 30ML ARMONIZA,6.0,0.0,0.0,0.0,2520.0,0.0,0.0,15120.0,0.0,37800,0,
DICOLFARMA,0745853173258,GOTAS VALERIANA X 30ML ARMONIZA,7.0,0.0,0.0,0.0,2520.0,0.0,0.0,17640.0,0.0,44100,0,
DICOLFARMA,0745853173272,CASTAÑO DE INDIAS CREMA PROTECTORA 12 GR,2.0,0.0,0.0,0.0,2925.0,0.19,0.0,6961.5,1111.5,23400,0,
DICOLFARMA,0745853547998,COLAGENO MARINO HIDROLIZADO 60 CAP,1.0,0.0,0.0,0.0,19440.0,0.0,0.0,19440.0,0.0,48600,0,
DICOLFARMA,0745853548056,SANDRAN SANGRE DE DRAGO SABOR  ARANDANOS ,2.0,0.0,0.0,0.0,8136.0,0.0,0.0,16272.0,0.0,40800,0,
DICOLFARMA,0781159050695,AGUA MICELAR 250 ML VALENTIA ,1.0,0.0,0.0,0.0,4370.0,0.19,0.0,5200.3,830.3,25000,0,
EUROFARMA COLOMBIA S.A.S,100000097,NEOSALDINA 100 GRAGEAS (A),0.0,20.0,0.0,6239.2,0.0,0.0,0.0,124784.0,0.0,136000,0,
LAB. LEGRAND S.A.,100000113,PARACODINA JARABE 120 ML,2.0,0.0,0.0,0.0,10881.0,0.0,0.0,21762.0,0.0,52400,0,
ABBOTT LABORATORIES S.A,100000134,PEDIASURE POLVO VAINILLA 400 GR,2.0,0.0,0.0,0.0,33666.18,0.0,0.0,67332.36,0.0,117200,0,
ASTRA ZENECA COLOMBIA S.A,100000277,BETALOC ZOK 50 MG 30 TBS(P)18525(SC)(SF),2.0,0.0,0.0,0.0,17408.0,0.0,0.0,34816.0,0.0,37800,0,
OPELLA HEALTHCARE COLOMBI,100000317,ALLEGRA 120 MG 10 COMPRIMIDOS (3%+),2.0,0.0,0.0,0.0,63552.17,0.0,0.0,127104.34,0.0,138200,0,
OPELLA HEALTHCARE COLOMBI,100000318,ALLEGRA 180 MG 10 TABLETAS (3%+)(A)(PAE),1.0,0.0,0.0,0.0,116590.0,0.0,0.0,116590.0,0.0,118300,0,
LABORATORIOS BUSSIE S.A.,100000387,PLASIL 5 AMPOLLAS,0.0,0.0,7961.6,0.0,0.0,0.0,4.0,31846.4,0.0,34800,0,
SANOFI AVENTIS DE COLOMBI,100000400,RIFOCINA SPRAY 20 ML,1.0,0.0,0.0,0.0,53269.0,0.0,0.0,53269.0,0.0,55800,0,
TECNOQUIMICAS S.A.,100000449,TRAVAD ORAL LIMON 133 ML,1.0,0.0,0.0,0.0,28059.0,0.0,0.0,28059.0,0.0,30700,0,
BAYER S.A.,100000465,ALKA SELTZER 60 TABLETAS,1.0,2.0,0.0,1651.57,49547.0,0.0,0.0,52850.14,0.0,68600,0,
BAYER S.A.,100000476,ASPIRINA EFERVESCENTE 500 MG 12 TABLETAS,1.0,0.0,0.0,0.0,14235.63,0.0,0.0,14235.63,0.0,15400,0,
