Grupo,Cod Producto,Nombre,Inventario Caja,Inventario Blister,Costo Unidad,Costo Blister,Costo Caja,% Iva,Inventario Unidad,Costo Total,Costo Total Iva,Venta Total,Ibua,Icui
LAB. SMART S.A.,000002316,NAI PLUMON OJOS CAFE 1.5g,1.0,0.0,0.0,0.0,6449.5,0.19,0.0,7674.91,1225.41,9300,0,
LAB. SMART S.A.,000002317,NAI PLUMON ULTRA NEGRO 1.2ml,2.0,0.0,0.0,0.0,6604.5,0.19,0.0,15718.71,2509.71,19000,0,
LAB. SMART S.A.,000002340,NAI LAPIZ RET L PASION,1.0,0.0,0.0,0.0,4318.0,0.19,0.0,5138.42,820.42,6200,0,
LAB. SMART S.A.,000002509,NAI SOMB IND PLATA # 40 3G,1.0,0.0,0.0,0.0,3355.0,0.19,0.0,3992.45,637.45,4900,0,
LAB. SMART S.A.,000002555,NAI SOMBRA TRIO PLATA #10 3g,1.0,0.0,0.0,0.0,4109.0,0.19,0.0,4889.71,780.71,6100,0,
LAB. SMART S.A.,000002556,NAI SOMBRA TRIO #12 3g,1.0,0.0,0.0,0.0,4109.0,0.19,0.0,4889.71,780.71,6100,0,
LAB. SMART S.A.,000002558,NAI SOMBRA TRIO #14 3g,1.0,0.0,0.0,0.0,4109.0,0.19,0.0,4889.71,780.71,6100,0,
LAB. SMART S.A.,000002900,NAI TAJALAPIZ,2.0,0.0,0.0,0.0,3405.0,0.19,0.0,8103.9,1293.9,9800,0,
,000101018,Tonico Hidratante Kaloe X 120 Ml,1.0,0.0,0.0,0.0,8265.0,0.19,0.0,9835.35,1570.35,11900,0,
,000101022,Locion Astringente Kaloe X 120 Ml,1.0,0.0,0.0,0.0,8740.0,0.19,0.0,10400.6,1660.6,12600,0,
,000103950,Polvo Compacto Kaloe No 1 Almendra,1.0,0.0,0.0,0.0,6460.0,0.19,0.0,7687.4,1227.4,9300,0,
,000104422,Base Hidra. Arena No. 2,1.0,0.0,0.0,0.0,21565.0,0.19,0.0,25662.35,4097.35,31000,0,
,000104423,Base Hidra. Beige No. 3,1.0,0.0,0.0,0.0,21565.0,0.19,0.0,25662.35,4097.35,31000,0,
,000104424,Base Hidra. Bronce No. 4,1.0,0.0,0.0,0.0,21565.0,0.19,0.0,25662.35,4097.35,31000,0,
,000104425,Base Hidra. Sandalo No. 5,1.0,0.0,0.0,0.0,21565.0,0.19,0.0,25662.35,4097.35,31000,0,
,000105323,Probador Compacto Anamaria,1.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0,0,
