Grupo,Cod Producto,Nombre,Inventario Caja,Inventario Blister,Costo Unidad,Costo Blister,Costo Caja,% Iva,Inventario Unidad,Costo Total,Costo Total Iva,Venta Total,Ibua,Icui
,000103651,Polvo Facial N. 1 Traslucido X 12 Gr,1.0,0.0,0.0,0.0,13870.0,0.19,0.0,16505.3,2635.3,19900.0,0.0,
,000103923,Polvo Compacto Con Fs No 23,1.0,0.0,0.0,0.0,16459.0,0.19,0.0,19586.21,3127.21,25700.0,0.0,
MULTIFARMA,000103925,POLVO F.COMPACT MOCOA X15GR,1.0,0.0,0.0,0.0,17243.0,0.19,0.0,20519.17,3276.17,25700.0,0.0,
MULTIFARMA,000103927,POLVO F.COPACT ANAMARIA 27 COCOA,1.0,0.0,0.0,0.0,17243.0,0.19,0.0,20519.17,3276.17,25700.0,0.0,
,000103930,Polvo Compacto Con Fs No 30,1.0,0.0,0.0,0.0,13395.0,0.19,0.0,15940.05,2545.05,19800.0,0.0,
,000103958,Polvo Compacto Kaloe # 8 Caoba,2.0,0.0,0.0,0.0,6117.25,0.19,0.0,14559.06,2324.56,18600.0,0.0,
,000104369,Corrector Facial Mousse Am Oscuro X 2 G,1.0,0.0,0.0,0.0,7980.0,0.19,0.0,9496.2,1516.2,11500.0,0.0,
,000104412,Humectante Color Bb Cream Medio X 50 G,1.0,0.0,0.0,0.0,22420.0,0.19,0.0,26679.8,4259.8,32200.0,0.0,
,000104424,Base Hidratante Bronce No 4,1.0,0.0,0.0,0.0,18525.0,0.19,0.0,22044.75,3519.75,26600.0,0.0,
,000105642,Corrector Facial Kaloe Oscuro,1.0,0.0,0.0,0.0,5985.0,0.19,0.0,7122.15,1137.15,8600.0,0.0,
,000310148,Esmalte Fufurufa 13.5 Ml No. 312 Masglo,1.0,0.0,0.0,0.0,4628.0,0.19,0.0,5507.32,879.32,6500.0,0.0,
,000312952,Admiss Brillo Platino 10 Ml,1.0,0.0,0.0,0.0,2246.0,0.19,0.0,2672.74,426.74,3300.0,0.0,
LAB. COSMETICOS VOGUE S.A.,000781212,Vogue Esmalte Efecto Gel Familia 14Ml,1.0,0.0,0.0,0.0,4629.0,0.19,0.0,5508.51,879.51,7100.0,0.0,
LAB. COSMETICOS VOGUE S.A.,000789096,Vogue Esm Fantastic Pina Decidida 10Ml,1.0,0.0,0.0,0.0,2480.0,0.19,0.0,2951.2,471.2,3600.0,0.0,
LAB. COSMETICOS VOGUE S.A.,000789201,Vogue Esmalte Fantastic Empoderada 10Ml,1.0,0.0,0.0,0.0,2480.0,0.19,0.0,2951.2,471.2,3600.0,0.0,
LAB. COSMETICOS VOGUE S.A.,000808889,Vogue Esmalteefecto Gel Poderosa 14Ml,1.0,0.0,0.0,0.0,5357.0,0.19,0.0,6374.83,1017.83,7700.0,0.0,
LAB. COSMETICOS VOGUE S.A.,000826678,Vogue Betun Pomada Camel 4G,1.0,0.0,0.0,0.0,6702.0,0.19,0.0,7975.38,1273.38,9700.0,0.0,
LAB. COSMETICOS VOGUE S.A.,000840247,Vogue Tinta De Cejas Resist Cafe,1.0,0.0,0.0,0.0,9630.0,0.19,0.0,11459.7,1829.7,13900.0,0.0,
LAB. COSMETICOS VOGUE S.A.,000841725,Vogue Corrector Cremoso Menta 4.5G,2.0,0.0,0.0,0.0,5220.0,0.19,0.0,12423.6,1983.6,15000.0,0.0,
LAB. COSMETICOS VOGUE S.A.,000842876,Vogue Del Retractil Resist Negro 2Ml,1.0,0.0,0.0,0.0,10793.0,0.19,0.0,12843.67,2050.67,15500.0,0.0,
LAB. COSMETICOS VOGUE S.A.,000844009,Vogue Tinta De Cejas Resist Tono Caoba,1.0,0.0,0.0,0.0,9630.0,0.19,0.0,11459.7,1829.7,13900.0,0.0,
LAB. COSMETICOS VOGUE S.A.,000844375,Vogue Labial Resist Misteriosa 3Ml,1.0,0.0,0.0,0.0,12160.0,0.19,0.0,14470.4,2310.4,17500.0,0.0,
LAB. COSMETICOS VOGUE S.A.,000847253,Vogue Base Val M Nat Ah Arena 30Ml,2.0,0.0,0.0,0.0,11778.67,0.19,0.0,28033.23,4475.89,35800.0,0.0,
LAB. COSMETICOS VOGUE S.A.,000847291,Vogue Base Val M Nat Ah Avellana 30Ml,2.0,0.0,0.0,0.0,11440.0,0.19,0.0,27227.2,4347.2,33000.0,0.0,
LAB. COSMETICOS VOGUE S.A.,000848755,Vogue Esm Fantastic Topacio 10Ml,1.0,0.0,0.0,0.0,2339.0,0.19,0.0,2783.41,444.41,3600.0,0.0,
LAB. COSMETICOS VOGUE S.A.,000848779,Vogue Esm Fantastic Turmalina 10Ml,2.0,0.0,0.0,0.0,2433.0,0.19,0.0,5790.54,924.54,7200.0,0.0,
,00310019C,Brillo 13.5 Ml # 0Br Masglo,2.0,0.0,0.0,0.0,6119.67,0.19,0.0,14564.81,2325.47,18400.0,0.0,
,00310028C,Ilusion 13.5 Ml # 74 Masglo,1.0,0.0,0.0,0.0,5679.5,0.19,0.0,6758.61,1079.11,9200.0,0.0,
,00310051C,Negro 13.5 Ml # 0-4 Masglo,2.0,0.0,0.0,0.0,6119.5,0.19,0.0,14564.41,2325.41,18400.0,0.0,
,00310053C,Tiza 13.5 Ml # 01 Masglo,2.0,0.0,0.0,0.0,6119.5,0.19,0.0,14564.41,2325.41,18400.0,0.0,
