Grupo,Cod Producto,Nombre,Inventario Caja,Inventario Blister,Costo Unidad,Costo Blister,Costo Caja,% Iva,Inventario Unidad,Costo Total,Costo Total Iva,Venta Total,Ibua,Icui
LAB. SMART S.A.,000002905,Nai Polvera Tradicional 4,1.0,0.0,0.0,0.0,6438.0,0.19,0.0,7661.22,1223.22,9600,0,
LAB. SMART S.A.,000002907,Nai Polvera Tradicional 6,2.0,0.0,0.0,0.0,6438.0,0.19,0.0,15322.44,2446.44,19200,0,
,000101075,Contorno Ojos Calendula Kaloe X 20 Gr,1.0,0.0,0.0,0.0,9310.0,0.19,0.0,11078.9,1768.9,13900,0,
,000102084,Suero Facial Vitamina C X 30Ml,1.0,0.0,0.0,0.0,43890.0,0.19,0.0,52229.1,8339.1,65300,0,
,000102087,Suero Facial Con Acido Hialuronico X 30M,2.0,0.0,0.0,0.0,48640.0,0.19,0.0,115763.2,18483.2,144800,0,
,000102089,Serum Restaurador B12 X 30 Ml,1.0,0.0,0.0,0.0,42275.0,0.19,0.0,50307.25,8032.25,62900,0,
,000103726,Polvo Facial No 6 Medio X 30 Gr,1.0,0.0,0.0,0.0,21565.0,0.19,0.0,25662.35,4097.35,31000,0,
,000103925,Polvo F. Compacto N 25 Moca X 15 G,2.0,0.0,0.0,0.0,17242.5,0.19,0.0,41037.15,6552.15,51400,0,
,000103927,Polvo F. Compacto N 27 Cocoa X 15 G,1.0,0.0,0.0,0.0,17242.5,0.19,0.0,20518.58,3276.08,25700,0,
MULTIFARMA,000103958,POLVO COMPACT KALOE # 8 CAOBA,1.0,0.0,0.0,0.0,6776.67,0.19,0.0,8064.24,1287.57,11100,0,
,000104369,Corrector Facial Mousse Oscuro,1.0,0.0,0.0,0.0,6555.0,0.19,0.0,7800.45,1245.45,9400,0,
,000105323,Probador Compacto Anamaria,1.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0,0,
,000105329,Probador Compacto Kaloe,1.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0,0,
,000105641,Corrector Facial Kaloe Medio,1.0,0.0,0.0,0.0,5985.0,0.19,0.0,7122.15,1137.15,8600,0,
,000105642,Corrector Facial Kaloe Oscuro,2.0,0.0,0.0,0.0,6840.0,0.19,0.0,16279.2,2599.2,20400,0,
LAB. COSMETICOS VOGUE S.A.S,000847253,Vogue Base Val M Nat Ah Arena 30Ml,1.0,0.0,0.0,0.0,12456.0,0.19,0.0,14822.64,2366.64,17900,0,
MULTIFARMA,00375,MOÑOS SURTIDOS,1.0,0.0,0.0,0.0,3571.5,0.19,0.0,4250.09,678.59,7100,0,
,032390300,Tratamiento Capilar Rodher Keratina Sbs,0.0,0.0,420.17,0.0,0.0,0.19,6.0,3000.01,478.99,10800,0,
ELECTRONICA PANDES,0615068616461,CARGADOR 20W BECK PLAY 100CM/3A,1.0,0.0,0.0,0.0,20000.0,0.19,0.0,23800.0,3800.0,40000,0,
,0658325385946,LAXCO PAPAYA CIRUELA ARMONIZA 500 ML,1.0,0.0,0.0,0.0,13347.67,0.0,0.0,13347.67,0.0,33400,0,
DICOLFARMA,0658325386042,CANABIS SATIVA CALENDULA ORTI CREMA PROC. 12GR,4.0,0.0,0.0,0.0,1890.0,0.19,0.0,8996.4,1436.4,30000,0,
DICOLFARMA,0658325386066,CALENDULA CREMA PROTECTORA 12 GR,2.0,0.0,0.0,0.0,2924.5,0.19,0.0,6960.31,1111.31,23400,0,
DICOLFARMA,0658325386080,CANNABIS GOTAS ORALES 30 ML,4.0,0.0,0.0,0.0,14850.0,0.0,0.0,59400.0,0.0,148800,0,
DICOLFARMA,0658325386103,QUITA VICIOS GOTAS ORALES 60 ML,1.0,0.0,0.0,0.0,11880.0,0.0,0.0,11880.0,0.0,29700,0,
DICOLFARMA,0658325386158,CITRATO DE MAGNESIO X 400 GR FRUTOS ROJOS,1.0,0.0,0.0,0.0,21150.0,0.0,0.0,21150.0,0.0,52900,0,
DICOLFARMA,0658325386196,ALIMENTO EN POLVO AVENA GUAYABA MANI 450GR,1.0,0.0,0.0,0.0,19980.0,0.0,0.0,19980.0,0.0,50000,0,
DICOLFARMA,0745853173111,CLORURO DE MAGNESIO ARMONIZA 90 CAPSU,1.0,0.0,0.0,0.0,20160.0,0.0,0.0,20160.0,0.0,51100,0,
DICOLFARMA,0745853173135,MENOS PAUSE- MUJER PLENA 60 ML,3.0,0.0,0.0,0.0,15360.0,0.0,0.0,46080.0,0.0,106800,0,
DICOLFARMA,0745853173203,CITRATO DE MAGNESIO 90 CAPS,10.0,0.0,0.0,0.0,21384.0,0.0,0.0,213840.0,0.0,535000,0,
DICOLFARMA,0745853173210,CLOROFI-MED 500 ML ,2.0,0.0,0.0,0.0,10170.0,0.0,0.0,20340.0,0.0,51000,0,
DICOLFARMA,0745853173258,GOTAS DE VALERIANA 30 ML ARMONIZA,2.0,0.0,0.0,0.0,2520.0,0.0,0.0,5040.0,0.0,12600,0,
DICOLFARMA,0745853173265,CITRATO DE POTASIO 90 CAPS,6.0,0.0,0.0,0.0,21384.0,0.0,0.0,128304.0,0.0,321000,0,
