Grupo,Cod Producto,Nombre,Inventario Caja,Inventario Blister,Costo Unidad,Costo Blister,Costo Caja,% Iva,Inventario Unidad,Costo Total,Costo Total Iva,Venta Total
,000103652,Polvo Facial N. 2 Claro X 12 G,1.0,0.0,0.0,0.0,15200.0,0.19,0.0,18088.0,2888.0,21800
,000103957,Pol Com Kaloe No. 7 Satinado,3.0,0.0,0.0,0.0,6460.0,0.19,0.0,23062.2,3682.2,26400
,000104494,Mascara Total Expression Waterproof,1.0,0.0,0.0,0.0,6840.0,0.19,0.0,8139.6,1299.6,9900
,000104495,Mascara Total Expression Lavable,1.0,0.0,0.0,0.0,6840.0,0.19,0.0,8139.6,1299.6,9900
,000104508,Plumon Blacklook Wp Kaloe,2.0,0.0,0.0,0.0,9025.0,0.19,0.0,21479.5,3429.5,26000
LAB. COSMETICOS VOGUE S.A.S,000291156,Vogue Labial Colorissimo Larga Duracion,1.0,0.0,0.0,0.0,4996.0,0.19,0.0,5945.24,949.24,7200
LAB. COSMETICOS VOGUE S.A.S,000828474,Vogue Base Maq Ld Bronce 30Ml,1.0,0.0,0.0,0.0,13135.0,0.19,0.0,15630.65,2495.65,18900
LAB. COSMETICOS VOGUE S.A.S,000840247,Vogue Tinta De Cejas Resist Cafe,1.0,0.0,0.0,0.0,8913.0,0.19,0.0,10606.47,1693.47,12800
LAB. COSMETICOS VOGUE S.A.S,000842852,Vogue Mascara Resist 9G,1.0,0.0,0.0,0.0,11560.0,0.19,0.0,13756.4,2196.4,16600
,00573,LABIAL LIQUIDO 3Q ULTRA HD,1.0,0.0,0.0,0.0,4537.67,0.19,0.0,5399.83,862.16,6800
,00593A,PESTAÑINA PINK COSMETIC PUMPED,2.0,0.0,0.0,0.0,6806.67,0.19,0.0,16199.87,2586.53,27600
,0658325385946,LAXCO PAPAYA CIRUELA ARMONIZA 500 ML,4.0,0.0,0.0,0.0,33369.01,0.0,0.0,133476.04,0.0,133600
DICOLFARMA,0658325386042,CANNABIS SATIVA CALENDULA ORTI CREMA PROC. 12GR,2.0,0.0,0.0,0.0,2924.5,0.19,0.0,6960.31,1111.31,23400
DICOLFARMA,0658325386066,CALENDULA CREMA PROTECTORA 12 GR,2.0,0.0,0.0,0.0,2924.0,0.19,0.0,6959.12,1111.12,23200
DICOLFARMA,0658325386073,CALENDULA ORTIGA CREMA PROCT. 12 GR,2.0,0.0,0.0,0.0,2924.25,0.19,0.0,6959.72,1111.22,23400
DICOLFARMA,0658325386080,CANNABIS D4 GOTAS ORALES 30 ML,3.0,0.0,0.0,0.0,14850.0,0.0,0.0,44550.0,0.0,111600
DICOLFARMA,0658325386103,QUITA VICIOS GOTAS ORALES 60 ML,3.0,0.0,0.0,0.0,11880.0,0.0,0.0,35640.0,0.0,89100
DICOLFARMA,0658325386110,GINKGO BILOBA ARMONIZA 30 CAPSULAS,2.0,0.0,0.0,0.0,11547.0,0.0,0.0,23094.0,0.0,57800
DICOLFARMA,0658325386134,CURCUMA ARMONIZA 350MG X 60 CAPS LOND-2,2.0,0.0,0.0,0.0,16381.0,0.0,0.0,32762.0,0.0,90000
DICOLFARMA,0658325386196,ALIMENTO EN POLVO AVENA GUAYABA MANI 450GR,1.0,0.0,0.0,0.0,19980.0,0.0,0.0,19980.0,0.0,50000
DICOLFARMA,0737186238858,PROPEOLIVED X 260 GR,2.0,0.0,0.0,0.0,6712.0,0.0,0.0,13424.0,0.0,33600
DICOLFARMA,0745853173111,CLORURO DE MAGNESIO ARMONIZA 90 CAPSU,5.0,0.0,0.0,0.0,20210.4,0.0,0.0,101052.0,0.0,255500
DICOLFARMA,0745853173128,CASTAÑO DE INDIAS ARMONIZA 60 CAPSU,1.0,0.0,0.0,0.0,19440.0,0.0,0.0,19440.0,0.0,48600
DICOLFARMA,0745853173135,MENOS PAUSE-MUJER PLENA 60ML,2.0,0.0,0.0,0.0,15120.0,0.0,0.0,30240.0,0.0,50000
DICOLFARMA,0745853173203,CITRATO DE MAGNESIO 90 CAPS,6.0,0.0,0.0,0.0,92664.0,0.0,0.0,555984.0,0.0,321000
DICOLFARMA,0745853173241,GOTAS PASIFLORA X 30ML ARMONIZA,5.0,0.0,0.0,0.0,2520.0,0.0,0.0,12600.0,0.0,31500
DICOLFARMA,0745853173258,GOTAS VALERIANA X 30ML ARMONIZA,4.0,0.0,0.0,0.0,2520.0,0.0,0.0,10080.0,0.0,25200
DICOLFARMA,0745853173265,CITRATO DE POTASIO X 90 UND,7.0,0.0,0.0,0.0,21384.0,0.0,0.0,149688.0,0.0,374500
DICOLFARMA,0745853173296,CREMA PROTECTORA ORTIGA 12 GR,3.0,0.0,0.0,0.0,2924.0,0.19,0.0,10438.68,1666.68,34500
DICOLFARMA,0745853547998,COLAGENO MARINO HIDROLIZADO 60 CAP,2.0,0.0,0.0,0.0,19440.0,0.0,0.0,38880.0,0.0,97200
DICOLFARMA,0745853548056,SANDRAN SANGRE DE DRAGO SABOR  ARANDANOS ,5.0,0.0,0.0,0.0,8136.0,0.0,0.0,40680.0,0.0,102000
DICOLFARMA,0745853851941,VIN NUTRI JBE X 1000 ML ,1.0,0.0,0.0,0.0,17000.0,0.0,0.0,17000.0,0.0,42500
DICOLFARMA,07707357200529,COLAGENO HIDROLIZADO POLVO 700GR,2.0,0.0,0.0,0.0,27225.0,0.0,0.0,54450.0,0.0,143600
DICOLFARMA,0781159050657,FIBRA ARMONIZA AVENA 450 GR,4.0,0.0,0.0,0.0,13997.38,0.05,0.0,58789.0,2799.48,192000
DICOLFARMA,0781159050664,ARMONIZA VITANAP JARABE 500 ML,1.0,0.0,0.0,0.0,11532.5,0.0,0.0,11532.5,0.0,28900
HALEON COLOMBIA S.A.S.,100000011,MUCOSINA GOTAS 30 ML,1.0,0.0,0.0,0.0,19543.0,0.0,0.0,19543.0,0.0,21100
EUROFARMA COLOMBIA S.A.S,100000097,NEOSALDINA 100 GRAGEAS (A),3.0,20.0,0.0,4679.39,116984.75,0.0,0.0,444542.05,0.0,627000
EUROFARMA COLOMBIA S.A.S,100000098,NEOSALDINA GOTAS 30 ML,1.0,0.0,0.0,0.0,56772.0,0.0,0.0,56772.0,0.0,58600
LAB. LEGRAND S.A.,100000113,PARACODINA JARABE 120 ML,6.0,0.0,0.0,0.0,18653.14,0.0,0.0,111918.84,0.0,157200
LABORATORIO FRANCO COLOMB,100000169,VALCOTE 250 MG 30 TABLETAS(P)36600(3%+),1.0,0.0,0.0,0.0,30968.0,0.0,0.0,30968.0,0.0,70900
LABORATORIO FRANCO COLOMB,100000170,VALCOTE 500 MG 30 T(3%+)(A)(P)73200(PAE),1.0,0.0,0.0,0.0,61936.0,0.0,0.0,61936.0,0.0,129300
ALCON DE COLOMBIA S.A,100000185,ISOPTO ATROPINA 1% SOLUC.OFTALMICA 5 ML,1.0,0.0,0.0,0.0,35118.0,0.0,0.0,35118.0,0.0,36400
ASTRA ZENECA COLOMBIA S.A,100000277,BETALOC ZOK 50 MG 30 TBS(P)18525(SC)(SF),2.0,0.0,0.0,0.0,17408.0,0.0,0.0,34816.0,0.0,38200
ASTRA ZENECA COLOMBIA S.A,100000300,SEROQUEL 25 MG 30 TBS(P)16793(SC)(SF),5.0,0.0,0.0,0.0,15377.5,0.0,0.0,76887.5,0.0,139000
OPELLA HEALTHCARE COLOMBI,100000317,ALLEGRA 120 MG 10 COMPRIMIDOS (3%+),1.0,0.0,0.0,0.0,63552.0,0.0,0.0,63552.0,0.0,69100
SANOFI AVENTIS DE COLOMBI,100000326,ARAVA 20 MG 30 TBS (A)(P)193590(SC),1.0,0.0,0.0,0.0,180492.0,0.0,0.0,180492.0,0.0,215400
SANOFI AVENTIS DE COLOMBI,100000400,RIFOCINA SPRAY 20 ML,1.0,0.0,0.0,0.0,53269.0,0.0,0.0,53269.0,0.0,60100
TECNOQUIMICAS S.A.,100000449,TRAVAD ORAL LIMON 133 ML,2.0,0.0,0.0,0.0,28059.0,0.0,0.0,56118.0,0.0,61400
BAYER S.A.,100000465,ALKA SELTZER 60 TABLETAS,1.0,8.0,0.0,2139.27,64178.0,0.0,0.0,81292.16,0.0,81900
BAYER S.A.,100000477,ASPIRINA EFERVESCENTE 500 MG 50 TABLETAS,0.0,0.0,2022.96,0.0,0.0,0.0,11.0,22252.56,0.0,28600
BAYER S.A.,100000479,AVELOX 400 MG 5 TBS(A)(3%+)(PAE),1.0,0.0,0.0,0.0,144718.0,0.0,0.0,144718.0,0.0,210400
BAYER S.A.,100000482,BAYCUTEN N CREMA 20 GR,1.0,0.0,0.0,0.0,22102.0,0.0,0.0,22102.0,0.0,30700
BAYER S.A.,100000483,BAYCUTEN N CREMA 35 GR,1.0,0.0,0.0,0.0,44404.0,0.0,0.0,44404.0,0.0,51600
BAYER S.A.,100000504,CANESTEN CREMA TOPICA 20 GR,1.0,0.0,0.0,0.0,10488.0,0.0,0.0,10488.0,0.0,12000
LAB.SIEGFRIED S.A,100000570,BIODERM CREMA 20 GR,1.0,0.0,0.0,0.0,29211.0,0.0,0.0,29211.0,0.0,33200
LAB.SIEGFRIED S.A,100000594,NOXPIRIN F ADUL.NOCHE PANELA LIMON 24SBS,1.0,0.0,0.0,0.0,44851.0,0.0,0.0,44851.0,0.0,47500
BIOCHEM FARMACEUTICA DE C,100000610,TUSIMED ADULTO JARABE 120 ML,1.0,0.0,0.0,0.0,20577.0,0.0,0.0,20577.0,0.0,30500
EUROFARMA COLOMBIA S.A.S,100000843,VIREX UNGUENTO 15 GR,1.0,0.0,0.0,0.0,43195.0,0.0,0.0,43195.0,0.0,51600
EUROFARMA COLOMBIA S.A.S,100000844,VIREX UNGUENTO 30 GR,1.0,0.0,0.0,0.0,60002.0,0.0,0.0,60002.0,0.0,69900
