punto_de_venta,codigo,nombre_producto,inventario_caja,inventario_blister,inventario_unidad,venta_m3,venta_m2,venta_m1,promedio_venta,prom_2_meses,rotacion_diaria,Fecha_activacion,clasificacion,inv_minimo,inv_maximo,inv_fraccion,desviacion_inventario,cant_compra,mayor_costo,inv_avaluado,compra_valuada,cant_exceso
bella_suiza 40350,100000477,ASPIRINA EFERVESCENTE 500 MG 50 TABLETAS,0.0,0.0,1.0,0.16,0.8,0.24,0.4,0.52,0.0133,,L,1.0,1.0,0.04,deficit,1.0,55117.0,2204.68,55117.0,0.0
bella_suiza 40350,100001917,DOLEX GRIPA 12 TABLETAS,2.0,0.0,0.0,5.0,9.0,8.0,7.33,8.5,0.2444,,E,4.0,4.0,2.0,deficit,2.0,15660.25,31320.5,31320.5,0.0
bella_suiza 40350,100005302,ABRILAR EA 575 JARABE X 100 ML,1.0,0.0,0.0,3.0,2.0,2.0,2.33,2.0,0.0778,,A,2.0,2.0,1.0,deficit,1.0,40011.0,40011.0,40011.0,0.0
bella_suiza 40350,100005838,ENALAPRIL 5 MG 50 TABLETAS MK,1.0,0.0,0.0,0.0,10.0,7.0,5.67,8.5,0.1889,,E,3.0,3.0,1.0,deficit,2.0,14288.5,14288.5,28577.0,0.0
bella_suiza 40350,100006091,ADVIL CHILDREN SUSPENSION 60 ML,1.0,0.0,0.0,2.0,1.0,4.0,2.33,2.5,0.0778,,A,2.0,2.0,1.0,deficit,1.0,21944.0,21944.0,21944.0,0.0
bella_suiza 40350,100007770,ACIDO FOLICO 1 MG 100 TABLETAS EC,1.0,0.0,0.0,2.0,3.0,4.0,3.0,3.5,0.1,,A,2.0,2.0,1.0,deficit,1.0,13067.0,13067.0,13067.0,0.0
bella_suiza 40350,100011419,BIFLACE 50 MG 2 TBS ICOM,4.0,0.0,0.0,5.0,9.0,13.0,9.0,11.0,0.3,,E,5.0,5.0,4.0,deficit,1.0,4318.48,17273.92,4318.48,0.0
bella_suiza 40350,100014452,AGUA OXIGENADA 120 ML ICOM,4.0,0.0,0.0,8.0,16.0,10.0,11.33,13.0,0.3778,,E,6.0,6.0,4.0,deficit,2.0,2148.93,8595.72,4297.86,0.0
bella_suiza 40350,100014892,CEFADROXILO 500 MG 12 CAPSULAS LS,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.5,0.0333,29/12/2024,N,3.0,3.0,2.0,deficit,1.0,51556.5,103113.0,51556.5,0.0
bella_suiza 40350,100015683,CLORITIMICOTIN 1% CREMA.VAG 40 GR ICOM,1.0,0.0,0.0,0.0,2.0,3.0,1.67,2.5,0.0556,,B,2.0,2.0,1.0,deficit,1.0,9846.0,9846.0,9846.0,0.0
bella_suiza 40350,100016254,BISACODILO 5 MG 100 TABLETAS RC,0.0,0.0,4.0,1.4,2.4,2.0,1.93,2.2,0.0644,,B,2.0,2.0,0.8,deficit,1.0,19799.0,15839.2,19799.0,0.0
bella_suiza 40350,100020305,AZITROMICINA 500 MG 3 TBS ICOM MQ,4.0,0.0,0.0,10.0,9.0,9.0,9.33,9.0,0.3111,,E,5.0,5.0,4.0,deficit,1.0,5227.0,20908.0,5227.0,0.0
bella_suiza 40350,100022765,ACNIBEN 300 MG 24 CAPSULAS ICOM MQ,1.0,0.0,0.0,2.0,0.0,5.33,2.44,2.66,0.0814,,A,2.0,2.0,1.0,deficit,1.0,29957.25,29957.25,29957.25,0.0
bella_suiza 40350,100023955,ELECTROLIT HIDRATANTE COCO 625 ML,9.0,0.0,0.0,19.0,26.0,25.0,23.33,25.5,0.7778,,E,12.0,12.0,9.0,deficit,3.0,6805.22,61246.98,20415.66,0.0
bella_suiza 40350,100023966,ELECTROLIT HIDRATANTE FRESA KIWI 625 ML,13.0,0.0,0.0,26.0,28.0,25.0,26.33,26.5,0.8778,,E,14.0,14.0,13.0,deficit,1.0,6803.0,88439.0,6803.0,0.0
bella_suiza 40350,100024464,ALCOHOL ANTISEPTICO ALCOPY 120 ML,9.0,0.0,0.0,29.0,18.0,12.0,19.67,15.0,0.6556,,E,10.0,10.0,9.0,deficit,1.0,2195.89,19763.01,2195.89,0.0
