punto_de_venta,codigo,nombre_producto,inventario_caja,inventario_blister,inventario_unidad,venta_m3,venta_m2,venta_m1,promedio_venta,prom_2_meses,rotacion_diaria,Fecha_activacion,clasificacion,inv_minimo,inv_maximo,inv_fraccion,desviacion_inventario,cant_compra,mayor_costo,inv_avaluado,compra_valuada,cant_exceso
bella_suiza 40350,100000465,ALKA SELTZER 60 TABLETAS,3.0,29.0,0.0,0.27,0.67,0.03,0.32,0.35,0.0108,,L,1.0,1.0,3.97,exceso,0.0,56303.0,223522.91,0.0,1.0
bella_suiza 40350,100001183,ADOREM ACETAMINOFEN 150 MG JARABE 120 ML,4.0,0.0,0.0,1.0,1.0,0.0,0.67,0.5,0.0222,,B,1.0,1.0,4.0,exceso,0.0,9110.33,36441.32,0.0,2.0
bella_suiza 40350,100001422,COMPLEJO B 10 ML AMPOLLA EC,11.0,0.0,0.0,2.0,5.0,2.0,3.0,3.5,0.1,,A,2.0,2.0,11.0,exceso,0.0,10374.5,114119.5,0.0,8.0
bella_suiza 40350,100001656,AMOXICILINA 250 MG SUSPENSION 100 ML GF,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.5,0.0333,,B,1.0,1.0,3.0,exceso,0.0,9527.5,28582.5,0.0,1.0
bella_suiza 40350,100001672,AZITROMICINA 500 MG 3 TABLETAS GF,4.0,0.0,0.0,0.0,1.0,0.0,0.33,0.5,0.0111,,L,1.0,1.0,4.0,exceso,0.0,9758.5,39034.0,0.0,2.0
bella_suiza 40350,100001693,CIPROFLOXACINO 500 MG 10 TABLETAS GF,3.0,0.0,0.0,2.0,0.0,0.0,0.67,0.0,0.0222,,B,1.0,1.0,3.0,exceso,0.0,6744.0,20232.0,0.0,1.0
bella_suiza 40350,100002309,AGUA OXIGENADA JGB 120 ML,3.0,0.0,0.0,0.0,2.0,0.0,0.67,1.0,0.0222,,B,1.0,1.0,3.0,exceso,0.0,4576.0,13728.0,0.0,1.0
bella_suiza 40350,100002454,AZITROMICINA 500 MG 3 TABLETAS LS,5.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0333,,B,1.0,1.0,5.0,exceso,0.0,12688.0,63440.0,0.0,3.0
bella_suiza 40350,100004122,CEBION 1 GR 10 TABLETAS EFERVES.NARANJA,3.0,0.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0111,,L,1.0,1.0,3.0,exceso,0.0,12895.33,38685.99,0.0,1.0
bella_suiza 40350,100004123,CEBION GOTAS 30 ML,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0333,,B,1.0,1.0,3.0,exceso,0.0,25308.0,75924.0,0.0,1.0
bella_suiza 40350,100004373,DIOVAN 80 MG 28 TABLETAS,3.0,0.0,0.0,0.0,0.0,3.0,1.0,1.5,0.0333,,C,1.0,1.0,3.0,exceso,0.0,22640.0,67920.0,0.0,1.0
bella_suiza 40350,100005829,DICLOFENACO 50 MG 20 TABLETAS MK,3.0,0.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0111,,L,1.0,1.0,3.0,exceso,0.0,3885.22,11655.66,0.0,1.0
bella_suiza 40350,100006597,ACRYLARM GEL OFTALMICO 10 GR,4.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0333,,B,1.0,1.0,4.0,exceso,0.0,63373.0,253492.0,0.0,2.0
bella_suiza 40350,100008566,BETAMETASONA 0.05% CREMA 40 GR MK,4.0,0.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0111,,L,1.0,1.0,4.0,exceso,0.0,17309.0,69236.0,0.0,2.0
bella_suiza 40350,100009972,ALERCLAR 10 MG 10 TBS ICOM,4.0,0.0,0.0,2.0,3.0,0.0,1.67,1.5,0.0556,,B,2.0,2.0,4.0,exceso,0.0,3035.0,12140.0,0.0,1.0
bella_suiza 40350,100010377,AMITRIPTILINA 25 MG 30 TABLETAS LS,3.0,0.0,0.0,3.0,1.0,0.0,1.33,0.5,0.0444,,B,1.0,1.0,3.0,exceso,0.0,8670.75,26012.25,0.0,1.0
bella_suiza 40350,100010532,AMPLIEX SUSPENSION 60 ML,5.0,0.0,0.0,0.0,0.0,1.0,0.33,0.5,0.0111,,L,1.0,1.0,5.0,exceso,0.0,8200.0,41000.0,0.0,3.0
bella_suiza 40350,100011051,AINEDAP 500 MG 10 TBS ICOM,4.0,0.0,0.0,0.0,0.0,3.0,1.0,1.5,0.0333,,C,1.0,1.0,4.0,exceso,0.0,8119.0,32476.0,0.0,2.0
bella_suiza 40350,100011053,CINEPRIDE 500 MG 10 TBS ICOM,10.0,0.0,0.0,3.0,4.0,3.0,3.33,3.5,0.1111,,A,2.0,2.0,10.0,exceso,0.0,6383.39,63833.9,0.0,7.0
bella_suiza 40350,100011357,DOXICICLINA 100 MG 10 TABLETAS GF,4.0,0.0,0.0,2.0,1.0,0.0,1.0,0.5,0.0333,,B,1.0,1.0,4.0,exceso,0.0,7075.0,28300.0,0.0,2.0
bella_suiza 40350,100011640,DESLORATADINA 5 MG 10 TABLETAS MK,6.0,0.0,0.0,1.0,1.0,0.0,0.67,0.5,0.0222,,B,1.0,1.0,6.0,exceso,0.0,34752.0,208512.0,0.0,4.0
bella_suiza 40350,100012972,APOSITO OCULAR GOLY ADULTOS 20 UND,2.0,0.0,0.0,0.15,0.3,0.0,0.15,0.15,0.005,,D,0.0,0.0,2.0,exceso,0.0,9817.0,19634.0,0.0,2.0
bella_suiza 40350,100014078,DULCOLAX 20 CAPSULAS,4.0,0.0,0.0,1.0,2.0,2.0,1.67,2.0,0.0556,,B,2.0,2.0,4.0,exceso,0.0,24719.4,98877.6,0.0,1.0
bella_suiza 40350,100014200,ERASSIN 50 MG 2 TABLETAS,3.0,0.0,0.0,0.0,0.0,3.0,1.0,1.5,0.0333,,C,1.0,1.0,3.0,exceso,0.0,13801.93,41405.79,0.0,1.0
bella_suiza 40350,100014390,AMLODIPINO 5 MG 10 TABLETAS LP,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.5,0.0333,,B,1.0,1.0,3.0,exceso,0.0,1274.0,3822.0,0.0,1.0
bella_suiza 40350,100014683,COLCHICINA 0.5 MG 40 TABLETAS EX,3.0,0.0,0.0,0.0,0.0,2.0,0.67,1.0,0.0222,,B,1.0,1.0,3.0,exceso,0.0,9148.42,27445.26,0.0,1.0
bella_suiza 40350,100014784,ARCOXIA 120 MG 7 TABLETAS (3%+),3.0,0.0,0.0,0.0,1.0,0.0,0.33,0.5,0.0111,,L,1.0,1.0,3.0,exceso,0.0,73360.0,220080.0,0.0,1.0
bella_suiza 40350,100015676,ALLEGRA PEDIATRICO 150 ML (3%+)(PAE),3.0,0.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0111,,L,1.0,1.0,3.0,exceso,0.0,84191.0,252573.0,0.0,1.0
bella_suiza 40350,100015686,DOLIVIUM 100MG/5ML SUSP. 120 ML ICOM,3.0,0.0,0.0,0.0,0.0,1.0,0.33,0.5,0.0111,,L,1.0,1.0,3.0,exceso,0.0,8242.0,24726.0,0.0,1.0
bella_suiza 40350,100016263,ATROVENT HFA 200DO.10 ML(P)19560(SC)(SF),4.0,0.0,0.0,0.0,2.0,1.0,1.0,1.5,0.0333,,C,1.0,1.0,4.0,exceso,0.0,19015.0,76060.0,0.0,2.0
bella_suiza 40350,100016403,CETIRIZINA 10 MG 10 TABLETAS MK,3.0,0.0,0.0,4.0,1.0,1.0,2.0,1.0,0.0667,,A,1.0,1.0,3.0,exceso,0.0,7826.0,23478.0,0.0,1.0
bella_suiza 40350,100016652,ALMIPRO UNGUENTO 125 GR,4.0,0.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0111,,L,1.0,1.0,4.0,exceso,0.0,30994.0,123976.0,0.0,2.0
bella_suiza 40350,100018319,AMZOL 500 MG 100 TBS ICOM,3.0,6.0,0.0,0.2,0.2,1.0,0.47,0.6,0.0156,,L,1.0,1.0,3.6,exceso,0.0,22598.0,81352.8,0.0,1.0
bella_suiza 40350,100018640,DUSPATALIN RETARD 200 MG 10 CAP(3%+(PAE),3.0,0.0,0.0,2.0,0.0,0.0,0.67,0.0,0.0222,,B,1.0,1.0,3.0,exceso,0.0,70832.0,212496.0,0.0,1.0
bella_suiza 40350,100020531,ENEMAG SOL.ORAL MARACUYA 133 ML ICOM,3.0,0.0,0.0,0.0,0.0,1.0,0.33,0.5,0.0111,,L,1.0,1.0,3.0,exceso,0.0,10263.0,30789.0,0.0,1.0
bella_suiza 40350,100021820,BUCOXOL TRIPLE ACCION F.ROJOS 10 TBS,3.0,0.0,0.0,1.0,0.0,1.0,0.67,0.5,0.0222,,B,1.0,1.0,3.0,exceso,0.0,14366.0,43098.0,0.0,1.0
bella_suiza 40350,100022540,DUONAZOL 200/100 MG 3 OVULOS VAGINA ICOM,3.0,0.0,0.0,2.0,3.0,1.0,2.0,2.0,0.0667,,A,1.0,1.0,3.0,exceso,0.0,14951.5,44854.5,0.0,1.0
bella_suiza 40350,100022703,AMOXICILINA SOLOMOXY 500 MG 60 CAPSULAS,3.0,5.0,0.0,0.17,1.0,0.0,0.39,0.5,0.013,,L,1.0,1.0,3.83,exceso,0.0,26532.73,101620.36,0.0,1.0
bella_suiza 40350,100022710,ACTIVA 21 21 GRAGEAS(P)6104,3.0,0.0,0.0,1.0,2.0,1.0,1.33,1.5,0.0444,,B,1.0,1.0,3.0,exceso,0.0,5910.83,17732.49,0.0,1.0
bella_suiza 40350,100022711,ENTEROGERMINA PLUS 5 AMPOLLAS BEBIBLES,5.0,0.0,4.0,0.0,1.0,3.2,1.4,2.1,0.0467,,B,1.0,1.0,5.8,exceso,0.0,79036.5,458411.7,0.0,3.0
bella_suiza 40350,100022851,ALGIMIDE F 325/30 MG 30 TBS ACETA/CODEIN,1.0,0.0,0.0,0.33,0.0,0.0,0.11,0.0,0.0037,,D,0.0,0.0,1.0,exceso,0.0,66172.0,66172.0,0.0,1.0
bella_suiza 40350,100022866,DOLEX FORTE NF 14 TABLETAS,3.0,0.0,0.0,1.0,0.0,1.0,0.67,0.5,0.0222,,B,1.0,1.0,3.0,exceso,0.0,23425.0,70275.0,0.0,1.0
bella_suiza 40350,100022939,DICASEN 25 / 25 MG 30 COMPRIMIDOS,3.0,0.0,0.0,0.0,1.0,0.0,0.33,0.5,0.0111,,L,1.0,1.0,3.0,exceso,0.0,113995.0,341985.0,0.0,1.0
bella_suiza 40350,100023037,ADVIL FEM 20 TABLETAS,3.0,0.0,0.0,0.0,0.0,1.5,0.5,0.75,0.0167,,B,1.0,1.0,3.0,exceso,0.0,38811.0,116433.0,0.0,1.0
bella_suiza 40350,100023360,DIENILLE 2 MG 21 COMPRIM.(P)15279,4.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0333,,B,1.0,1.0,4.0,exceso,0.0,15245.5,60982.0,0.0,2.0
bella_suiza 40350,100023810,ENFAMIL CONFORT ETA. 1 375 GR,3.0,0.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0111,,L,1.0,1.0,3.0,exceso,0.0,86868.0,260604.0,0.0,1.0
bella_suiza 40350,100023961,ELECTROLIT HIDRATANTE LIMA LIMON 625 ML,3.0,0.0,0.0,1.0,1.0,2.0,1.33,1.5,0.0444,,B,1.0,1.0,3.0,exceso,0.0,6805.44,20416.32,0.0,1.0
bella_suiza 40350,100023962,ELECTROLIT HIDRATANTE MANZANA 625 ML,10.0,0.0,0.0,2.0,6.0,3.0,3.67,4.5,0.1222,,A,3.0,3.0,10.0,exceso,0.0,6805.5,68055.0,0.0,6.0
bella_suiza 40350,100023963,ELECTROLIT HIDRATANTE NARAN.MANDA 625 ML,14.0,0.0,0.0,20.0,19.0,12.0,17.0,15.5,0.5667,,E,9.0,9.0,14.0,exceso,0.0,6805.07,95270.98,0.0,3.0
bella_suiza 40350,100024050,ALMIPRO UNGUENTO 60 GR,3.0,0.0,0.0,0.0,1.0,0.0,0.33,0.5,0.0111,,L,1.0,1.0,3.0,exceso,0.0,17300.0,51900.0,0.0,1.0
bella_suiza 40350,100024217,ACIBIOGEL HIDROX.DE ALUMINIO 360ML,3.0,0.0,0.0,2.0,0.0,0.0,0.67,0.0,0.0222,,B,1.0,1.0,3.0,exceso,0.0,15019.0,45057.0,0.0,1.0
bella_suiza 40350,100024217,ACIBIOGEL HIDROX.DE ALUMINIO 360ML,3.0,0.0,0.0,2.0,0.0,0.0,0.67,0.0,0.0222,,B,1.0,1.0,3.0,exceso,0.0,16168.0,48504.0,0.0,1.0
bella_suiza 40350,100024284,ACETAMINOFEN+CODEINA 325/30MG 30 TBS MK,3.0,0.0,0.0,1.0,5.0,0.0,2.0,2.5,0.0667,,A,1.0,1.0,3.0,exceso,0.0,38288.08,114864.24,0.0,1.0
bella_suiza 40350,100024690,DIPIRONA 1 GR/2 ML 10 AMPOLLAS VT,1.0,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0033,,D,0.0,0.0,1.0,exceso,0.0,22472.0,22472.0,0.0,1.0
bella_suiza 40350,100025046,CLOBETASOL 0.05% CREMA 40 GR VT,3.0,0.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0111,,L,1.0,1.0,3.0,exceso,0.0,15257.0,45771.0,0.0,1.0
bella_suiza 40350,100025205,DESLORATAMIN  2.5MG/5ML JBE 60 ML ICOM,3.0,0.0,0.0,0.0,2.0,0.0,0.67,1.0,0.0222,,B,1.0,1.0,3.0,exceso,0.0,7759.0,23277.0,0.0,1.0
bella_suiza 40350,100025389,CEFTRIAXONA 1 G 1 AMPOLLAS VT,4.0,0.0,0.0,0.0,2.0,0.0,0.67,1.0,0.0222,,B,1.0,1.0,4.0,exceso,0.0,6860.0,27440.0,0.0,2.0
bella_suiza 40350,100026164,CAFIASPIRINA FORTE 650MG 12 TAB,6.0,0.0,0.0,8.0,7.0,1.0,5.33,4.0,0.1778,,E,3.0,3.0,6.0,exceso,0.0,14926.0,89556.0,0.0,2.0
bella_suiza 40350,100026763,CITRATO DE MAGNESIO 90 CAP,6.0,0.0,0.0,3.0,0.0,1.0,1.33,0.5,0.0444,,B,1.0,1.0,6.0,exceso,0.0,26638.75,159832.5,0.0,4.0
bella_suiza 40350,100026942,ELECTROLIT HIDRATANTE JAMAICA 625 ML,12.0,0.0,0.0,3.0,4.0,1.0,2.67,2.5,0.0889,,A,2.0,2.0,12.0,exceso,0.0,6805.5,81666.0,0.0,9.0
bella_suiza 40350,100027252,AVARIN 300 MG/60 MG 10 CAPS (SAV),3.0,0.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0111,,L,1.0,1.0,3.0,exceso,0.0,28050.0,84150.0,0.0,1.0
bella_suiza 40350,100027437,CREMA PILI CALENDULA 450 GR,3.0,0.0,0.0,2.0,0.0,1.0,1.0,0.5,0.0333,,B,1.0,1.0,3.0,exceso,0.0,25844.25,77532.75,0.0,1.0
bella_suiza 40350,100028083,ALLEGRA 120 MG BLIST 2TBS PACK 5 CAJAS,2.0,0.0,0.0,0.2,0.0,0.0,0.07,0.0,0.0022,,D,0.0,0.0,2.0,exceso,0.0,68400.0,136800.0,0.0,2.0
bella_suiza 40350,200000223,DTE.OBAO ROLLON INTENSA 65 GR M,3.0,0.0,0.0,2.0,0.0,0.0,0.67,0.0,0.0222,,B,1.0,1.0,3.0,exceso,0.0,8012.0,24036.0,0.0,1.0
bella_suiza 40350,200003008,DTE.YODORA CREMA 12 GR,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0333,,B,1.0,1.0,3.0,exceso,0.0,2590.58,7771.74,0.0,1.0
bella_suiza 40350,200005694,BARQUILLO PIAZZA FRESA 10 UND R2644,3.0,0.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0111,,L,1.0,1.0,3.0,exceso,0.0,2282.67,6848.01,0.0,1.0
bella_suiza 40350,200010045,BICARBONATO DE SODA 20 SBS 10GR DISANFER,2.0,0.0,7.0,0.05,0.0,0.0,0.02,0.0,0.0006,,D,0.0,0.0,2.35,exceso,0.0,5865.0,13782.75,0.0,2.0
bella_suiza 40350,200015224,ERASSIN 100 MG 2 TABLETAS LB,5.0,0.0,0.0,2.0,3.0,1.0,2.0,2.0,0.0667,,A,1.0,1.0,5.0,exceso,0.0,12542.0,62710.0,0.0,3.0
bella_suiza 40350,200016582,DEXEX SENSITIVO 3 UND ICOM,3.0,0.0,0.0,0.0,1.0,0.0,0.33,0.5,0.0111,,L,1.0,1.0,3.0,exceso,0.0,1783.0,5349.0,0.0,1.0
bella_suiza 40350,200016771,DTE.REXONA BARRA HOMBRE V8 50 GR H,4.0,0.0,0.0,2.0,2.0,0.0,1.33,1.0,0.0444,,B,1.0,1.0,4.0,exceso,0.0,15758.0,63032.0,0.0,2.0
bella_suiza 40350,200020416,CEP.ORAL-B COMPLETE MEDIO,8.0,0.0,0.0,1.0,5.0,1.0,2.33,3.0,0.0778,,A,2.0,2.0,8.0,exceso,0.0,5026.84,40214.72,0.0,5.0
