codigo,nombre_producto,origen,origen_clasificacion,origen_promedio_venta,cantidad_transferir,destino,destino_clasificacion,destino_promedio_venta,mayor_costo,costo_total
000103902,Polvo Compacto Con Fs No 2,carmesi 33593,D,0.0,1.0,bella_suiza 40350,L,0.33,13775.0,13775.0
000103906,Polvo Compacto Con Fs No 6,ingenio 38147,D,0.0,1.0,calle_quinta 40285,L,0.33,17243.0,17243.0
000103907,Polvo Compacto Con Fs No 7 Avellana,ingenio 38147,D,0.0,1.0,holguines 33044,L,0.33,17243.0,17243.0
000103913,Polvo Compacto Con Fs No 13,ingenio 38147,D,0.0,1.0,metro 33045,L,0.33,17243.0,17243.0
000103922,POLVO COMPACTO CON FS NO 22,ciudadela 28233,D,0.0,1.0,unicentro 34391,L,0.33,17243.0,17243.0
000103922,POLVO COMPACTO CON FS NO 22,ciudadela 28233,D,0.0,1.0,unicentro 34391,L,0.33,17243.0,17243.0
000103922,POLVO COMPACTO CON FS NO 22,ciudadela 28233,D,0.0,1.0,cosmocentro1 34060,B,1.0,17243.0,17243.0
000103922,POLVO COMPACTO CON FS NO 22,ciudadela 28233,D,0.0,1.0,cosmocentro1 34060,B,1.0,17243.0,17243.0
000103922,POLVO COMPACTO CON FS NO 22 SANDALO,ciudadela 28233,D,0.0,1.0,unicentro 34391,L,0.33,17243.0,17243.0
000103922,POLVO COMPACTO CON FS NO 22 SANDALO,ciudadela 28233,D,0.0,1.0,unicentro 34391,L,0.33,17243.0,17243.0
000103922,POLVO COMPACTO CON FS NO 22 SANDALO,ciudadela 28233,D,0.0,1.0,cosmocentro1 34060,B,1.0,17243.0,17243.0
000103922,POLVO COMPACTO CON FS NO 22 SANDALO,ciudadela 28233,D,0.0,1.0,cosmocentro1 34060,B,1.0,17243.0,17243.0
000103922,Polvo Compacto Con Fs No 22,ciudadela 28233,D,0.0,1.0,unicentro 34391,L,0.33,17243.0,17243.0
000103922,Polvo Compacto Con Fs No 22,ciudadela 28233,D,0.0,1.0,unicentro 34391,L,0.33,17243.0,17243.0
000103922,Polvo Compacto Con Fs No 22,ciudadela 28233,D,0.0,1.0,cosmocentro1 34060,B,1.0,17243.0,17243.0
000103922,Polvo Compacto Con Fs No 22,ciudadela 28233,D,0.0,1.0,cosmocentro1 34060,B,1.0,17243.0,17243.0
000103923,Polvo Compacto Con Fs No 23,ingenio 38147,D,0.0,1.0,carmesi 33593,L,0.33,17243.0,17243.0
000103923,Polvo Compacto Con Fs No 23,ingenio 38147,D,0.0,1.0,carmesi 33593,L,0.33,17243.0,17243.0
000103923,Polvo Compacto Con Fs No 23,globald 26873,D,0.0,1.0,calle_quinta 40285,L,0.33,17243.0,17243.0
000103923,Polvo Compacto Con Fs No 23,globald 26873,D,0.0,1.0,calle_quinta 40285,L,0.33,17243.0,17243.0
000103923,Polvo Compacto Con Fs No 23 Canela,ingenio 38147,D,0.0,1.0,carmesi 33593,L,0.33,17243.0,17243.0
000103923,Polvo Compacto Con Fs No 23 Canela,ingenio 38147,D,0.0,1.0,carmesi 33593,L,0.33,17243.0,17243.0
000103923,Polvo Compacto Con Fs No 23 Canela,globald 26873,D,0.0,1.0,calle_quinta 40285,L,0.33,17243.0,17243.0
000103923,Polvo Compacto Con Fs No 23 Canela,globald 26873,D,0.0,1.0,calle_quinta 40285,L,0.33,17243.0,17243.0
000103925,POLVO F.COMPACT MOCOA X15GR,unicentro 34391,D,0.0,1.0,calle_quinta 40285,L,0.33,17243.0,17243.0
000103925,POLVO F.COMPACT MOCOA X15GR,unicentro 34391,D,0.0,1.0,calle_quinta 40285,L,0.33,17243.0,17243.0
000103925,Polvo F. Compacto N 25 Moca X 15 G,unicentro 34391,D,0.0,1.0,calle_quinta 40285,L,0.33,17243.0,17243.0
000103925,Polvo F. Compacto N 25 Moca X 15 G,unicentro 34391,D,0.0,1.0,calle_quinta 40285,L,0.33,17243.0,17243.0
000103927,POLVO F.COPACT ANAMARIA 27 COCOA,ingenio 38147,D,0.0,1.0,cosmocentro1 34060,L,0.33,17243.0,17243.0
000103927,POLVO F.COPACT ANAMARIA 27 COCOA,ingenio 38147,D,0.0,1.0,cosmocentro1 34060,L,0.33,17243.0,17243.0
000103927,Polvo F. Compacto N 27 Cocoa X 15 G,ingenio 38147,D,0.0,1.0,cosmocentro1 34060,L,0.33,17243.0,17243.0
000103927,Polvo F. Compacto N 27 Cocoa X 15 G,ingenio 38147,D,0.0,1.0,cosmocentro1 34060,L,0.33,17243.0,17243.0
000103950,Polvo Compacto Kaloe No 1 Almendra,pasoancho 33511,D,0.0,1.0,podium 29434,L,0.33,6817.94,6817.94
000103958,POLVO COMPACT KALOE # 8 CAOBA,podium 29434,D,0.0,1.0,cosmocentro1 34060,L,0.33,6365.0,6365.0
000103958,POLVO COMPACT KALOE # 8 CAOBA,podium 29434,D,0.0,1.0,cosmocentro1 34060,L,0.33,6776.67,6776.67
000103958,POLVO COMPACT KALOE # 8 CAOBA,podium 29434,D,0.0,1.0,cosmocentro1 34060,L,0.33,6117.25,6117.25
000103958,POLVO COMPACTO KALOE # 8 CAOBA,podium 29434,D,0.0,1.0,cosmocentro1 34060,L,0.33,6365.0,6365.0
000103958,POLVO COMPACTO KALOE # 8 CAOBA,podium 29434,D,0.0,1.0,cosmocentro1 34060,L,0.33,6776.67,6776.67
000103958,POLVO COMPACTO KALOE # 8 CAOBA,podium 29434,D,0.0,1.0,cosmocentro1 34060,L,0.33,6117.25,6117.25
000103958,Pol Com Kaloe No. 8 Caoba,podium 29434,D,0.0,1.0,cosmocentro1 34060,L,0.33,6365.0,6365.0
000103958,Pol Com Kaloe No. 8 Caoba,podium 29434,D,0.0,1.0,cosmocentro1 34060,L,0.33,6776.67,6776.67
000103958,Pol Com Kaloe No. 8 Caoba,podium 29434,D,0.0,1.0,cosmocentro1 34060,L,0.33,6117.25,6117.25
000103958,Polvo Compacto Kaloe # 8 Caoba,podium 29434,D,0.0,1.0,cosmocentro1 34060,L,0.33,6365.0,6365.0
000103958,Polvo Compacto Kaloe # 8 Caoba,podium 29434,D,0.0,1.0,cosmocentro1 34060,L,0.33,6776.67,6776.67
000103958,Polvo Compacto Kaloe # 8 Caoba,podium 29434,D,0.0,1.0,cosmocentro1 34060,L,0.33,6117.25,6117.25
000104438,Base Hidratante Kaloe Oscuro,carmesi 33593,D,0.0,1.0,ingenio 38147,L,0.33,7790.0,7790.0
000289887,Vogue Esmalte Fantastic 94 Confeti,holguines 33044,D,0.0,1.0,bella_suiza 40350,L,0.33,1942.0,1942.0
000291767,Vogue Lapiz Delineador Cejas Fantastic C,bella_suiza 40350,D,0.0,1.0,podium 29434,B,0.67,7653.0,7653.0
000291880,Vogue Lapiz Cejas Fantastic Camel,bella_suiza 40350,D,0.0,1.0,globald 26873,L,0.33,6851.5,6851.5
000291903,Vogue Corrector Cremoso Barra Natural,calle_quinta 40285,D,0.0,1.0,holguines 33044,L,0.33,5683.0,5683.0
000291934,Vogue Corrector Cremoso Barra Arena R,holguines 33044,D,0.0,1.0,bella_suiza 40350,L,0.33,4736.0,4736.0
000299749,Vogue Esmalte Fantastic Base Ajo Limon,cosmocentro3 28047,D,0.0,1.0,bella_suiza 40350,L,0.33,2806.0,2806.0
000787061,COLORISSIMO EXTRA BRILLO FIESTA 5ML,calle_quinta 40285,D,0.0,1.0,bella_suiza 40350,L,0.33,8240.0,8240.0
000808889,Vogue Esmalteefecto Gel Poderosa 14Ml,podium 29434,D,0.0,1.0,calicanto 33336,L,0.33,5357.0,5357.0
000826678,Vogue Betun Pomada Camel 4G,globald 26873,D,0.0,1.0,cosmocentro1 34060,L,0.33,7598.0,7598.0
000826685,Vogue Betun Pomada Caoba 4G,bella_suiza 40350,D,0.0,1.0,cosmocentro1 34060,L,0.33,7100.0,7100.0
000847246,Vogue Base Val M Nat Ah Gitano 30Ml,holguines 33044,D,0.0,1.0,bella_suiza 40350,L,0.33,12456.0,12456.0
00310010C,BASE DE AJO FRASCO X 10 ML,carmesi 33593,D,0.0,1.0,holguines 33044,L,0.33,2857.0,2857.0
00310010C,Base Ajo Y Limon 10 Ml Admiss,carmesi 33593,D,0.0,1.0,holguines 33044,L,0.33,2857.0,2857.0
00310016C,BRILLO MASGLO SECANTE FRASCO X 13.50 ML,holguines 33044,D,0.0,1.0,podium 29434,B,1.67,6534.5,6534.5
00310016C,BRILLO MASGLO SECANTE FRASCO X 13.50 ML,holguines 33044,D,0.0,1.0,cosmocentro3 28047,L,0.33,6534.5,6534.5
