Codigo,Nombre,Sugerido,Laboratorio,contenido Caja,contenido Blister,contenido Unidad,Inventario Caja,Inventario Blister,Inventario Unidad,UltimaCompra,Cantidad Vendida Caja,Cantidad Vendida Blister,Cantidad Vendida Unidad,Costo Unitario,Precio Venta Contado
100000098,NEOSALDINA GOTAS 30 ML,1,EUROFARMA COLOMBIA S.A.S,1,0,0,0,0,0,2024-07-09 00:00:00.000,1.0,0.0,0,56772.0,58600
100000113,PARACODINA JARABE 120 ML,0,LAB. LEGRAND S.A.,1,0,0,1,0,0,2025-01-31 09:02:53.823,1.0,0.0,0,21762.0,26200
100000134,PEDIASURE POLVO VAINILLA 400 GR,1,ABBOTT LABORATORIES S.A,1,0,0,0,0,0,2024-05-31 00:00:00.000,1.0,0.0,0,56503.0,58300
100000145,RYTMONORM 150 MG 30 TBS (3%+)(A)(PAE),0,LABORATORIO FRANCO COLOMB,1,0,0,1,0,0,2025-04-01 00:00:00.000,1.0,0.0,0,148032.0,193100
100000392,PROFENID 100 MG 6 AMPOLLAS,0,SANOFI AVENTIS DE COLOMBI,6,0,1,0,0,5,2024-11-18 00:00:00.000,0.17,0.0,1,98545.0,101100
100000449,TRAVAD ORAL LIMON 133 ML,0,TECNOQUIMICAS S.A.,1,0,0,2,0,0,2025-03-27 00:00:00.000,2.0,0.0,0,28059.0,30700
100000465,ALKA SELTZER 60 TABLETAS,0,BAYER S.A.,60,30,2,2,89,178,2025-01-31 00:00:00.000,0.47,14.0,28,56303.0,64000
100000477,ASPIRINA EFERVESCENTE 500 MG 50 TABLETAS,0,BAYER S.A.,25,0,1,0,0,24,2025-03-29 00:00:00.000,0.04,0.0,1,55117.0,59800
100000482,BAYCUTEN N CREMA 20 GR,0,BAYER S.A.,1,0,0,2,0,0,2025-03-21 00:00:00.000,2.0,0.0,0,22101.5,30700
100000605,TRISULFA-F 10 TABLETAS,0,BIOCHEM FARMACEUTICA DE C,1,0,0,1,0,0,,1.0,0.0,0,13915.0,21300
