Codigo,Nombre,Sugerido,Laboratorio,contenido Caja,contenido Blister,contenido Unidad,Inventario Caja,Inventario Blister,Inventario Unidad,UltimaCompra,Cantidad Vendida Caja,Cantidad Vendida Blister,Cantidad Vendida Unidad,Costo Unitario,Precio Venta Contado
7709830214030,FONKINK 500MG 3 TABLETAS,0,COMIS-GCNG,1,0,0,8,0,0,2025-03-18 12:30:07.057,5.0,0,0,7400.0,18700
E118,LOZARTEN 50 MG 30 TBL,0,COMIS-GCNG,3,0,1,5,0,15,2025-04-03 17:08:00.410,7.0,0,21,7400.0,20200
200022399,PRESERVAT.DUO  HOT ACTION 3 UND,1,BEIERSDORF S.A.,3,0,1,0,0,0,,1.0,0,3,9998.67,16100
100010532,AMPLIEX SUSPENSION 60 ML,0,TRIDEX S.A.,1,0,0,1,0,0,2025-03-12 14:43:52.347,1.0,0,0,8200.0,20500
A00141,ASMIKET JARABE 120 ML BIOQUIFAR,0,COMIS-GCNG,1,0,0,4,0,0,2025-03-18 12:30:07.057,1.0,0,0,8600.0,21500
7702896001774,"MEBLAINEX 15MG/1,5ML 5 AMP BLASKOV",0,COMIS-GCNG,5,0,1,6,0,33,,0.2,0,1,10624.0,60500
A00285,KOLONTIL 200 MG 15 TBL BIOQUIFAR,0,COMIS-GCNG,1,0,0,3,0,0,2025-03-18 12:30:07.057,3.0,0,0,8000.0,20000
7709506348427,LINCOFAR 600MG 2 ML 10 AMP,0,COMIS-GCNG,10,0,1,17,0,179,,0.7,0,7,18500.0,120500
200033274,GLICERINA CARBONATADA GOTERO 30ML DROGAM,1,PRODUCTOS DROGAM S.A.S,1,0,0,0,0,0,,2.0,0,0,771.5,2900
A00215,NEWTARPAN 5 MG 10 TBL BIOQUIFAR,0,COMIS-GCNG,10,0,1,3,0,30,,2.0,0,20,4898.0,19000
A00186,TUDERMIFAR CREMA 40 GR LABQUIFAR,0,COMIS-GCNG,1,0,0,3,0,0,2025-03-26 12:34:30.467,6.0,0,0,5800.0,14500
G084,DIFAZIN 40 GR,0,COMIS-GCNG,1,0,0,3,0,0,2025-04-03 17:08:00.410,1.0,0,0,6500.0,16600
E039,EUTARPAN 10 MG 100 TBL,0,COMIS-GCNG,100,10,10,0,9,90,2025-04-03 17:08:00.410,1.2,12,120,16100.0,70500
7702896000364,TOR CREMA PROTOLOGICA 10 GR,0,COMIS-GCNG,1,0,0,6,0,0,2025-04-03 17:08:00.410,2.0,0,0,8900.0,23400
A00224,METROXAZIDE 600 MG/200 MG 18 TBLS BIOQUIFAR,0,COMIS-GCNG,18,0,1,2,0,36,2025-03-18 12:30:07.057,1.67,0,30,9000.0,22500
7707263003993,MEDIZOL 500 MG 2 OVULOS,0,TRIDEX S.A.,2,0,1,4,0,8,2025-03-18 12:30:07.057,1.0,0,2,13900.0,36200
E029,DIGLUFOR 850 MG 30 TBL LABQUIFAR,0,COMIS-GCNG,30,3,10,2,8,80,2025-03-18 12:30:07.057,1.0,3,30,8000.0,20000
B698,LOZARTEN 100 MG 30 TBL BIOQUIFAR,0,COMIS-GCNG,3,0,1,7,0,21,2025-04-03 17:08:00.410,1.0,0,3,9300.0,23600
A00217,ACTIVIRAL 800 G 10 TBL LABQUIFAR,0,COMIS-GCNG,10,0,1,10,0,100,2025-02-19 10:59:15.517,2.0,0,20,12200.0,31000
100005928,NORAVER MENTA SPRAY 120 ML,0,TECNOQUIMICAS S.A.,1,0,0,2,0,0,,1.0,0,0,26707.0,49400
E043,LAMDOTIL 16 TBL,1,COMIS-GCNG,16,0,1,0,0,0,,2.0,0,32,7700.0,20500
E059,LIRODERM LOCION 60 ML LABQUIFAR,0,COMIS-GCNG,1,0,0,3,0,0,,1.0,0,0,8900.0,23400
7707019310177,EUCODINA DIHIDROCODEINA JBE 120ML,0,COMIS-GCNG,1,0,0,4,0,0,2025-03-18 12:30:07.057,1.0,0,0,8700.0,21800
770102114281,TOAL HUMD.WINNY AVN Y MIEL 40UDS,0,TECNOQUIMICAS S.A.,1,0,0,19,0,0,,1.0,0,0,5972.0,9700
7701021142955,TOALLITAS WINNY AVENA MIEL 80UNDS,0,TECNOQUIMICAS S.A.,1,0,0,18,0,0,,1.0,0,0,9492.0,14800
E6032,CURATOS MIEL 125 ML,0,COMIS-GCNG,1,0,0,4,0,0,,2.0,0,0,14925.0,37400
100015686,DOLIVIUM 100MG/5ML SUSP. 120 ML ICOM,0,ICOM,1,0,0,3,0,0,,1.0,0,0,4977.0,21600
000104508,Plumon Blacklook Wp Kaloe,0,,1,0,0,1,0,0,,1.0,0,0,9025.0,13000
