Codigo,Nombre,Sugerido,Laboratorio,contenido Caja,contenido Blister,contenido Unidad,Inventario Caja,Inventario Blister,Inventario Unidad,UltimaCompra,Cantidad Vendida Caja,Cantidad Vendida Blister,Cantidad Vendida Unidad,Costo Unitario,Precio Venta Contado
100000465,ALKA SELTZER 60 TABLETAS,0,BAYER S.A.,60,30,2,1,46,92,2025-03-20 00:00:00.000,0.58,17.5,35,64178.0,74100
100000376,NOVALGINA 5 ML 5 AMPOLLAS,0,OPELLA HEALTHCARE COLOMBI,5,0,1,0,0,3,2025-01-21 00:00:00.000,0.4,0.0,2,54068.0,54500
100000317,ALLEGRA 120 MG 10 COMPRIMIDOS (3%+),0,OPELLA HEALTHCARE COLOMBI,1,0,0,2,0,0,2025-03-18 00:00:00.000,1.0,0.0,0,63552.0,69100
100000113,PARACODINA JARABE 120 ML,0,LAB. LEGRAND S.A.,1,0,0,1,0,0,2025-01-14 00:00:00.000,1.0,0.0,0,21762.0,26200
100000097,NEOSALDINA 100 GRAGEAS (A),0,EUROFARMA COLOMBIA S.A.S,25,0,1,0,0,24,2025-02-26 00:00:00.000,0.84,0.0,21,164901.0,166600
100001314,LACTULAX 12 SBS JARABE 15 ML (3%+),1,LABORATORIOS CHALVER DE C,12,0,1,0,0,0,2024-11-14 00:00:00.000,0.75,0.0,9,48655.0,95400
100001310,INFLACOR 8 MG 2 ML AMPOLLA,1,LABORATORIOS CHALVER DE C,1,0,0,0,0,0,2023-12-30 00:00:00.000,1.0,0.0,0,27709.0,34000
100000955,ISODINE SOLUCION 60 ML,1,LABORATORIOS BUSSIE S.A.,1,0,0,0,0,0,2024-01-15 00:00:00.000,1.0,0.0,0,10229.0,12900
100000944,ISODINE 24 OVULOS,0,LABORATORIOS BUSSIE S.A.,24,0,1,0,0,11,2024-11-20 00:00:00.000,0.04,0.0,1,62302.0,68300
100000916,BISOLVON NINOS 120 ML,0,OPELLA HEALTHCARE COLOMBI,1,0,0,4,0,0,2025-02-01 00:00:00.000,1.0,0.0,0,24580.33,39200
100000477,ASPIRINA EFERVESCENTE 500 MG 50 TABLETAS,0,BAYER S.A.,50,0,1,1,0,59,2025-03-27 00:00:00.000,0.32,0.0,16,55117.0,55500
100005327,DESONIDA MEDIHEALT 0.1% CREMA 15 GR,1,MEGALABS COLOMBIA SAS,1,0,0,0,0,0,2022-07-21 00:00:00.000,1.0,0.0,0,12678.67,20500
100001337,TRIGENTAX CREMA 20 GR,0,LABORATORIOS CHALVER DE C,1,0,0,2,0,0,2025-03-29 00:00:00.000,1.0,0.0,0,20914.0,29300
100005386,PROCICAR CREMA 60 GR,1,MEGALABS COLOMBIA SAS,1,0,0,0,0,0,2024-10-09 00:00:00.000,1.0,0.0,0,41174.0,44700
100005415,DIANE 35 21 GRAGEAS (P)9907(SC)(SF)(PDB),0,BAYER S.A.,1,0,0,1,0,0,2025-04-05 00:00:00.000,1.0,0.0,0,8915.5,11400
100005434,MESIGYNA INSTAY. 1ML AMP.(P)9016(SC)(SF),0,BAYER S.A.,1,0,0,1,0,0,2025-04-05 00:00:00.000,12.0,0.0,0,8113.0,11300
100005437,MICROGYNON SUAVE 21 GRAGEAS(P)6104(SC),0,ADIUM S.A.S.,1,0,0,2,0,0,2025-04-05 00:00:00.000,4.0,0.0,0,6090.0,7100
100005464,YASMIN 21 COMPR.(P)26910(SC)(SF)(PDB),0,BAYER S.A.,1,0,0,2,0,0,2025-03-27 00:00:00.000,3.0,0.0,0,21527.0,28800
100001360,DESONIDA 0.05% CREMA 15 GR,0,LAB.SIEGFRIED S.A,1,0,0,1,0,0,2025-04-01 00:00:00.000,2.0,0.0,0,16609.0,20100
100005702,NULYTELY CEREZA 4 SBS (3%+)(PAE),0,ADIUM S.A.S.,4,0,1,1,0,6,2025-04-05 00:00:00.000,1.0,0.0,4,71640.0,90400
100001410,ACIDO FOLICO 5 MG 20 TABLETAS EC,0,LABORATORIOS ECAR S.A.,1,0,0,1,0,0,2025-03-29 00:00:00.000,2.0,0.0,0,19951.0,20400
100001421,COMPLEJO B 250 TABLETAS EC,0,LABORATORIOS ECAR S.A.,25,0,1,0,0,15,2025-01-09 00:00:00.000,0.44,0.0,11,28526.0,37700
100001524,FITOSTIMOLINE CREMA 32 GR (3%+)(PAE),0,EUROETIKA LTDA,1,0,0,2,0,0,2024-11-25 00:00:00.000,1.0,0.0,0,83757.5,91900
100001644,ACICLOVIR 800 MG 10 TABLETAS GF,1,GENFAR S.A.,1,0,0,0,0,0,2025-02-14 00:00:00.000,1.0,0.0,0,13000.0,20900
100001648,ACIDO FUSIDICO CREMA 15 GR GF,0,GENFAR S.A.,1,0,0,2,0,0,2025-03-11 00:00:00.000,1.0,0.0,0,8815.0,17900
100001654,AMLODIPINO 10 MG 10 TABLETAS GF,0,GENFAR S.A.,1,0,0,2,0,0,2025-03-13 00:00:00.000,1.0,0.0,0,7721.0,11100
100005305,AMOXIDAL DUO 875 MG 14 COMPRIMIDOS,1,MEGALABS COLOMBIA SAS,1,0,0,0,0,0,2024-09-14 00:00:00.000,1.0,0.0,0,65252.0,72400
100005339,DORIXINA RELAX 20 COMPRIMIDOS,1,MEGALABS COLOMBIA SAS,2,0,1,0,0,0,2025-01-28 00:00:00.000,1.0,0.0,2,55752.0,65500
100005665,SMECTA 3 GR 10 SBS,0,LABORATORIO FRANCO COLOMB,10,0,1,2,0,20,2025-04-03 00:00:00.000,5.7,0.0,57,66821.0,82400
100005734,AMBROXOL 15 MG JARABE 120 ML MK,0,TECNOQUIMICAS S.A.,1,0,0,1,0,0,2025-04-05 00:00:00.000,2.0,0.0,0,17936.0,20100
100005735,AMBROXOL 30 MG JARABE 120 ML MK,0,TECNOQUIMICAS S.A.,1,0,0,1,0,0,2025-03-20 00:00:00.000,1.0,0.0,0,12945.0,15200
100001422,COMPLEJO B 10 ML AMPOLLA EC,0,LABORATORIOS ECAR S.A.,1,0,0,2,0,0,2025-03-20 00:00:00.000,2.0,0.0,0,10374.5,10800
100005757,AZITROMICINA 500 MG 3 TABLETAS MK,0,TECNOQUIMICAS S.A.,1,0,0,1,0,0,2025-04-01 00:00:00.000,3.0,0.0,0,13050.0,15700
100005791,CEFALEXINA 500 MG 10 CAPSULAS MK,0,TECNOQUIMICAS S.A.,1,0,0,1,0,0,2025-03-27 00:00:00.000,2.0,0.0,0,9049.0,10400
100005815,CREMA # 4 110 GR,0,TECNOQUIMICAS S.A.,1,0,0,1,0,0,2022-09-07 00:00:00.000,1.0,0.0,0,31211.0,41500
100005820,CREMA BLANKISIMA 60 GR,0,TECNOQUIMICAS S.A.,1,0,0,2,0,0,2025-03-27 00:00:00.000,2.0,0.0,0,30468.0,32600
100005832,DICLOFENACO RETARD 100 MG 20 CAPSULAS MK,0,TECNOQUIMICAS S.A.,4,0,1,0,0,3,2025-03-13 14:47:12.733,0.25,0.0,1,14570.0,19200
100005838,ENALAPRIL 5 MG 50 TABLETAS MK,0,TECNOQUIMICAS S.A.,5,0,1,7,0,35,2024-11-14 00:00:00.000,4.0,0.0,20,11957.3,16400
100011580,ENTEROGERMINA 5 ML 10 AMP BEBIBLES,0,OPELLA HEALTHCARE COLOMBI,10,0,1,7,0,75,2025-02-10 00:00:00.000,8.5,0.0,85,63229.25,81500
100005894,LOPERAMIDA 2 MG 6 TABLETAS MK,0,TECNOQUIMICAS S.A.,6,0,1,3,0,18,2025-04-03 00:00:00.000,9.0,0.0,54,8606.5,11500
100011684,WASSERTROL GOTAS OFTAL.5 ML,0,TECNOQUIMICAS S.A.,1,0,0,4,0,0,2024-12-21 00:00:00.000,2.0,0.0,0,16799.33,17300
100011702,OVESTIN 0.5 MG 15 OVULOS (3%+),1,ASPEN COLOMBIANA SAS,1,0,0,0,0,0,2025-01-14 00:00:00.000,1.0,0.0,0,45038.0,53400
100005901,LECHE DE MAGNESIA 120 ML MK,0,TECNOQUIMICAS S.A.,1,0,0,1,0,0,2025-03-27 00:00:00.000,4.0,0.0,0,7642.0,8800
100005743,AMOXICILINA 250 MG SUSPENSION 100 ML MK,0,TECNOQUIMICAS S.A.,1,0,0,2,0,0,2025-04-01 00:00:00.000,3.0,0.0,0,12935.0,15500
100011243,LATANOX 0.05M/ML OFT.5ML(R)(P)41343(SAV),1,PROCAPS S.A.,1,0,0,0,0,0,2021-01-22 00:00:00.000,1.0,0.0,0,34574.0,43000
100011293,IMIGRAN FDT 50 MG 2 TABLETAS,1,GLAXO SMITHKLINE COLOMBIA,1,0,0,0,0,0,2023-02-27 00:00:00.000,1.0,0.0,0,69172.0,78100
100011419,BIFLACE 50 MG 2 TBS ICOM,0,ICOM,2,0,1,3,0,6,2025-04-02 00:00:00.000,11.0,0.0,22,4318.0,22800
100011424,CATALAC 500 MG 100 TBS ICOM,0,ICOM,10,0,1,3,0,35,2025-04-02 00:00:00.000,6.1,0.0,61,12700.0,48900
100011548,FREEGEN 1% GEL 15 ML,1,ESPECIALIDADES OFTALMOLOG,1,0,0,0,0,0,2025-01-31 00:00:00.000,1.0,0.0,0,71612.0,76400
100012330,PEDIASURE POLVO FRESA 400 GR,0,ABBOTT LABORATORIES S.A,1,0,0,1,0,0,2025-03-20 00:00:00.000,1.0,0.0,0,56503.0,58500
100011666,BUSCAPINA FEM 6 TABLETAS,0,OPELLA HEALTHCARE COLOMBI,1,0,0,1,0,0,2025-04-01 00:00:00.000,7.0,0.0,0,11430.0,12500
100011775,SILDENAFIL MASTICABLE 2 TABLETAS AG,0,LABORATORIO FRANCO COLOMB,2,0,1,2,0,4,2025-04-05 00:00:00.000,6.0,0.0,12,4532.0,6500
100011054,ALERCLAR 5 MG/5 ML JBE 100 ML ICOM,0,ICOM,1,0,0,2,0,0,2024-12-14 00:00:00.000,1.0,0.0,0,8619.0,24600
100011182,DERMOSUPRIL 0.1% CREMA 15 GR,1,MEGALABS COLOMBIA SAS,1,0,0,0,0,0,2024-03-07 00:00:00.000,1.0,0.0,0,23928.0,26600
100012171,VALSARTAN 160 MG 14 TBS GF,0,GENFAR S.A.,1,0,0,2,0,0,2025-04-01 00:00:00.000,2.0,0.0,0,14937.0,24400
100012220,PRUEBA DE EMBARAZO CASSETTE ICOM,0,ICOM,1,0,0,4,0,0,2025-04-02 00:00:00.000,19.0,0.0,0,2038.5,9800
100012221,PRUEBA DE EMBARAZO TIRA ICOM,0,ICOM,1,0,0,1,0,0,2025-03-15 00:00:00.000,1.0,0.0,0,1510.0,7700
100012222,PRUEBA DE EMBARAZO MIDSTREAM ICOM,0,ICOM,1,0,0,5,0,0,2025-04-05 00:00:00.000,14.0,0.0,0,5213.5,18700
100012336,ACIDO FOLICO 1 MG 400 TABLETAS LP,0,LAPROFF,40,0,1,0,0,16,2025-02-04 00:00:00.000,0.53,0.0,21,25987.0,40000
100012454,YASMINIQ 28 COMPR.(P)26910(SC)(SF)(PDB),0,BAYER S.A.,1,0,0,2,0,0,2024-12-28 00:00:00.000,5.0,0.0,0,24218.0,27500
100012133,ESPIROLAN 25 MG 20 TABLETAS,0,LAB. INTERNACIONAL DE COL,20,2,10,1,2,20,2025-01-28 00:00:00.000,1.0,2.0,20,12390.5,15800
100012155,DEXAMETASONA 8 MG 2 ML 10 AMPOLLAS GF,0,GENFAR S.A.,10,0,1,1,0,11,2025-03-13 00:00:00.000,0.5,0.0,5,21202.0,48400
100017631,PEDIALYTE CON ZINC 60 MANZANA 500 ML,0,ABBOTT LABORATORIES S.A,1,0,0,4,0,0,2025-04-02 00:00:00.000,7.0,0.0,0,8870.0,9700
100017632,PEDIALYTE CON ZINC 60 UVA 500 ML,0,ABBOTT LABORATORIES S.A,1,0,0,16,0,0,2025-04-05 00:00:00.000,43.0,0.0,0,8869.5,9700
200001884,PANUELOS FAMILIA BOLSILLO DISP.10 UND,0,PRODUCTOS FAMILIA S.A.,10,0,1,0,0,8,2025-02-14 00:00:00.000,0.1,0.0,1,8784.0,17000
200003008,DTE.YODORA CREMA 12 GR,0,TECNOQUIMICAS S.A.,1,0,0,2,0,0,2025-04-01 00:00:00.000,7.0,0.0,0,2590.0,3900
200003009,DTE.YODORA CREMA 25 GR,0,TECNOQUIMICAS S.A.,1,0,0,1,0,0,2025-03-20 00:00:00.000,2.0,0.0,0,5399.0,8600
200003032,TALCO YODORA 60 GR,0,TECNOQUIMICAS S.A.,1,0,0,1,0,0,2025-01-21 00:00:00.000,1.0,0.0,0,7550.0,9700
200003034,YODOSALIL UNGUENTO 30 GR,0,TECNOQUIMICAS S.A.,1,0,0,1,0,0,2025-03-27 00:00:00.000,3.0,0.0,0,17890.0,18400
200001991,CYCLOFEM 1 AMPOLLA,0,ASOCIACION PROFAMILIA,1,0,0,26,0,0,2025-04-05 00:00:00.000,48.0,0.0,0,21022.0,21600
100017612,AGUA ESTERIL 5 MILILITROS CP,0,CORPORACION DE FOMENTO AS,1,0,0,3,0,0,2025-04-05 00:00:00.000,6.0,0.0,0,783.0,1500
200002192,COLORIS KIT 10 NEGRO NATURAL,0,RECAMIER S.A.,1,0,0,1,0,0,2024-12-12 00:00:00.000,1.0,0.0,0,7844.0,12000
200002859,POLVO COMPACTO NAI REPUESTO NP #2,1,LAB. SMART S.A.,1,0,0,0,0,0,2024-07-17 00:00:00.000,1.0,0.0,0,6251.0,9600
200001726,VICK VAPORUB 12 GR 12 UND,0,PROCTER  GAMBLE COLOMBIA,12,0,1,1,0,16,2025-03-22 00:00:00.000,2.08,0.0,25,61580.0,77000
200001727,VICK VAPORUB 50 GR(PDB),0,PROCTER  GAMBLE COLOMBIA,1,0,0,3,0,0,2025-04-05 00:00:00.000,8.0,0.0,0,18606.0,23300
200003437,CREMA PONDS CLARANT B3 N.GRASA 100 GR,1,UNILEVER ANDINA COLOMBIA,1,0,0,0,0,0,2024-11-20 00:00:00.000,1.0,0.0,0,11200.0,29400
100017373,METRONIDAZOL 125 MG SUSPENSION 120 ML EC,0,LABORATORIOS ECAR S.A.,1,0,0,2,0,0,2025-03-19 00:00:00.000,1.0,0.0,0,10617.0,11200
100017374,KETOTIFENO 1 MG JARABE 100 ML EC,0,LABORATORIOS ECAR S.A.,1,0,0,1,0,0,2025-01-11 00:00:00.000,1.0,0.0,0,5833.5,16900
200002005,ACEITE ALMENDRAS 20 ML 12 UND PROMEGAN,0,PROMEGAN LTDA,12,0,1,0,0,2,2024-01-30 00:00:00.000,0.5,0.0,6,10335.0,18000
200017728,PROT.LACTINOSOTRAS RESPIRABLES GEL 12 UD,1,PRODUCTOS FAMILIA S.A.,1,0,0,0,0,0,2024-05-06 00:00:00.000,1.0,0.0,0,4950.0,7100
100017526,ZOPICLONA 7.5 MG 10 TABLETAS MK,1,TECNOQUIMICAS S.A.,1,0,0,0,0,0,2025-01-09 00:00:00.000,2.0,0.0,0,19859.0,22700
200017994,JERINGA 3P 5ML 21X1.1/2 100 UND INVERFAR,0,INVERFARMA SAS,100,0,1,1,0,161,2025-03-27 00:00:00.000,1.98,0.0,198,37906.0,56900
200017995,JERINGA 3P 10ML 21X1.1/2 100 UND INVERFA,0,INVERFARMA SAS,100,0,1,1,0,134,2025-04-05 00:00:00.000,0.77,0.0,77,42330.0,89900
200003788,LISTERINE COOL MINT 500 ML,0,JOHNSON  JOHNSON DE COLO,1,0,0,1,0,0,2025-03-27 00:00:00.000,2.0,0.0,0,16758.0,23400
200003803,LUBRIDERM HUMECTACION DIARIA 120ML,0,JOHNSON  JOHNSON DE COLO,1,0,0,2,0,0,2025-04-01 00:00:00.000,4.0,0.0,0,10225.0,15300
200016581,DEXEX LUBRICADO 3 UND ICOM,0,ICOM,1,0,0,6,0,0,2025-04-03 00:00:00.000,10.0,0.0,0,1782.67,8100
200016622,CREMA NIVEA MILK ALMENDRAS 250 ML,0,BEIERSDORF S.A.,1,0,0,1,0,0,2025-01-23 00:00:00.000,1.0,0.0,0,17757.0,26900
200016625,PROT.LABIAL NIVEA LIP CARE FRESA,0,BEIERSDORF S.A.,1,0,0,1,0,0,2025-03-15 00:00:00.000,3.0,0.0,0,13237.0,19700
200017061,TINTE IRIS 24 NEGRO 9 GR 12 UND,1,NABONASAR MARTINEZ Y CIA.,12,0,1,0,0,0,2020-09-05 00:00:00.000,0.25,0.0,3,16932.0,36900
200017466,PRESERVAT.TODAY LONG ACTION 3 UND,0,HALEON COLOMBIA S.A.S.,1,0,0,1,0,0,2025-03-21 00:00:00.000,1.0,0.0,0,16739.0,19700
200003785,LISTERINE COOL MINT 180 ML,0,JOHNSON  JOHNSON DE COLO,1,0,0,2,0,0,2025-03-27 00:00:00.000,2.0,0.0,0,7880.0,11800
200017584,REPELENTE STAY OFF BEBES 120 ML,1,S C JOHNSON  SON COLOMBI,1,0,0,0,0,0,2024-09-14 00:00:00.000,1.0,0.0,0,21824.0,27700
200017993,JERINGA 3P 3ML 21X1.1/2 100 UND INVERFAR,0,INVERFARMA SAS,100,0,1,0,0,85,2025-03-04 00:00:00.000,0.4,0.0,40,30660.0,45500
200018817,JERINGA ALFA 3P 3 ML 23 X 1 100 UND,0,ALFA TRADING SAS,100,0,1,0,0,61,2025-02-26 00:00:00.000,0.53,0.0,53,18702.0,50500
200019372,GUANTE CIRUGIA ALFA 7 1/2 12 UND,0,ALFA TRADING SAS,12,0,1,0,0,11,2025-04-03 00:00:00.000,3.5,0.0,42,8104.0,22000
