Codigo,Nombre,Sugerido,Laboratorio,contenido Caja,contenido Blister,contenido Unidad,Inventario Caja,Inventario Blister,Inventario Unidad,UltimaCompra,Cantidad Vendida Caja,Cantidad Vendida Blister,Cantidad Vendida Unidad,Costo Unitario,Precio Venta Contado
100000113,PARACODINA JARABE 120 ML,0,LAB. LEGRAND S.A.,1,0,0,1,0,0,2025-03-27 00:00:00.000,1.0,0.0,0,22353.0,28300
100000170,VALCOTE 500 MG 30 T(3%+)(A)(P)73200(PAE),0,LABORATORIO FRANCO COLOMB,1,0,0,1,0,0,2024-07-05 00:00:00.000,1.0,0.0,0,108699.5,134000
100000219,PRED-F 1.0% GOTAS 5 ML (DA),0,ABBVIE S.A.S.,1,0,0,1,0,0,2025-03-15 00:00:00.000,1.0,0.0,0,73092.0,75000
100000317,ALLEGRA 120 MG 10 COMPRIMIDOS (3%+),0,OPELLA HEALTHCARE COLOMBI,1,0,0,1,0,0,2024-11-21 00:00:00.000,1.0,0.0,0,51759.0,68600
100000476,ASPIRINA EFERVESCENTE 500 MG 12 TABLETAS,1,BAYER S.A.,12,6,2,0,0,0,2025-01-30 00:00:00.000,1.5,9.0,18,13197.0,15000
100000580,ENJUAGUE CLARAX 180 ML,0,BIOCHEM FARMACEUTICA DE C,1,0,0,1,0,0,2025-01-31 00:00:00.000,1.0,0.0,0,27081.0,34600
100000886,LIOTON 1000 GEL TUBO 50 GR(3%+),0,A MENARINI LATIN AMERICA,1,0,0,3,0,0,2025-03-27 00:00:00.000,2.0,0.0,0,77408.33,88600
100000910,BERODUAL SOL.INH.20 ML(P)30000(SC)(SF),0,BOEHRINGER INGELHEIM,1,0,0,1,0,0,2025-03-29 00:00:00.000,1.0,0.0,0,29099.0,30600
100001057,KENACORT I.A.10 MG 5 ML AMPOLLA,0,DEPOSITO DE DROGAS MONACO,1,0,0,3,0,0,2025-03-15 00:00:00.000,8.0,0.0,0,36252.0,39100
100001131,GAMABENCENO PLUS CREMA 60 GR,1,LABORATORIOS BUSSIE S.A.,1,0,0,0,0,0,2024-07-05 00:00:00.000,1.0,0.0,0,46829.0,57000
100001146,OTICAINA GOTAS 10 ML,1,LABORATORIOS BUSSIE S.A.,1,0,0,0,0,0,,1.0,0.0,0,16091.0,20500
100001263,CLOBEZAN UNGUENTO 25 GR,1,LABORATORIOS CHALVER DE C,1,0,0,0,0,0,2024-05-23 00:00:00.000,1.0,0.0,0,42118.0,54400
100001338,TRIGENTAX CREMA 40 GR,0,LABORATORIOS CHALVER DE C,1,0,0,1,0,0,2025-03-13 00:00:00.000,1.0,0.0,0,32021.0,44900
100001360,DESONIDA 0.05% CREMA 15 GR,0,LAB.SIEGFRIED S.A,1,0,0,2,0,0,2025-03-19 00:00:00.000,1.0,0.0,0,16609.0,17900
100001368,QUANOX IVERMECTINA 0.6% GOTAS 5 ML,1,LAB.SIEGFRIED S.A,1,0,0,0,0,0,,1.0,0.0,0,29366.0,31400
100001421,COMPLEJO B 250 TABLETAS EC,0,LABORATORIOS ECAR S.A.,25,0,1,0,0,5,2024-05-29 00:00:00.000,0.12,0.0,3,28526.0,37700
100001426,DIPIRONA 2 ML 25 AMPOLLAS EC,0,LABORATORIOS ECAR S.A.,25,0,1,0,0,22,2024-06-04 00:00:00.000,0.08,0.0,2,64752.0,80500
100001446,VITAMINA B12 1 ML 25 AMPOLLAS EC,0,LABORATORIOS ECAR S.A.,25,0,1,0,0,1,2024-08-31 00:00:00.000,0.04,0.0,1,70119.0,75000
100001647,ACICLOVIR UNGUENTO TOPICO 15 GR GF,1,GENFAR S.A.,1,0,0,0,0,0,,1.0,0.0,0,10156.0,12800
