Codigo,Nombre,Sugerido,Laboratorio,contenido Caja,contenido Blister,contenido Unidad,Inventario Caja,Inventario Blister,Inventario Unidad,UltimaCompra,Cantidad Vendida Caja,Cantidad Vendida Blister,Cantidad Vendida Unidad,Costo Unitario,Precio Venta Contado
100022002,PANTOPRAZOL 40 MG 30 TBS PC (3%+)(PAE),1,PROCAPS S.A.,1,0,0,0,0,0,,1.0,0.0,0,77408.0,121900
E093,ZIVICAL D 20 TBL LABQUIFAR,0,COMIS-GCNG,2,0,1,2,0,4,2024-11-23 15:30:28.277,1.0,0.0,2,6100.0,17900
100005381,OFTAFLOX GOTAS 5 ML,1,MEGALABS COLOMBIA SAS,1,0,0,0,0,0,,1.0,0.0,0,24438.0,36100
7707263000213,AMPLIEX 500 MG 100 CAPSULAS,0,COMIS-GCNG,10,0,1,4,0,46,2025-04-03 17:29:19.387,2.5,0.0,25,60400.0,151000
E029,DIGLUFOR 850 MG 30 TBL LABQUIFAR,0,COMIS-GCNG,30,3,10,2,8,80,2025-01-08 09:49:24.303,2.0,6.0,60,8000.0,25400
A00156,POLIOFTAL 5 ML BLASKOV,0,BLASKOV LTDA,1,0,0,2,0,0,2025-01-22 10:40:21.993,1.0,0.0,0,6500.0,24100
100018336,ESPASMOBIL 10 SOBRES 4 TABLETAS,1,FARMACOL CHINOIN SAS,40,0,1,0,0,0,2021-05-14 15:40:41.247,0.1,0.0,4,52180.0,71800
100019554,TRAYENTA DUO 2.5/1.MG 60TB(P)180000(PAE),1,BOEHRINGER INGELHEIM,1,0,0,0,0,0,,1.0,0.0,0,139547.0,173600
A00571,POLIMERO PARA EL CABELLO 24 UND 20 ML,0,N/A ,24,0,1,0,0,15,2024-10-18 10:50:53.517,0.04,0.0,1,32185.0,48400
E118,LOZARTEN 50 MG 30 TBL,0,COMIS-GCNG,3,0,1,7,0,22,2025-04-03 17:29:19.387,4.33,0.0,13,7400.0,20200
770371200195,IBUPROFAR 800 MG 60 TBLS,0,COMIS-GCNG,60,6,10,0,5,50,2025-01-08 09:49:24.303,0.92,5.5,55,29700.0,74300
E043,LAMDOTIL 16 TBL,1,COMIS-GCNG,16,0,1,0,0,0,2025-01-28 12:35:36.683,3.38,0.0,54,6600.0,20500
7709946708393,DOLINSTAN SUSPENSION PED 120ML,0,COMIS-GCNG,1,0,0,1,0,0,2025-02-18 14:56:12.117,2.0,0.0,0,4400.0,11300
100010145,VIGAMOX 0.5% SOLUCION 5 ML,1,AXON PHARMA SAS,1,0,0,0,0,0,,1.0,0.0,0,22475.0,34300
200020400,PIEDRA ALUMBRE 15 GR 30 SBS ATHOS,0,LAB. ATHOS S.A.S,30,0,1,1,0,44,2021-05-26 00:00:00.000,0.03,0.0,1,7354.0,15200
A00215,NEWTARPAN 5 MG 10 TBL BIOQUIFAR,0,COMIS-GCNG,10,0,1,2,0,20,2025-01-08 09:49:24.303,1.0,0.0,10,5200.0,19000
