Codigo,Nombre,Sugerido,Laboratorio,contenido Caja,contenido Blister,contenido Unidad,Inventario Caja,Inventario Blister,Inventario Unidad,UltimaCompra,Cantidad Vendida Caja,Cantidad Vendida Blister,Cantidad Vendida Unidad,Costo Unitario,Precio Venta Contado
100000098,NEOSALDINA GOTAS 30 ML,1,EUROFARMA COLOMBIA S.A.S,1,0,0,0,0,0,2025-01-08 00:00:00.000,1.0,0.0,0,56772.0,58600
100000112,PARACODINA GOTAS 30 ML,1,LAB. LEGRAND S.A.,1,0,0,0,0,0,2022-11-28 00:00:00.000,1.0,0.0,0,12419.0,17000
100000387,PLASIL 5 AMPOLLAS,0,LABORATORIOS BUSSIE S.A.,5,0,1,1,0,5,2025-02-25 00:00:00.000,0.2,0.0,1,39808.0,42300
100000465,ALKA SELTZER 60 TABLETAS,0,BAYER S.A.,60,30,2,1,43,86,2025-03-21 00:00:00.000,0.63,19.0,38,64178.0,74100
100000476,ASPIRINA EFERVESCENTE 500 MG 12 TABLETAS,1,BAYER S.A.,12,6,2,0,0,0,2024-08-23 00:00:00.000,0.17,1.0,2,13197.0,15400
100000477,ASPIRINA EFERVESCENTE 500 MG 50 TABLETAS,0,BAYER S.A.,25,0,1,0,0,17,2025-02-27 00:00:00.000,0.28,0.0,7,55117.0,59800
100000482,BAYCUTEN N CREMA 20 GR,0,BAYER S.A.,1,0,0,1,0,0,2025-03-18 00:00:00.000,1.0,0.0,0,22102.0,30700
100000885,LIOTON 1000 GEL 30 GR(3%+),1,A MENARINI LATIN AMERICA,1,0,0,0,0,0,2024-03-26 00:00:00.000,1.0,0.0,0,56019.0,79400
100000910,BERODUAL SOL.INH.20 ML(P)30000(SC)(SF),0,BOEHRINGER INGELHEIM,1,0,0,1,0,0,2025-03-19 00:00:00.000,1.0,0.0,0,29099.5,32100
100000944,ISODINE 24 OVULOS,0,LABORATORIOS BUSSIE S.A.,24,0,1,0,0,8,2025-01-28 00:00:00.000,0.25,0.0,6,64171.0,71200
