Codigo,Nombre,Sugerido,Laboratorio,contenido Caja,contenido Blister,contenido Unidad,Inventario Caja,Inventario Blister,Inventario Unidad,UltimaCompra,Cantidad Vendida Caja,Cantidad Vendida Blister,Cantidad Vendida Unidad,Costo Unitario,Precio Venta Contado
200025231,2 CEP.COLGATE 360 TWINPACK+TOT.75 ML MED,0,COLGATE PALMOLIVE COMPANI,1,0,0,2,0,0,2025-02-04 00:00:00.000,1.0,0.0,0,16490.0,34500
200038363,2 CHA.MEDICASP 100 ML SUPER OFE(SF),0,GENOMMA LAB.COLOMBIA,1,0,0,2,0,0,2024-12-28 00:00:00.000,1.0,0.0,0,40065.0,56400
200035556,2 DTE BALANCE ROLLON ACLARA.WOM 50ML P.E,0,HENKEL COLOMBIANA S.A.,2,0,1,1,0,2,2024-09-18 00:00:00.000,1.0,0.0,2,19144.0,28500
200030400,2 DTE ELIZABETH ARDEN CLA.CRE.60 G.M M.C,0,PREBEL S.A,1,0,0,2,0,0,2025-02-04 00:00:00.000,1.0,0.0,0,9321.0,14200
200042169,2 DTE NIVEA SILVER ROLL ON 50 ML SUP.DCT,0,BEIERSDORF S.A.,1,0,0,1,0,0,2024-12-24 00:00:00.000,1.0,0.0,0,17268.0,25700
200043037,2 DTE REXONA SPRAY XTRA COOL 150ML S.DES,1,UNILEVER ANDINA COLOMBIA,1,0,0,0,0,0,2024-08-23 00:00:00.000,1.0,0.0,0,24745.0,36900
200032268,2 DTE.AXE BODY SPR.DARK TEMPT.150ML P.E,0,UNILEVER ANDINA COLOMBIA,1,0,0,2,0,0,2025-02-12 00:00:00.000,3.0,0.0,0,23807.0,36600
200032269,2 DTE.AXE SECO SPRA DAR.TEMPTA 152ML S.O,0,UNILEVER ANDINA COLOMBIA,1,0,0,1,0,0,2025-02-04 00:00:00.000,1.0,0.0,0,23807.0,36000
200036459,2 DTE.DOVE ROLLON TONO UNIF.CAL.50ML P.E,0,UNILEVER ANDINA COLOMBIA,1,0,0,1,0,0,2025-01-30 00:00:00.000,2.0,0.0,0,15758.5,23900
200043408,2 DTE.ELIZABETH ARDEN NAT.ROLL ON 50 ML,0,PREBEL S.A,1,0,0,1,0,0,2025-02-11 00:00:00.000,1.0,0.0,0,14685.0,22300
200024917,2 DTE.MENNEN EXTREME GEL 85 GR P.E,0,COLGATE PALMOLIVE COMPANI,1,0,0,2,0,0,2025-02-15 00:00:00.000,1.0,0.0,0,25166.0,38000
200037049,2 DTE.MENNEN SPR.24/7 EXTRE.91 GR E.PACK,0,COLGATE PALMOLIVE COMPANI,1,0,0,1,0,0,2025-02-18 00:00:00.000,1.0,0.0,0,18874.0,38000
200039854,2 DTE.NIVEA ROL INV BLACK WHITE 50ML H,0,BEIERSDORF S.A.,1,0,0,1,0,0,2025-01-11 00:00:00.000,2.0,0.0,0,13814.5,25700
200034962,2 DTE.NIVEA SPR.BLA.WHI.M.150 ML.S.O,1,BEIERSDORF S.A.,1,0,0,0,0,0,2024-10-05 00:00:00.000,1.0,0.0,0,21262.0,39600
200023025,2 DTE.REXONA BARRA MEN V8 50 GR S.O H,0,UNILEVER ANDINA COLOMBIA,1,0,0,2,0,0,2025-02-06 00:00:00.000,1.0,0.0,0,24744.0,36900
200041920,2 DTE.REXONA CLINICAL CLEAN SCENT 48 GR,0,UNILEVER ANDINA COLOMBIA,1,0,0,2,0,0,2025-01-11 00:00:00.000,1.0,0.0,0,28098.0,39900
100025268,2 OSCILLOCOCCINUM 6 DOSIS P.E.,0,BOIRON S.A.S.,1,0,0,1,0,0,2025-02-20 00:00:00.000,1.0,0.0,0,44895.0,71700
200038534,2 TOA.KOTEX NOCTURNA TELA 8 UND PR.PACK,0,COLOMBIANA KIMBERLY COLPA,1,0,0,1,0,0,2025-02-06 00:00:00.000,2.0,0.0,0,12124.0,16400
200040097,2 TOALLA MATERNITY 10 UDS SUPER PRECI,0,OPTION S.A,1,0,0,2,0,0,2025-01-30 00:00:00.000,3.0,0.0,0,13545.5,17000
200040557,2 VICK VAPORUB 50 GRAMOS P.E.,0,PROCTER  GAMBLE COLOMBIA,1,0,0,3,0,0,2025-02-01 00:00:00.000,6.0,0.0,0,26794.0,32900
