Codigo,Nombre,Sugerido,Laboratorio,contenido Caja,contenido Blister,contenido Unidad,Inventario Caja,Inventario Blister,Inventario Unidad,UltimaCompra,Cantidad Vendida Caja,Cantidad Vendida Blister,Cantidad Vendida Unidad,Costo Unitario,Precio Venta Contado
200025231,2 CEP.COLGATE 360 TWINPACK+TOT.75 ML MED,0,COLGATE PALMOLIVE COMPANI,1,0,0,1,0,0,2025-02-04 00:00:00.000,1.0,0.0,0,16490.0,34500
200039901,2 CEPILLO FLUOC.BLANCURA MAX PACK,1,JGB S.A.,1,0,0,0,0,0,2024-04-23 00:00:00.000,1.0,0.0,0,7956.0,11900
200038363,2 CHA.MEDICASP 100 ML SUPER OFE(SF),0,GENOMMA LAB.COLOMBIA,1,0,0,1,0,0,2024-12-28 00:00:00.000,1.0,0.0,0,40065.0,56400
200035556,2 DTE BALANCE ROLLON ACLARA.WOM 50ML P.E,0,HENKEL COLOMBIANA S.A.,2,0,1,1,0,2,2025-03-11 00:00:00.000,1.0,0.0,2,19144.0,28500
200030400,2 DTE ELIZABETH ARDEN CLA.CRE.60 G.M M.C,0,PREBEL S.A,1,0,0,2,0,0,2025-02-04 00:00:00.000,2.0,0.0,0,9321.0,14200
200035187,2 DTE OBAO ROLLON FLORAL 65 GR P.ESP,0,LOREAL COLOMBIA S.A.,1,0,0,2,0,0,2025-02-12 00:00:00.000,2.0,0.0,0,12018.0,17900
200042406,2 DTE YODORA ROLL TOT CONTROL 53GR P.E H,0,TECNOQUIMICAS S.A.,1,0,0,1,0,0,2024-12-17 00:00:00.000,1.0,0.0,0,18710.0,27900
200032268,2 DTE.AXE BODY SPR.DARK TEMPT.150ML P.E,0,UNILEVER ANDINA COLOMBIA,1,0,0,2,0,0,2025-02-12 00:00:00.000,1.0,0.0,0,23807.0,36600
200032269,2 DTE.AXE SECO SPRA DAR.TEMPTA 152ML S.O,0,UNILEVER ANDINA COLOMBIA,1,0,0,1,0,0,2025-04-03 00:00:00.000,1.0,0.0,0,23807.0,36000
200036459,2 DTE.DOVE ROLLON TONO UNIF.CAL.50ML P.E,0,UNILEVER ANDINA COLOMBIA,1,0,0,1,0,0,2025-01-30 00:00:00.000,1.0,0.0,0,15758.5,23900
200043408,2 DTE.ELIZABETH ARDEN NAT.ROLL ON 50 ML,0,PREBEL S.A,1,0,0,1,0,0,2025-03-11 00:00:00.000,1.0,0.0,0,15355.0,22300
