Codigo,Nombre,Sugerido,Laboratorio,contenido Caja,contenido Blister,contenido Unidad,Inventario Caja,Inventario Blister,Inventario Unidad,UltimaCompra,Cantidad Vendida Caja,Cantidad Vendida Blister,Cantidad Vendida Unidad,Costo Unitario,Precio Venta Contado
100000098,NEOSALDINA GOTAS 30 ML,0,EUROFARMA COLOMBIA S.A.S,1,0,0,2,0,0,2025-03-14 00:00:00.000,3.0,0.0,0,40243.0,61200
100000113,PARACODINA JARABE 120 ML,0,LAB. LEGRAND S.A.,1,0,0,2,0,0,2024-12-21 00:00:00.000,1.0,0.0,0,21762.0,26200
100000134,PEDIASURE POLVO VAINILLA 400 GR,1,ABBOTT LABORATORIES S.A,1,0,0,0,0,0,2024-07-13 00:00:00.000,1.0,0.0,0,56503.0,58600
100000392,PROFENID 100 MG 6 AMPOLLAS,0,SANOFI AVENTIS DE COLOMBI,6,0,1,0,0,4,2025-03-04 00:00:00.000,0.33,0.0,2,104458.0,105600
100000449,TRAVAD ORAL LIMON 133 ML,1,TECNOQUIMICAS S.A.,1,0,0,0,0,0,2025-02-14 00:00:00.000,1.0,0.0,0,28059.0,30700
100000465,ALKA SELTZER 60 TABLETAS,0,BAYER S.A.,60,30,2,1,48,96,2025-03-31 00:00:00.000,0.18,5.5,11,64178.0,74100
100000477,ASPIRINA EFERVESCENTE 500 MG 50 TABLETAS,0,BAYER S.A.,50,25,2,0,16,32,2025-02-19 00:00:00.000,0.24,6.0,12,55117.0,59800
100000483,BAYCUTEN N CREMA 35 GR,1,BAYER S.A.,1,0,0,0,0,0,2024-08-03 00:00:00.000,1.0,0.0,0,37003.0,50600
100000585,CHA.GAMADERM 60 ML,1,LAB.SIEGFRIED S.A,1,0,0,0,0,0,2025-01-17 00:00:00.000,1.0,0.0,0,20047.0,18600
100000929,COMPLEGEL NF 2 ML 5 AMPOLLAS (3%+)(PDB),0,LAB.SIEGFRIED S.A,5,0,1,0,0,2,2024-12-12 00:00:00.000,0.4,0.0,2,90887.0,95500
100000944,ISODINE 24 OVULOS,0,LABORATORIOS BUSSIE S.A.,24,0,1,0,0,15,2024-11-05 00:00:00.000,0.17,0.0,4,62302.0,68300
100000955,ISODINE SOLUCION 60 ML,0,LABORATORIOS BUSSIE S.A.,1,0,0,1,0,0,2025-01-28 14:03:09.323,2.0,0.0,0,11500.0,12900
100000966,MOBIC 15 MG 1.5 ML 3 AMPOLLAS,1,BOEHRINGER INGELHEIM,3,0,1,0,0,0,2023-03-28 00:00:00.000,0.33,0.0,1,48401.0,61000
100001057,KENACORT I.A.10 MG 5 ML AMPOLLA,0,DEPOSITO DE DROGAS MONACO,1,0,0,1,0,0,2024-12-21 00:00:00.000,1.0,0.0,0,36251.5,37900
100001110,BATEN 150 MG 1 CAPSULAS,0,LABORATORIOS BUSSIE S.A.,1,0,0,1,0,0,2025-02-04 00:00:00.000,2.0,0.0,0,55618.0,58400
100001131,GAMABENCENO PLUS CREMA 60 GR,0,LABORATORIOS BUSSIE S.A.,1,0,0,1,0,0,2025-01-24 00:00:00.000,1.0,0.0,0,50645.0,62100
100001165,SULFAPLATA 1% CREMA 30 GR,0,LABORATORIOS BUSSIE S.A.,1,0,0,1,0,0,2025-01-11 00:00:00.000,1.0,0.0,0,25392.0,29600
100001241,TIZAFEN 350/2MG 20 TABLETAS(3%+),0,LAB.SIEGFRIED S.A,20,2,10,2,4,40,2025-01-11 00:00:00.000,1.0,2.0,20,72653.0,84100
100001259,CHA.HYGIENEX PIRETRO ANTIPIOJOS 24 SBS,1,LABORATORIOS CHALVER DE C,24,0,1,0,0,0,2024-07-16 00:00:00.000,0.71,0.0,17,34867.0,48000
