Codigo,Nombre,Sugerido,Laboratorio,contenido Caja,contenido Blister,contenido Unidad,Inventario Caja,Inventario Blister,Inventario Unidad,UltimaCompra,Cantidad Vendida Caja,Cantidad Vendida Blister,Cantidad Vendida Unidad,Costo Unitario,Precio Venta Contado
100000113,PARACODINA JARABE 120 ML,0,LAB. LEGRAND S.A.,1,0,0,2,0,0,2025-01-31 00:00:00.000,2.0,0.0,0,21762.0,26200
100000134,PEDIASURE POLVO VAINILLA 400 GR,0,ABBOTT LABORATORIES S.A,1,0,0,5,0,0,2024-07-13 00:00:00.000,1.0,0.0,0,56503.0,58600
100000191,MAXITROL SUSPENSION 5 ML,1,AXON PHARMA SAS,1,0,0,0,0,0,2024-12-07 00:00:00.000,1.0,0.0,0,50792.0,59000
100000204,ALBASOL SOLUCION OFTALMICA 15 ML,0,ABBVIE S.A.S.,1,0,0,3,0,0,2025-02-06 00:00:00.000,1.0,0.0,0,38024.0,39500
100000317,ALLEGRA 120 MG 10 COMPRIMIDOS (3%+),0,OPELLA HEALTHCARE COLOMBI,1,0,0,2,0,0,2025-04-01 00:00:00.000,2.0,0.0,0,50448.0,69100
100000387,PLASIL 5 AMPOLLAS,0,LABORATORIOS BUSSIE S.A.,5,0,1,0,0,3,2025-01-16 00:00:00.000,0.8,0.0,4,39808.0,42300
100000449,TRAVAD ORAL LIMON 133 ML,0,TECNOQUIMICAS S.A.,1,0,0,1,0,0,2024-11-27 00:00:00.000,1.0,0.0,0,28059.0,30700
100000450,ACID MANTLE CREMA 60 GR,1,BAYER S.A.,1,0,0,0,0,0,2024-10-01 00:00:00.000,1.0,0.0,0,29084.0,39200
100000451,ACID MANTLE N LOCION 120 ML,1,BAYER S.A.,1,0,0,0,0,0,2025-03-08 00:00:00.000,1.0,0.0,0,21773.0,27700
100000465,ALKA SELTZER 60 TABLETAS,0,BAYER S.A.,60,30,2,1,34,68,2025-01-14 00:00:00.000,0.33,10.0,20,56303.0,64000
100000476,ASPIRINA EFERVESCENTE 500 MG 12 TABLETAS,0,BAYER S.A.,12,6,2,0,3,7,2024-07-06 00:00:00.000,0.33,2.0,4,13197.2,15400
100000477,ASPIRINA EFERVESCENTE 500 MG 50 TABLETAS,0,BAYER S.A.,25,0,1,0,0,18,2025-02-08 00:00:00.000,0.16,0.0,4,55117.0,59800
