Codigo,Nombre,Sugerido,Laboratorio,contenido Caja,contenido Blister,contenido Unidad,Inventario Caja,Inventario Blister,Inventario Unidad,UltimaCompra,Cantidad Vendida Caja,Cantidad Vendida Blister,Cantidad Vendida Unidad,Costo Unitario,Precio Venta Contado
200030427,PAN.TENA ADULTO FOR MEN 20 UND PROTEC,1,PRODUCTOS FAMILIA S.A.,1,0,0,0,0,0,,1.0,0.0,0,30626.0,49900
7703712085046,BINAFAR IBUPR/METOCA 24 TBLS,0,COMIS-GCNG,24,0,1,1,0,32,2024-07-15 14:49:16.530,0.33,0.0,8,12900.0,33500
7709830214030,FONKINK AZITROMICINA 3 TBLS 500MG ,0,COMIS-GCNG,1,0,0,6,0,0,2025-03-18 16:12:29.117,6.0,0.0,0,7400.0,18500
7702896000364,TOR CREMA 10 GR,0,COMIS-GCNG,1,0,0,2,0,0,2025-03-04 14:56:55.407,2.0,0.0,0,8900.0,22300
7701021112361,PAÑAL CONTENT M 9 UDS,1,TECNOQUIMICAS S.A.,1,0,0,0,0,0,2025-02-05 15:27:53.987,4.0,0.0,0,17871.0,26700
A00160,EUTARPAN JARABE 100 ML BIOQUIFAR,1,COMIS-GCNG,1,0,0,0,0,0,2024-12-19 10:32:09.337,1.0,0.0,0,6000.0,15300
E001,CEPRAX 250MG/5ML 60 ML ANGLOPHARMA,0,COMIS-GCNG,1,0,0,1,0,0,2025-02-18 08:54:58.893,1.0,0.0,0,7300.0,21900
E031,DERMIQUEN 60 GR CREMATOPICA,0,COMIS-GCNG,1,0,0,3,0,0,2024-12-19 10:32:09.337,1.0,0.0,0,9900.0,29700
G077,XINPA 500 MG 6 TBL WHESTHER,0,COMIS-GCNG,1,0,0,4,0,0,2025-03-27 10:39:12.853,2.0,0.0,0,13200.0,33000
E043,LAMDOTIL 16 TBL,0,COMIS-GCNG,16,0,1,2,0,32,2025-01-22 12:43:54.550,1.0,0.0,16,6600.0,20500
A00167,EUMOXINA 100 ML BIOQUIFAR,0,LABQUIFAR,1,0,0,2,0,0,2025-02-25 16:14:21.483,1.0,0.0,0,8900.0,21000
A00268,ZIFLUVIS 600 MG 30 SOBRE 3 GR BIOQUIFAR,0,COMIS-GCNG,30,0,1,0,0,23,2025-02-18 08:54:58.893,0.57,0.0,17,29100.0,80200
A00209,MEXICAN 15 MG 10 TBL BIOQUIFAR,0,COMIS-GCNG,10,0,1,3,0,30,2025-04-03 17:13:50.620,7.0,0.0,70,5200.0,15000
7703712080454,DERMA3  40 GRAMOS,0,COMIS-GCNG,1,0,0,3,0,0,2025-04-03 17:13:50.620,2.0,0.0,0,18800.0,49300
A00281,VIBRADOX 100 MG 14 CAPSULAS LABQUIFAR,0,LABQUIFAR,14,0,1,1,0,14,2025-02-18 08:54:58.893,2.0,0.0,28,10300.0,25800
G076,XINPA 100 MG 60 ML  WHESTHER,0,COMIS-GCNG,1,0,0,2,0,0,2025-03-27 10:39:12.853,1.0,0.0,0,12300.0,30800
