Codigo,Nombre,Sugerido,Laboratorio,contenido Caja,contenido Blister,contenido Unidad,Inventario Caja,Inventario Blister,Inventario Unidad,UltimaCompra,Cantidad Vendida Caja,Cantidad Vendida Blister,Cantidad Vendida Unidad,Costo Unitario,Precio Venta Contado
100000097,NEOSALDINA 100 GRAGEAS (A),0,EUROFARMA COLOMBIA S.A.S,100,25,4,0,10,40,2024-11-09 00:00:00.000,0.2,5.0,20,155980.0,163000
100000185,ISOPTO ATROPINA 1% SOLUC.OFTALMICA 5 ML,1,ALCON DE COLOMBIA S.A,1,0,0,0,0,0,2021-09-18 00:00:00.000,1.0,0.0,0,24851.0,36400
100000449,TRAVAD ORAL LIMON 133 ML,0,TECNOQUIMICAS S.A.,1,0,0,1,0,0,2025-02-27 00:00:00.000,1.0,0.0,0,28059.0,30700
100000465,ALKA SELTZER 60 TABLETAS,0,BAYER S.A.,60,30,2,0,25,50,2025-02-28 00:00:00.000,0.13,4.0,8,56303.0,63500
100000477,ASPIRINA EFERVESCENTE 500 MG 50 TABLETAS,0,BAYER S.A.,25,0,1,0,0,22,2025-03-18 00:00:00.000,0.32,0.0,8,55117.0,59800
100000482,BAYCUTEN N CREMA 20 GR,0,BAYER S.A.,1,0,0,2,0,0,2025-04-01 00:00:00.000,2.0,0.0,0,22101.5,30700
100000575,BRONCOCHEM F ADULTO JARABE 120 ML,0,LAB.SIEGFRIED S.A,1,0,0,1,0,0,2021-10-19 00:00:00.000,1.0,0.0,0,21291.0,39600
100000838,VIREX 400 MG 35 TABLETAS (3%+)(A)(PAE),0,EUROFARMA COLOMBIA S.A.S,35,7,5,1,7,35,,1.0,7.0,35,96789.07,208900
100000885,LIOTON 1000 GEL 30 GR(3%+),1,A MENARINI LATIN AMERICA,1,0,0,0,0,0,2021-01-16 09:42:14.123,1.0,0.0,0,52004.0,78900
100000902,SPASMOMEN 40 MG 30 TBS(3%+)(A)(PDB)(PAE),1,A MENARINI LATIN AMERICA,3,0,1,0,0,0,,1.0,0.0,3,128205.95,135900
100000924,BUSCAPINA NF COMPOSITUM GOTAS 30 ML,1,OPELLA HEALTHCARE COLOMBI,1,0,0,0,0,0,2024-05-04 00:00:00.000,2.0,0.0,0,38082.5,41100
100000944,ISODINE 24 OVULOS,0,LABORATORIOS BUSSIE S.A.,24,0,1,0,0,9,2024-08-05 00:00:00.000,0.21,0.0,5,59335.0,67800
100000979,NIFLAMIN PL FORTE 15 MG 5 CAPSULAS,0,BOEHRINGER INGELHEIM,5,0,1,1,0,5,2025-03-04 00:00:00.000,0.4,0.0,2,39440.0,42300
