Codigo,Nombre,Sugerido,Laboratorio,contenido Caja,contenido Blister,contenido Unidad,Inventario Caja,Inventario Blister,Inventario Unidad,UltimaCompra,Cantidad Vendida Caja,Cantidad Vendida Blister,Cantidad Vendida Unidad,Costo Unitario,Precio Venta Contado
100000113,PARACODINA JARABE 120 ML,0,LAB. LEGRAND S.A.,1,0,0,2,0,0,2025-01-11 00:00:00.000,2.0,0.0,0,21762.0,26200
100000134,PEDIASURE POLVO VAINILLA 400 GR,0,ABBOTT LABORATORIES S.A,1,0,0,2,0,0,2024-07-13 00:00:00.000,1.0,0.0,0,56503.0,58600
100000387,PLASIL 5 AMPOLLAS,0,LABORATORIOS BUSSIE S.A.,5,0,1,0,0,4,2025-02-25 00:00:00.000,0.2,0.0,1,39808.0,42300
100000400,RIFOCINA SPRAY 20 ML,0,SANOFI AVENTIS DE COLOMBI,1,0,0,1,0,0,2025-02-06 00:00:00.000,1.0,0.0,0,53269.0,55800
100000449,TRAVAD ORAL LIMON 133 ML,0,TECNOQUIMICAS S.A.,1,0,0,1,0,0,2025-02-18 00:00:00.000,1.0,0.0,0,28059.0,30700
100000451,ACID MANTLE N LOCION 120 ML,1,BAYER S.A.,1,0,0,0,0,0,,1.0,0.0,0,16293.0,26100
100000465,ALKA SELTZER 60 TABLETAS,0,BAYER S.A.,60,30,2,1,32,64,2025-02-11 00:00:00.000,0.27,8.0,16,49547.0,64000
100000476,ASPIRINA EFERVESCENTE 500 MG 12 TABLETAS,0,BAYER S.A.,12,6,2,1,6,12,2025-03-14 00:00:00.000,1.67,10.0,20,14384.0,15400
100000504,CANESTEN CREMA TOPICA 20 GR,0,BAYER S.A.,1,0,0,2,0,0,2025-01-28 00:00:00.000,1.0,0.0,0,10487.5,12300
100000568,BIOCICAR CREMA 60 GR,0,BIOCHEM FARMACEUTICA DE C,1,0,0,3,0,0,2024-08-22 00:00:00.000,2.0,0.0,0,17447.33,34000
100000580,ENJUAGUE CLARAX 180 ML,0,BIOCHEM FARMACEUTICA DE C,1,0,0,4,0,0,2025-01-17 00:00:00.000,1.0,0.0,0,27081.33,34600
100000803,STOPEN DISPENSADOR 25 SBS 2 CAPSULAS,1,EUROFARMA COLOMBIA S.A.S,50,25,2,0,0,0,2024-03-08 00:00:00.000,0.32,8.0,16,86715.0,113900
100000910,BERODUAL SOL.INH.20 ML(P)30000(SC)(SF),1,BOEHRINGER INGELHEIM,1,0,0,0,0,0,2022-05-02 00:00:00.000,1.0,0.0,0,26189.0,30100
100000944,ISODINE 24 OVULOS,0,LABORATORIOS BUSSIE S.A.,24,0,1,0,0,3,2023-08-08 00:00:00.000,0.33,0.0,8,55661.0,68300
100000952,ISODINE SOLUCION 120 ML,1,LABORATORIOS BUSSIE S.A.,1,0,0,0,0,0,2024-05-31 00:00:00.000,1.0,0.0,0,20149.0,24500
100000955,ISODINE SOLUCION 60 ML,0,LABORATORIOS BUSSIE S.A.,1,0,0,1,0,0,2025-01-31 00:00:00.000,1.0,0.0,0,11794.0,12900
100001057,KENACORT I.A.10 MG 5 ML AMPOLLA,0,DEPOSITO DE DROGAS MONACO,1,0,0,1,0,0,2025-03-31 00:00:00.000,1.0,0.0,0,36252.0,39100
100001165,SULFAPLATA 1% CREMA 30 GR,0,LABORATORIOS BUSSIE S.A.,1,0,0,1,0,0,2025-04-01 00:00:00.000,1.0,0.0,0,26154.0,29600
100001179,ADOREM ACETAMINOFEN 500 MG 100 TBS,0,LAB.SIEGFRIED S.A,100,25,4,0,22,88,2024-08-23 00:00:00.000,0.12,3.0,12,41168.0,46800
100001181,ADOREM GRIPA 100  TBS,1,LAB.SIEGFRIED S.A,25,0,1,0,0,0,2022-11-11 00:00:00.000,0.24,0.0,6,62152.0,70000
100001183,ADOREM ACETAMINOFEN 150 MG JARABE 120 ML,1,LAB.SIEGFRIED S.A,1,0,0,0,0,0,2025-01-16 09:14:20.607,7.0,0.0,0,8800.0,14800
100001215,FASTFEN 37.5/325 MG  10 TBS ACETA/TRAMAD,1,LAB.SIEGFRIED S.A,1,0,0,0,0,0,2024-04-25 00:00:00.000,1.0,0.0,0,45751.0,49900
100001314,LACTULAX 12 SBS JARABE 15 ML (3%+),0,LABORATORIOS CHALVER DE C,12,0,1,1,0,15,2025-03-18 00:00:00.000,0.25,0.0,3,93922.0,96900
100001337,TRIGENTAX CREMA 20 GR,0,LABORATORIOS CHALVER DE C,1,0,0,2,0,0,2025-01-20 00:00:00.000,1.0,0.0,0,26143.5,29300
100001338,TRIGENTAX CREMA 40 GR,0,LABORATORIOS CHALVER DE C,1,0,0,2,0,0,2025-03-13 00:00:00.000,2.0,0.0,0,32021.0,46600
100001422,COMPLEJO B 10 ML AMPOLLA EC,0,LABORATORIOS ECAR S.A.,1,0,0,4,0,0,2025-03-17 17:44:32.367,3.0,0.0,0,7300.0,10800
100001427,DIPIRONA 5 ML 5 AMPOLLAS EC,0,LABORATORIOS ECAR S.A.,5,0,1,0,0,1,2025-03-13 00:00:00.000,1.0,0.0,5,29459.0,32000
100001443,TIAMINA 1 GR 10 ML AMPOLLA EC,0,LABORATORIOS ECAR S.A.,1,0,0,1,0,0,2025-03-11 00:00:00.000,1.0,0.0,0,12255.0,15200
100001446,VITAMINA B12 1 ML 25 AMPOLLAS EC,0,LABORATORIOS ECAR S.A.,25,0,1,0,0,6,2024-07-10 00:00:00.000,0.4,0.0,10,70119.0,88200
100001644,ACICLOVIR 800 MG 10 TABLETAS GF,0,GENFAR S.A.,1,0,0,2,0,0,2025-02-11 00:00:00.000,2.0,0.0,0,13000.0,20900
100001654,AMLODIPINO 10 MG 10 TABLETAS GF,0,GENFAR S.A.,1,0,0,2,0,0,2024-10-30 00:00:00.000,1.0,0.0,0,9462.0,11100
100001658,AMOXICILINA 500 MG 50 CAPSULAS GF,0,GENFAR S.A.,50,5,10,1,9,90,2025-03-22 00:00:00.000,1.4,7.0,70,25821.0,34100
100001662,AMPICILINA 1 GR 100 TABLETAS GF,1,GENFAR S.A.,100,10,10,0,0,0,2023-10-31 00:00:00.000,0.2,2.0,20,82460.0,119800
100001734,HIDROXICINA 25 MG 20 TABLETAS GF,0,GENFAR S.A.,2,0,1,3,0,6,2025-01-15 00:00:00.000,1.0,0.0,2,3896.0,7000
100001737,IBUPROFENO 400 MG 100 TABLETAS GF,0,GENFAR S.A.,10,0,1,1,0,12,2025-03-04 00:00:00.000,0.7,0.0,7,15313.0,25300
100001739,IBUPROFENO 800 MG 50 TABLETAS GF,0,GENFAR S.A.,5,0,1,1,0,8,2025-03-27 00:00:00.000,1.6,0.0,8,15483.0,25300
100001749,KETOPROFENO 100 MG 30 TABLETAS GF,0,GENFAR S.A.,3,0,1,2,0,6,2025-02-04 00:00:00.000,1.0,0.0,3,18988.5,35900
100001750,KETOPROFENO 100 MG 6 AMPOLLAS GF,0,GENFAR S.A.,6,0,1,1,0,6,2024-02-08 00:00:00.000,0.17,0.0,1,23567.0,33600
100001778,OMEPRAZOL 20 MG 10 CAPSULAS GF,1,GENFAR S.A.,1,0,0,0,0,0,2025-04-03 00:00:00.000,19.0,0.0,0,2691.67,4300
