Codigo,Nombre,Sugerido,Laboratorio,contenido Caja,contenido Blister,contenido Unidad,Inventario Caja,Inventario Blister,Inventario Unidad,UltimaCompra,Cantidad Vendida Caja,Cantidad Vendida Blister,Cantidad Vendida Unidad,Costo Unitario,Precio Venta Contado
A00274,"MEXICAN 7,5 MG 30 TBL BIOQUIFAR",0,COMIS-GCNG,30,3,10,6,18,180,2025-04-02 18:35:13.567,2.67,8.0,80,5900.0,30500
A00155,OCUTRIX SOLU.OFTA 5 ML MEDIGEN,1,MEDIGEN EU,1,0,0,0,0,0,2025-01-28 10:34:39.557,2.0,0.0,0,7600.0,19000
E029,DIGLUFOR 850 MG 30 TBL LABQUIFAR,0,COMIS-GCNG,30,3,10,3,11,110,2025-04-02 18:35:13.567,3.0,9.0,90,9600.0,25400
A00383,ZAWAY 75MG/3ML 6 AMPOLLAS BRADYSTER,0,BRADYSTER PHARMACEUTICAL,6,0,1,1,0,8,2025-04-02 18:35:13.567,0.5,0.0,3,16200.0,31200
7703712080638,ATRIXIB CELECOX. 200MG 10 CAP,0,COMIS-GCNG,10,0,1,1,0,10,2025-02-04 10:29:48.483,3.0,0.0,30,13100.0,43400
7709506348427,LINCOFAR 600MG 2 ML 10 AMP,0,COMIS-GCNG,10,0,1,2,0,26,2025-01-15 11:45:52.173,1.5,0.0,15,17900.0,120500
7707019381085,MIO RELAX  TIZANIDINA 2 MG 20 TABS,0,COMIS-GCNG,20,2,10,0,1,10,2025-03-12 15:03:06.060,0.5,1.0,10,13300.0,33300
A00209,MEXICAN 15 MG 10 TBL BIOQUIFAR,0,COMIS-GCNG,10,0,1,4,0,40,2025-04-02 18:35:13.567,2.0,0.0,20,5200.0,15300
7703712080454,DERMA3  40 GRAMOS,0,COMIS-GCNG,1,0,0,1,0,0,2025-03-12 15:03:06.060,3.0,0.0,0,18900.0,49300
E439,TOALLITAS WINNY SENSITIVE LECHE 80UND,1,TECNOQUIMICAS S.A.,1,0,0,0,0,0,2024-07-10 12:04:47.320,1.0,0.0,0,8061.0,12300
G067,EUTARPAN JARABEL 120 ML,0,COMIS-GCNG,1,0,0,2,0,0,2025-03-26 10:49:24.463,1.0,0.0,0,6500.0,18400
G077,XINPA 500 MG 6 TBL WHESTHER,0,COMIS-GCNG,1,0,0,2,0,0,2025-01-15 11:45:52.173,1.0,0.0,0,12800.0,34000
200005290,HALLS CHERRYLYPTUS 12 BARRAS,1,MONDELEZ COLOMBIA S.A.S,12,0,1,0,0,0,2025-02-17 15:58:19.493,0.25,0.0,3,14454.0,22400
200005291,HALLS EXTRA STRONG 12 BARRAS,0,MONDELEZ COLOMBIA S.A.S,12,0,1,0,0,7,2025-03-11 09:36:37.250,0.42,0.0,5,14453.0,21500
A00141,ASMIKET JARABE 120 ML BIOQUIFAR,0,COMIS-GCNG,1,0,0,3,0,0,2025-04-02 18:35:13.567,4.0,0.0,0,8600.0,21500
200040270,MASCARILLA FACIAL DE CARBON 1 UD,1,COBYCO S.A.S,1,0,0,0,0,0,2021-07-21 00:00:00.000,1.0,0.0,0,5234.0,10200
7709266541465,PULMOSAN JBE 120 ML,0,COMIS-GCNG,1,0,0,3,0,0,2025-04-02 18:35:13.567,3.0,0.0,0,9400.0,23500
A00283,CLINBAC 300 MG 24 CAPSULAS LABQUIFAR,1,COMIS-GCNG,24,2,12,0,0,0,2025-03-05 16:42:55.643,1.0,2.0,24,21500.0,53800
A00213,PERCLUSONE 500 MG 10 TBL BIOQUIFAR,1,COMIS-GCNG,10,0,1,0,0,0,2025-02-18 08:43:04.420,2.0,0.0,20,6100.0,19200
