Codigo,Nombre,Sugerido,Laboratorio,contenido Caja,contenido Blister,contenido Unidad,Inventario Caja,Inventario Blister,Inventario Unidad,UltimaCompra,Cantidad Vendida Caja,Cantidad Vendida Blister,Cantidad Vendida Unidad,Costo Unitario,Precio Venta Contado
100000170,VALCOTE 500 MG 30 T(3%+)(A)(P)73200(PAE),1,LABORATORIO FRANCO COLOMB,1,0,0,0,0,0,2023-09-11 00:00:00.000,1.0,0.0,0,108252.0,134000
100000200,TOBREX GOTAS 5 ML,1,AXON PHARMA SAS,1,0,0,0,0,0,2024-10-26 00:00:00.000,1.0,0.0,0,65697.0,75400
100000400,RIFOCINA SPRAY 20 ML,1,SANOFI AVENTIS DE COLOMBI,1,0,0,0,0,0,2025-03-04 00:00:00.000,2.0,0.0,0,53269.0,60100
100000449,TRAVAD ORAL LIMON 133 ML,0,TECNOQUIMICAS S.A.,1,0,0,1,0,0,2025-03-11 00:00:00.000,2.0,0.0,0,25253.0,30700
100000465,ALKA SELTZER 60 TABLETAS,0,BAYER S.A.,60,30,2,1,57,114,2025-03-27 00:00:00.000,0.33,10.0,20,64178.0,74100
100000477,ASPIRINA EFERVESCENTE 500 MG 50 TABLETAS,0,BAYER S.A.,25,0,1,0,0,20,2025-02-25 00:00:00.000,0.16,0.0,4,55117.0,59800
100000504,CANESTEN CREMA TOPICA 20 GR,1,BAYER S.A.,1,0,0,0,0,0,2024-11-23 00:00:00.000,1.0,0.0,0,9125.0,12300
100000584,CHA.GAMADERM 24 SBS,1,LAB.SIEGFRIED S.A,24,0,1,0,0,0,2024-08-23 00:00:00.000,0.13,0.0,3,39984.0,48000
100000837,VIREX 200 MG 35 TABLETAS (3%+),0,EUROFARMA COLOMBIA S.A.S,5,0,1,0,0,1,2023-01-20 00:00:00.000,0.2,0.0,1,60443.0,83000
100000944,ISODINE 24 OVULOS,0,LABORATORIOS BUSSIE S.A.,24,0,1,0,0,19,2025-01-30 00:00:00.000,0.54,0.0,13,64171.0,67800
100001185,ADOREM PLUS ACETAMINOFEN+CAFEINA 100TBS,0,LAB.SIEGFRIED S.A,100,10,10,0,3,30,2025-02-14 00:00:00.000,0.6,6.0,60,83137.0,89400
100001309,INFLACOR 4 MG 1 ML AMPOLLA,0,LABORATORIOS CHALVER DE C,1,0,0,1,0,0,2025-03-04 00:00:00.000,1.0,0.0,0,18941.0,19600
