Codigo,Nombre,Sugerido,Laboratorio,contenido Caja,contenido Blister,contenido Unidad,Inventario Caja,Inventario Blister,Inventario Unidad,UltimaCompra,Cantidad Vendida Caja,Cantidad Vendida Blister,Cantidad Vendida Unidad,Costo Unitario,Precio Venta Contado
100000042,DEPAKENE JARABE 120 ML,0,LABORATORIO FRANCO COLOMB,1,0,0,1,0,0,2024-04-01 00:00:00.000,1.0,0,0,26995.0,35300
100000097,NEOSALDINA 100 GRAGEAS (A),0,EUROFARMA COLOMBIA S.A.S,100,25,4,1,27,108,2025-03-27 00:00:00.000,0.84,21,84,123676.0,166600
100000135,PEDIASURE POLVO CHOCOLATE 400 GR,0,ABBOTT LABORATORIES S.A,1,0,0,2,0,0,2025-02-18 00:00:00.000,1.0,0,0,56503.0,58500
100000317,ALLEGRA 120 MG 10 COMPRIMIDOS (3%+),0,OPELLA HEALTHCARE COLOMBI,1,0,0,1,0,0,2025-03-14 00:00:00.000,4.0,0,0,63552.5,69100
100000392,PROFENID 100 MG 6 AMPOLLAS,1,SANOFI AVENTIS DE COLOMBI,6,0,1,0,0,0,2023-11-24 00:00:00.000,1.0,0,6,90408.0,101100
100000400,RIFOCINA SPRAY 20 ML,0,SANOFI AVENTIS DE COLOMBI,1,0,0,1,0,0,2025-02-14 00:00:00.000,1.0,0,0,53269.0,60100
100000449,TRAVAD ORAL LIMON 133 ML,0,TECNOQUIMICAS S.A.,1,0,0,1,0,0,2025-03-05 00:00:00.000,2.0,0,0,28059.0,30700
100000451,ACID MANTLE N LOCION 120 ML,0,BAYER S.A.,1,0,0,2,0,0,2025-02-20 00:00:00.000,2.0,0,0,21773.0,28100
100000465,ALKA SELTZER 60 TABLETAS,0,BAYER S.A.,60,30,2,1,41,82,2025-03-04 00:00:00.000,0.43,13,26,56303.0,63500
100000476,ASPIRINA EFERVESCENTE 500 MG 12 TABLETAS,0,BAYER S.A.,12,6,2,2,12,24,2025-03-27 00:00:00.000,2.0,12,24,14384.0,15400
100000477,ASPIRINA EFERVESCENTE 500 MG 50 TABLETAS,0,BAYER S.A.,25,0,1,0,0,3,2024-12-24 00:00:00.000,0.12,0,3,50574.0,55500
100000483,BAYCUTEN N CREMA 35 GR,0,BAYER S.A.,1,0,0,3,0,0,2025-04-02 00:00:00.000,2.0,0,0,44403.0,52300
